geo,geo_two,GISJOIN,county
0500000US48001,48001,G4800010,Anderson
0500000US48001,48001,G4800010,ANDERSON
0500000US48001,48001,G4800010,Anderson County
0500000US48001,48001,G4800010,"Anderson County, Texas"
0500000US48003,48003,G4800030,Andrews
0500000US48003,48003,G4800030,ANDREWS
0500000US48003,48003,G4800030,Andrews County
0500000US48003,48003,G4800030,"Andrews County, Texas"
0500000US48005,48005,G4800050,Angelina
0500000US48005,48005,G4800050,ANGELINA
0500000US48005,48005,G4800050,Angelina County
0500000US48005,48005,G4800050,"Angelina County, Texas"
0500000US48007,48007,G4800070,Aransas
0500000US48007,48007,G4800070,ARANSAS
0500000US48007,48007,G4800070,Aransas County
0500000US48007,48007,G4800070,"Aransas County, Texas"
0500000US48009,48009,G4800090,Archer
0500000US48009,48009,G4800090,ARCHER
0500000US48009,48009,G4800090,Archer County
0500000US48009,48009,G4800090,"Archer County, Texas"
0500000US48011,48011,G4800110,Armstrong
0500000US48011,48011,G4800110,ARMSTRONG
0500000US48011,48011,G4800110,Armstrong County
0500000US48011,48011,G4800110,"Armstrong County, Texas"
0500000US48013,48013,G4800130,Atascosa
0500000US48013,48013,G4800130,ATASCOSA
0500000US48013,48013,G4800130,Atascosa County
0500000US48013,48013,G4800130,"Atascosa County, Texas"
0500000US48015,48015,G4800150,Austin
0500000US48015,48015,G4800150,AUSTIN
0500000US48015,48015,G4800150,Austin County
0500000US48015,48015,G4800150,"Austin County, Texas"
0500000US48017,48017,G4800170,Bailey
0500000US48017,48017,G4800170,BAILEY
0500000US48017,48017,G4800170,Bailey County
0500000US48017,48017,G4800170,"Bailey County, Texas"
0500000US48019,48019,G4800190,Bandera
0500000US48019,48019,G4800190,BANDERA
0500000US48019,48019,G4800190,Bandera County
0500000US48019,48019,G4800190,"Bandera County, Texas"
0500000US48021,48021,G4800210,Bastrop
0500000US48021,48021,G4800210,BASTROP
0500000US48021,48021,G4800210,Bastrop County
0500000US48021,48021,G4800210,"Bastrop County, Texas"
0500000US48023,48023,G4800230,Baylor
0500000US48023,48023,G4800230,BAYLOR
0500000US48023,48023,G4800230,Baylor County
0500000US48023,48023,G4800230,"Baylor County, Texas"
0500000US48025,48025,G4800250,Bee
0500000US48025,48025,G4800250,BEE
0500000US48025,48025,G4800250,Bee County
0500000US48025,48025,G4800250,"Bee County, Texas"
0500000US48027,48027,G4800270,Bell
0500000US48027,48027,G4800270,BELL
0500000US48027,48027,G4800270,Bell County
0500000US48027,48027,G4800270,"Bell County, Texas"
0500000US48029,48029,G4800290,Bexar
0500000US48029,48029,G4800290,BEXAR
0500000US48029,48029,G4800290,Bexar County
0500000US48029,48029,G4800290,"Bexar County, Texas"
0500000US48031,48031,G4800310,Blanco
0500000US48031,48031,G4800310,BLANCO
0500000US48031,48031,G4800310,Blanco County
0500000US48031,48031,G4800310,"Blanco County, Texas"
0500000US48033,48033,G4800330,Borden
0500000US48033,48033,G4800330,BORDEN
0500000US48033,48033,G4800330,Borden County
0500000US48033,48033,G4800330,"Borden County, Texas"
0500000US48035,48035,G4800350,Bosque
0500000US48035,48035,G4800350,BOSQUE
0500000US48035,48035,G4800350,Bosque County
0500000US48035,48035,G4800350,"Bosque County, Texas"
0500000US48037,48037,G4800370,Bowie
0500000US48037,48037,G4800370,BOWIE
0500000US48037,48037,G4800370,Bowie County
0500000US48037,48037,G4800370,"Bowie County, Texas"
0500000US48039,48039,G4800390,Brazoria
0500000US48039,48039,G4800390,BRAZORIA
0500000US48039,48039,G4800390,Brazoria County
0500000US48039,48039,G4800390,"Brazoria County, Texas"
0500000US48041,48041,G4800410,Brazos
0500000US48041,48041,G4800410,BRAZOS
0500000US48041,48041,G4800410,Brazos County
0500000US48041,48041,G4800410,"Brazos County, Texas"
0500000US48043,48043,G4800430,Brewster
0500000US48043,48043,G4800430,BREWSTER
0500000US48043,48043,G4800430,Brewster County
0500000US48043,48043,G4800430,"Brewster County, Texas"
0500000US48045,48045,G4800450,Briscoe
0500000US48045,48045,G4800450,BRISCOE
0500000US48045,48045,G4800450,Briscoe County
0500000US48045,48045,G4800450,"Briscoe County, Texas"
0500000US48047,48047,G4800470,Brooks
0500000US48047,48047,G4800470,BROOKS
0500000US48047,48047,G4800470,Brooks County
0500000US48047,48047,G4800470,"Brooks County, Texas"
0500000US48049,48049,G4800490,Brown
0500000US48049,48049,G4800490,BROWN
0500000US48049,48049,G4800490,Brown County
0500000US48049,48049,G4800490,"Brown County, Texas"
0500000US48051,48051,G4800510,Burleson
0500000US48051,48051,G4800510,BURLESON
0500000US48051,48051,G4800510,Burleson County
0500000US48051,48051,G4800510,"Burleson County, Texas"
0500000US48053,48053,G4800530,Burnet
0500000US48053,48053,G4800530,BURNET
0500000US48053,48053,G4800530,Burnet County
0500000US48053,48053,G4800530,"Burnet County, Texas"
0500000US48055,48055,G4800550,Caldwell
0500000US48055,48055,G4800550,CALDWELL
0500000US48055,48055,G4800550,Caldwell County
0500000US48055,48055,G4800550,"Caldwell County, Texas"
0500000US48057,48057,G4800570,Calhoun
0500000US48057,48057,G4800570,CALHOUN
0500000US48057,48057,G4800570,Calhoun County
0500000US48057,48057,G4800570,"Calhoun County, Texas"
0500000US48059,48059,G4800590,Callahan
0500000US48059,48059,G4800590,CALLAHAN
0500000US48059,48059,G4800590,Callahan County
0500000US48059,48059,G4800590,"Callahan County, Texas"
0500000US48061,48061,G4800610,Cameron
0500000US48061,48061,G4800610,CAMERON
0500000US48061,48061,G4800610,Cameron County
0500000US48061,48061,G4800610,"Cameron County, Texas"
0500000US48063,48063,G4800630,Camp
0500000US48063,48063,G4800630,CAMP
0500000US48063,48063,G4800630,Camp County
0500000US48063,48063,G4800630,"Camp County, Texas"
0500000US48065,48065,G4800650,Carson
0500000US48065,48065,G4800650,CARSON
0500000US48065,48065,G4800650,Carson County
0500000US48065,48065,G4800650,"Carson County, Texas"
0500000US48067,48067,G4800670,Cass
0500000US48067,48067,G4800670,CASS
0500000US48067,48067,G4800670,Cass County
0500000US48067,48067,G4800670,"Cass County, Texas"
0500000US48069,48069,G4800690,Castro
0500000US48069,48069,G4800690,CASTRO
0500000US48069,48069,G4800690,Castro County
0500000US48069,48069,G4800690,"Castro County, Texas"
0500000US48071,48071,G4800710,Chambers
0500000US48071,48071,G4800710,CHAMBERS
0500000US48071,48071,G4800710,Chambers County
0500000US48071,48071,G4800710,"Chambers County, Texas"
0500000US48073,48073,G4800730,Cherokee
0500000US48073,48073,G4800730,CHEROKEE
0500000US48073,48073,G4800730,Cherokee County
0500000US48073,48073,G4800730,"Cherokee County, Texas"
0500000US48075,48075,G4800750,Childress
0500000US48075,48075,G4800750,CHILDRESS
0500000US48075,48075,G4800750,Childress County
0500000US48075,48075,G4800750,"Childress County, Texas"
0500000US48077,48077,G4800770,Clay
0500000US48077,48077,G4800770,CLAY
0500000US48077,48077,G4800770,Clay County
0500000US48077,48077,G4800770,"Clay County, Texas"
0500000US48079,48079,G4800790,Cochran
0500000US48079,48079,G4800790,COCHRAN
0500000US48079,48079,G4800790,Cochran County
0500000US48079,48079,G4800790,"Cochran County, Texas"
0500000US48081,48081,G4800810,Coke
0500000US48081,48081,G4800810,COKE
0500000US48081,48081,G4800810,Coke County
0500000US48081,48081,G4800810,"Coke County, Texas"
0500000US48083,48083,G4800830,Coleman
