Hospital,county,City,,"Pediatric
Medical
Surgical 
Care Beds","Obstetrics
Level","Obstetrics
Beds","Neonatal
Intensive
Care Beds","Neonatal
Intermediate
Care Beds","Pediatric
Intensive
Care Beds","Total
Births"
COUNTY-ANDERSON,,,,,,,,,,
Palestine Regional Medical Center,ANDERSON,Palestine,,12,2,16,0,0,0,617
,ANDERSON Total,,COUNTY SUBTOTALS,12,,16,0,0,0,617
COUNTY-ANDREWS,,,,,,,,,,
Permian Regional Medical Center,ANDREWS,Andrews,,8,1,5,0,2,0,256
,ANDREWS Total,,COUNTY SUBTOTALS,8,,5,0,2,0,256
COUNTY-ANGELINA,,,,,,,,,,
Memorial Medical Center of East Texas,ANGELINA,Lufkin,,0,1,12,0,0,0,173
Memorial Specialty Hospital,ANGELINA,Lufkin,,0,,0,0,0,0,0
Woodland Heights Medical Center,ANGELINA,Lufkin,,0,1,8,6,0,0,"1,042"
,ANGELINA Total,,COUNTY SUBTOTALS,0,,20,6,0,0,"1,215"
COUNTY-ATASCOSA,,,,,,,,,,
South Texas Regional Medical Center,ATASCOSA,Jourdanton,,0,1,4,0,0,0,265
,ATASCOSA Total,,COUNTY SUBTOTALS,0,,4,0,0,0,265
COUNTY-AUSTIN,,,,,,,,,,
Bellville St. Joseph Health Center,AUSTIN,Bellville,,0,,0,0,0,0,0
,AUSTIN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-BAILEY,,,,,,,,,,
Muleshoe Area Medical Center,BAILEY,Muleshoe,,0,,0,0,0,0,0
,BAILEY Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-BASTROP,,,,,,,,,,
Seton Smithville Regional Hospital,BASTROP,Smithville,,0,,0,0,0,0,0
,BASTROP Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-BAYLOR,,,,,,,,,,
Seymour Hospital,BAYLOR,Seymour,,0,1,2,0,0,0,40
,BAYLOR Total,,COUNTY SUBTOTALS,0,,2,0,0,0,40
COUNTY-BEE,,,,,,,,,,
CHRISTUS Spohn Hospital Beeville,BEE,Beeville,,0,1,9,0,0,0,401
,BEE Total,,COUNTY SUBTOTALS,0,,9,0,0,0,401
COUNTY-BELL,,,,,,,,,,
Metroplex Hospital,BELL,Killeen,,0,2,31,0,0,0,"1,335"
Scott & White Continuing Care Hospital,BELL,Temple,,0,,0,0,0,0,0
Scott & White Memorial Hospital,BELL,Temple,,48,3,37,43,0,16,"2,154"
Seton Medical Center Harker Heights,BELL,Harker Heights,,0,1,10,0,0,0,930
,BELL Total,,COUNTY SUBTOTALS,48,,78,43,0,16,"4,419"
COUNTY-BEXAR,,,,,,,,,,
Acuity Hospital of South Texas,BEXAR,San Antonio,,0,,0,0,0,0,0
Baptist Emergency Hospital,BEXAR,San Antonio,,0,,0,0,0,0,0
Baptist Medical Center,BEXAR,San Antonio,,53,3,157,130,109,10,"11,432"
Children's Hospital of San Antonio,BEXAR,San Antonio,,59,2,16,45,0,20,707
CHRISTUS Santa Rosa - Medical Center,BEXAR,San Antonio,,0,2,12,0,0,0,"1,256"
Foundation Surgical Hospital of San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Institute of San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
Kindred Hospital - San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
LifeCare Hospitals of San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
Methodist Ambulatory Surgery Hospital - Northwest,BEXAR,San Antonio,,0,,0,0,0,0,0
Methodist Hospital,BEXAR,San Antonio,,74,2,112,94,0,16,"9,749"
Methodist Stone Oak Hospital,BEXAR,San Antonio,,0,2,22,9,0,0,"2,013"
Nix Health Care System,BEXAR,San Antonio,,0,,0,0,0,0,0
Select Rehabilitation Hospital of San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
Select Specialty Hospital - San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
South Texas Spine and Surgical Hospital,BEXAR,San Antonio,,0,,0,0,0,0,0
Southwest General Hospital,BEXAR,San Antonio,,0,2,37,24,0,0,"1,887"
Texas Center for Infectious Disease,BEXAR,San Antonio,,0,,0,0,0,0,0
University Hospital,BEXAR,San Antonio,,19,3,29,31,20,17,"2,836"
Victory Medical Center Landmark,BEXAR,San Antonio,,0,,0,0,0,0,0
Victory Medical Center Southcross,BEXAR,San Antonio,,0,,0,0,0,0,0
Warm Springs Rehabilitation Hospital of San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
Warm Springs Specialty Hospital of San Antonio,BEXAR,San Antonio,,0,,0,0,0,0,0
,BEXAR Total,,COUNTY SUBTOTALS,205,,385,333,129,63,"29,880"
COUNTY-BOSQUE,,,,,,,,,,
Goodall-Witcher Hospital,BOSQUE,Clifton,,0,1,4,0,0,0,70
,BOSQUE Total,,COUNTY SUBTOTALS,0,,4,0,0,0,70
COUNTY-BOWIE,,,,,,,,,,
CHRISTUS St. Michael Health System,BOWIE,Texarkana,,15,2,28,8,0,0,"1,457"
CHRISTUS St. Michael Rehabilitation Hospital,BOWIE,Texarkana,,0,,0,0,0,0,0
Dubuis Hospital of Texarkana,BOWIE,Texarkana,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Texarkana,BOWIE,Texarkana,,0,,0,0,0,0,0
Wadley Regional Medical Center,BOWIE,Texarkana,,12,2,12,0,8,0,"1,332"
,BOWIE Total,,COUNTY SUBTOTALS,27,,40,8,8,0,"2,789"
COUNTY-BRAZORIA,,,,,,,,,,
Brazosport Regional Health System,BRAZORIA,Lake Jackson,,0,1,10,0,0,0,558
Sweeny Community Hospital,BRAZORIA,Sweeny,,0,,0,0,0,0,0
,BRAZORIA Total,,COUNTY SUBTOTALS,0,,10,0,0,0,558
COUNTY-BRAZOS,,,,,,,,,,
CHRISTUS Dubuis Hospital of Bryan,BRAZOS,Bryan,,0,,0,0,0,0,0
College Station Medical Center,BRAZOS,College Station,,10,2,24,13,0,0,"1,304"
Scott & White Hospital - College Station,BRAZOS,College Station,,6,2,15,10,0,0,806
St. Joseph Regional Health Center,BRAZOS,Bryan,,16,2,16,0,0,0,"1,491"
The Physicians Centre Hospital,BRAZOS,Bryan,,NAV,,0,0,0,0,0
,BRAZOS Total,,COUNTY SUBTOTALS,32,,55,23,0,0,"3,601"
COUNTY-BREWSTER,,,,,,,,,4,
Big Bend Regional Medical Center,BREWSTER,Alpine,,0,1,5,0,0,0,187
,BREWSTER Total,,COUNTY SUBTOTALS,0,,5,0,0,0,187
COUNTY-BROWN,,,,,,,,,,
Brownwood Regional Medical Center,BROWN,Brownwood,,0,2,8,0,0,0,643
,BROWN Total,,COUNTY SUBTOTALS,0,,8,0,0,0,643
COUNTY-BURLESON,,,,,,,,,,
"Burleson St. Joseph Health Center of Caldwell, Tx",BURLESON,Caldwell,,0,,0,0,0,0,0
,BURLESON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-BURNET,,,,,,,,,,
Seton Highland Lakes,BURNET,Burnet,,0,,0,0,0,0,0
,BURNET Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CALDWELL,,,,,,,,,,
Seton Edgar B Davis,CALDWELL,Luling,,0,,0,0,0,0,0
Warm Springs Specialty Hospital of Luling,CALDWELL,Luling,,0,,0,0,0,0,0
,CALDWELL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CALHOUN,,,,,,,,,,
Memorial Medical Center,CALHOUN,Port Lavaca,,NAV,1,3,0,0,NAV,113
,CALHOUN Total,,COUNTY SUBTOTALS,NAV,,3,0,0,NAV,113
COUNTY-CAMERON,,,,,,,,,,
Harlingen Medical Center,CAMERON,Harlingen,,0,1,16,0,0,0,671
Solara Hospital Harlingen,CAMERON,Harlingen,,0,,0,0,0,0,0
South Texas Rehabilitation Hospital,CAMERON,Brownsville,,0,,0,0,0,0,0
Valley Baptist Medical Center,CAMERON,Harlingen,,25,3,52,23,15,14,"2,566"
