county,births_2010,deaths_2010,rate_2010
ANDERSON,581,0,- 
ANDREWS,252,0,- 
ANGELINA,"1,190",1,0.8
ARANSAS,268,0,- 
ARCHER,74,0,- 
ARMSTRONG,27,0,- 
ATASCOSA,641,0,- 
AUSTIN,366,0,- 
BAILEY,110,0,- 
BANDERA,181,1,5.5
BASTROP,847,0,- 
BAYLOR,40,0,- 
BEE,349,0,- 
BELL,"6,544",0,- 
BEXAR,"26,074",10,0.4
BLANCO,96,0,- 
BORDEN,5,0,- 
BOSQUE,199,0,- 
BOWIE,"1,174",0,- 
BRAZORIA,"4,898",1,0.2
BRAZOS,"2,711",1,0.4
BREWSTER,129,0,- 
BRISCOE,14,0,- 
BROOKS,124,0,- 
BROWN,410,2,4.9
BURLESON,192,0,- 
BURNET,468,0,- 
CALDWELL,488,0,- 
CALHOUN,299,0,- 
CALLAHAN,121,0,- 
CAMERON,"7,849",1,0.1
CAMP,199,0,- 
CARSON,62,0,- 
CASS,384,0,- 
CASTRO,130,0,- 
CHAMBERS,481,1,2.1
CHEROKEE,758,0,- 
CHILDRESS,83,0,- 
CLAY,97,0,- 
COCHRAN,53,0,- 
COKE,26,0,- 
COLEMAN,101,0,- 
COLLIN,"10,581",0,- 
COLLINGSWORTH,57,0,- 
COLORADO,267,0,- 
COMAL,"1,233",0,- 
COMANCHE,170,0,- 
CONCHO,27,0,- 
COOKE,512,0,- 
CORYELL,"1,042",0,- 
COTTLE,19,0,- 
CRANE,62,0,- 
CROCKETT,64,0,- 
CROSBY,90,0,- 
CULBERSON,28,0,- 
DALLAM,139,0,- 
DALLAS,"39,712",9,0.2
DAWSON,188,0,- 
DEAF SMITH,333,0,- 
DELTA,61,0,- 
DENTON,"8,994",2,0.2
DEWITT,230,0,- 
DICKENS,21,0,- 
DIMMIT,133,0,- 
DONLEY,35,0,- 
DUVAL,168,0,- 
EASTLAND,221,0,- 
ECTOR,"2,435",1,0.4
EDWARDS,26,0,- 
ELLIS,"2,065",0,- 
EL PASO,"13,792",0,- 
ERATH,450,0,- 
FALLS,185,0,- 
FANNIN,341,0,- 
FAYETTE,240,0,- 
FISHER,46,0,- 
FLOYD,96,0,- 
FOARD,13,0,- 
FORT BEND,"7,840",3,0.4
FRANKLIN,108,0,- 
FREESTONE,213,0,- 
FRIO,245,0,- 
GAINES,345,0,- 
GALVESTON,"3,945",1,0.3
GARZA,79,0,- 
GILLESPIE,261,0,- 
GLASSCOCK,12,0,- 
GOLIAD,72,0,- 
GONZALES,292,0,- 
GRAY,318,0,- 
GRAYSON,"1,523",0,- 
GREGG,"1,940",1,0.5
GRIMES,324,1,3.1
GUADALUPE,"1,683",0,- 
HALE,619,0,- 
HALL,32,0,- 
HAMILTON,86,0,- 
HANSFORD,85,0,- 
HARDEMAN,46,0,- 
HARDIN,720,1,1.4
HARRIS,"68,166",20,0.3
HARRISON,868,0,- 
HARTLEY,54,0,- 
HASKELL,46,0,- 
HAYS,"2,106",0,- 
HEMPHILL,69,0,- 
HENDERSON,934,0,- 
HIDALGO,"16,398",3,0.2
HILL,437,0,- 
HOCKLEY,346,0,- 
HOOD,553,0,- 
HOPKINS,509,0,- 
HOUSTON,250,0,- 
HOWARD,454,1,2.2
HUDSPETH,51,0,- 
HUNT,"1,095",1,0.9
HUTCHINSON,264,0,- 
IRION,15,0,- 
JACK,106,1,9.4
JACKSON,193,0,- 
JASPER,480,1,2.1
JEFF DAVIS,20,0,- 
JEFFERSON,"3,554",0,- 
JIM HOGG,88,0,- 
JIM WELLS,674,0,- 
JOHNSON,"1,978",0,- 
JONES,169,0,- 
KARNES,145,0,- 
KAUFMAN,"1,442",0,- 
KENDALL,338,0,- 
KENEDY,3,0,- 
KENT,7,0,- 
KERR,519,0,- 
KIMBLE,39,0,- 
KING,3,0,- 
KINNEY,30,0,- 
KLEBERG,480,0,- 
KNOX,48,0,- 
LAMAR,657,0,- 
LAMB,219,0,- 
LAMPASAS,244,0,- 
LA SALLE,91,0,- 
LAVACA,203,0,- 
LEE,208,0,- 
LEON,209,0,- 
LIBERTY,"1,064",0,- 
LIMESTONE,302,0,- 
LIPSCOMB,61,0,- 
LIVE OAK,115,0,- 
LLANO,158,0,- 
LOVING,0,0,- 
LUBBOCK,"4,102",1,0.2
LYNN,71,0,- 
MCCULLOCH,105,0,- 
MCLENNAN,"3,470",1,0.3
MCMULLEN,6,0,- 
MADISON,165,0,- 
MARION,99,0,- 
MARTIN,83,0,- 
MASON,31,0,- 
MATAGORDA,538,1,1.9
MAVERICK,"1,009",0,- 
MEDINA,545,0,- 
MENARD,12,0,- 
MIDLAND,"2,264",1,0.4
MILAM,300,0,- 
MILLS,52,0,- 
MITCHELL,100,0,- 
MONTAGUE,269,0,- 
MONTGOMERY,"6,399",1,0.2
MOORE,396,1,2.5
MORRIS,154,0,- 
MOTLEY,11,0,- 
NACOGDOCHES,943,0,- 
NAVARRO,676,0,- 
NEWTON,143,0,- 
NOLAN,199,0,- 
NUECES,"4,716",1,0.2
OCHILTREE,161,0,- 
OLDHAM,18,0,- 
ORANGE,"1,032",1,1
PALO PINTO,363,0,- 
PANOLA,253,0,- 
PARKER,"1,307",0,- 
PARMER,137,0,- 
PECOS,218,0,- 
POLK,494,0,- 
POTTER,"2,086",0,- 
PRESIDIO,135,0,- 
RAINS,102,0,- 
RANDALL,"1,551",1,0.6
REAGAN,52,0,- 
REAL,37,0,- 
RED RIVER,139,1,7.2
REEVES,165,0,- 
REFUGIO,86,0,- 
ROBERTS,14,0,- 
ROBERTSON,205,0,- 
ROCKWALL,941,0,- 
RUNNELS,130,0,- 
RUSK,687,3,4.4
SABINE,88,0,- 
SAN AUGUSTINE,97,0,- 
SAN JACINTO,288,0,- 
SAN PATRICIO,914,1,1.1
SAN SABA,59,0,- 
SCHLEICHER,40,0,- 
SCURRY,280,0,- 
SHACKELFORD,27,0,- 
SHELBY,359,1,2.8
SHERMAN,30,0,- 
SMITH,"2,992",1,0.3
SOMERVELL,97,0,- 
STARR,"1,446",0,- 
STEPHENS,112,0,- 
STERLING,15,0,- 
STONEWALL,12,0,- 
SUTTON,42,0,- 
SWISHER,113,0,- 
TARRANT,"27,885",7,0.3
TAYLOR,"1,981",0,- 
TERRELL,14,0,- 
TERRY,179,0,- 
THROCKMORTON,16,0,- 
TITUS,508,1,2
TOM GREEN,"1,549",0,- 
TRAVIS,"15,792",3,0.2
TRINITY,178,0,- 
TYLER,224,0,- 
UPSHUR,507,0,- 
UPTON,38,0,- 
UVALDE,416,0,- 
VAL VERDE,897,0,- 
VAN ZANDT,562,0,- 
VICTORIA,"1,300",0,- 
WALKER,614,1,1.6
WALLER,594,0,- 
WARD,136,0,- 
WASHINGTON,438,0,- 
WEBB,"5,526",0,- 
WHARTON,567,0,- 
WHEELER,77,0,- 
WICHITA,"1,789",0,- 
WILBARGER,181,0,- 
WILLACY,361,0,- 
WILLIAMSON,"6,164",0,- 
WILSON,429,1,2.3
WINKLER,103,1,9.7
WISE,791,0,- 
WOOD,430,1,2.3
YOAKUM,128,0,- 
YOUNG,228,0,- 
ZAPATA,340,0,- 
ZAVALA,201,0,- 
