county,births_2014,deaths_2014,rate_2014,,,,,,,,
ANDERSON,571,0,-,,,,,,,,
ANDREWS,344,0,-,,,,,,,,
ANGELINA,"1,174",3,2.6,,,,,,,,
ARANSAS,274,0,-,,,,,,,,
ARCHER,84,0,-,,,,,,,,
ARMSTRONG,13,0,-,,,,,,,,
ATASCOSA,707,0,-,,,,,,,,
AUSTIN,363,0,-,,,,,,,,
BAILEY,109,1,9.2,,,,,,,,
BANDERA,158,0,-,,,,,,,,
BASTROP,"1,041",2,1.9,,,,,,,,
BAYLOR,43,0,-,,,,,,,,
BEE,416,0,-,,,,,,,,
BELL,"6,225",2,0.3,,,,,,,,
BEXAR,"27,781",11,0.4,,,,,,,,
BLANCO,102,0,-,,,,,,,,
BORDEN,6,0,-,,,,,,,,
BOSQUE,167,0,-,,,,,,,,
BOWIE,"1,217",1,0.8,,,,,,,,
BRAZORIA,"4,783",2,0.4,,,,,,,,
BRAZOS,"2,829",0,-,,,,,,,,
BREWSTER,104,0,-,,,,,,,,
BRISCOE,11,0,-,,,,,,,,
BROOKS,116,0,-,,,,,,,,
BROWN,425,0,-,,,,,,,,
BURLESON,210,0,-,,,,,,,,
BURNET,454,0,-,,,,,,,,
CALDWELL,513,0,-,,,,,,,,
CALHOUN,304,1,3.3,,,,,,,,
CALLAHAN,162,1,6.2,,,,,,,,
CAMERON,"7,253",1,0.1,,,,,,,,
CAMP,219,0,-,,,,,,,,
CARSON,69,0,-,,,,,,,,
CASS,361,0,-,,,,,,,,
CASTRO,117,0,-,,,,,,,,
CHAMBERS,475,0,-,,,,,,,,
CHEROKEE,742,0,-,,,,,,,,
CHILDRESS,82,0,-,,,,,,,,
CLAY,82,0,-,,,,,,,,
COCHRAN,46,0,-,,,,,,,,
COKE,30,1,33.3,,,,,,,,
COLEMAN,83,0,-,,,,,,,,
COLLIN,"10,886",1,0.1,,,,,,,,
COLLINGSWORTH,31,0,-,,,,,,,,
COLORADO,268,0,-,,,,,,,,
COMAL,"1,447",0,-,,,,,,,,
COMANCHE,138,0,-,,,,,,,,
CONCHO,25,0,-,,,,,,,,
COOKE,561,1,1.8,,,,,,,,
CORYELL,"1,064",1,0.9,,,,,,,,
COTTLE,18,0,-,,,,,,,,
CRANE,78,0,-,,,,,,,,
CROCKETT,62,0,-,,,,,,,,
CROSBY,90,0,-,,,,,,,,
CULBERSON,27,0,-,,,,,,,,
DALLAM,127,2,15.7,,,,,,,,
DALLAS,"39,791",14,0.4,,,,,,,,
DAWSON,166,1,6.0,,,,,,,,
DE WITT,289,0,-,,,,,,,,
DEAF SMITH,322,0,-,,,,,,,,
DELTA,72,0,-,,,,,,,,
DENTON,"9,872",1,0.1,,,,,,,,
DICKENS,15,0,-,,,,,,,,
DIMMIT,190,0,-,,,,,,,,
DONLEY,28,0,-,,,,,,,,
DUVAL,193,0,-,,,,,,,,
EASTLAND,218,0,-,,,,,,,,
ECTOR,"3,161",0,-,,,,,,,,
EDWARDS,28,0,-,,,,,,,,
EL PASO,"13,567",1,0.1,,,,,,,,
ELLIS,"2,140",0,-,,,,,,,,
ERATH,529,0,-,,,,,,,,
FALLS,218,1,4.6,,,,,,,,
FANNIN,328,0,-,,,,,,,,
FAYETTE,243,0,-,,,,,,,,
FISHER,51,0,-,,,,,,,,
FLOYD,67,0,-,,,,,,,,
FOARD,7,0,-,,,,,,,,
FORT BEND,"9,314",2,0.2,,,,,,,,
FRANKLIN,92,0,-,,,,,,,,
FREESTONE,204,0,-,,,,,,,,
FRIO,273,1,3.7,,,,,,,,
GAINES,407,0,-,,,,,,,,
GALVESTON,"4,133",1,0.2,,,,,,,,
GARZA,63,0,-,,,,,,,,
GILLESPIE,256,1,3.9,,,,,,,,
GLASSCOCK,16,0,-,,,,,,,,
GOLIAD,76,0,-,,,,,,,,
GONZALES,320,1,3.1,,,,,,,,
GRAY,340,0,-,,,,,,,,
GRAYSON,"1,562",1,0.6,,,,,,,,
GREGG,"1,962",0,-,,,,,,,,
GRIMES,338,0,-,,,,,,,,
GUADALUPE,"1,786",0,-,,,,,,,,
HALE,464,0,-,,,,,,,,
HALL,34,0,-,,,,,,,,
HAMILTON,84,0,-,,,,,,,,
HANSFORD,91,0,-,,,,,,,,
HARDEMAN,44,0,-,,,,,,,,
HARDIN,692,0,-,,,,,,,,
HARRIS,"71,395",21,0.3,,,,,,,,
HARRISON,851,1,1.2,,,,,,,,
HARTLEY,60,0,-,,,,,,,,
HASKELL,50,0,-,,,,,,,,
HAYS,"2,367",1,0.4,,,,,,,,
HEMPHILL,66,0,-,,,,,,,,
HENDERSON,887,0,-,,,,,,,,
HIDALGO,"16,325",2,0.1,,,,,,,,
HILL,413,0,-,,,,,,,,
HOCKLEY,310,0,-,,,,,,,,
HOOD,578,0,-,,,,,,,,
HOPKINS,471,1,2.1,,,,,,,,
HOUSTON,207,0,-,,,,,,,,
HOWARD,518,0,-,,,,,,,,
HUDSPETH,38,0,-,,,,,,,,
HUNT,"1,144",1,0.9,,,,,,,,
HUTCHINSON,307,0,-,,,,,,,,
IRION,14,0,-,,,,,,,,
JACK,99,0,-,,,,,,,,
JACKSON,202,0,-,,,,,,,,
JASPER,395,0,-,,,,,,,,
JEFF DAVIS,16,0,-,,,,,,,,
JEFFERSON,"3,633",2,0.6,,,,,,,,
JIM HOGG,93,0,-,,,,,,,,
JIM WELLS,730,1,1.4,,,,,,,,
JOHNSON,"2,022",0,-,,,,,,,,
JONES,185,0,-,,,,,,,,
KARNES,191,0,-,,,,,,,,
KAUFMAN,"1,527",0,-,,,,,,,,
KENDALL,361,0,-,,,,,,,,
KENEDY,5,0,-,,,,,,,,
KENT,11,0,-,,,,,,,,
KERR,545,1,1.8,,,,,,,,
KIMBLE,46,0,-,,,,,,,,
KING,1,0,-,,,,,,,,
KINNEY,25,0,-,,,,,,,,
KLEBERG,479,1,2.1,,,,,,,,
KNOX,69,0,-,,,,,,,,
LA SALLE,104,0,-,,,,,,,,
LAMAR,722,0,-,,,,,,,,
LAMB,200,1,5.0,,,,,,,,
LAMPASAS,248,0,-,,,,,,,,
LAVACA,242,0,-,,,,,,,,
LEE,225,0,-,,,,,,,,
LEON,205,0,-,,,,,,,,
LIBERTY,"1,082",1,0.9,,,,,,,,
LIMESTONE,342,0,-,,,,,,,,
LIPSCOMB,43,0,-,,,,,,,,
LIVE OAK,138,0,-,,,,,,,,
LLANO,161,0,-,,,,,,,,
LOVING,0,0,-,,,,,,,,
LUBBOCK,"4,237",1,0.2,,,,,,,,
LYNN,64,0,-,,,,,,,,
MADISON,166,0,-,,,,,,,,
MARION,87,0,-,,,,,,,,
MARTIN,119,0,-,,,,,,,,
MASON,28,0,-,,,,,,,,
MATAGORDA,572,0,-,,,,,,,,
MAVERICK,"1,171",1,0.9,,,,,,,,
MCCULLOCH,83,0,-,,,,,,,,
MCLENNAN,"3,618",1,0.3,,,,,,,,
McMULLEN,12,0,-,,,,,,,,
MEDINA,602,0,-,,,,,,,,
MENARD,23,0,-,,,,,,,,
MIDLAND,"2,826",0,-,,,,,,,,
MILAM,332,1,3.0,,,,,,,,
MILLS,58,0,-,,,,,,,,
MITCHELL,93,0,-,,,,,,,,
MONTAGUE,220,0,-,,,,,,,,
MONTGOMERY,"6,971",2,0.3,,,,,,,,
MOORE,421,0,-,,,,,,,,
MORRIS,143,0,-,,,,,,,,
MOTLEY,4,0,-,,,,,,,,
NACOGDOCHES,886,0,-,,,,,,,,
NAVARRO,768,2,2.6,,,,,,,,
NEWTON,147,0,-,,,,,,,,
NOLAN,232,0,-,,,,,,,,
NUECES,"5,170",3,0.6,,,,,,,,
OCHILTREE,207,0,-,,,,,,,,
OLDHAM,22,0,-,,,,,,,,
ORANGE,"1,184",0,-,,,,,,,,
PALO PINTO,361,1,2.8,,,,,,,,
