county,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012
Anderson ,23218,16107,3374,3118,619
Andrews ,8032,3845,106,3916,165
Angelina ,45215,28391,6949,8794,1081
Aransas ,12042,8470,109,3002,461
Archer ,4469,4047,14,316,92
Armstrong ,995,898,5,67,25
Atascosa ,23835,8641,120,14766,308
Austin ,14530,9478,1349,3429,274
Bailey ,3614,1407,28,2141,38
Bandera ,10460,8449,41,1751,219
Bastrop ,37661,21580,2666,12339,1076
Baylor ,1930,1614,38,245,33
Bee ,13084,4308,198,8336,242
Bell ,163098,80940,33024,35641,13493
Bexar ,908861,264901,61833,541945,40182
Blanco ,5336,4281,20,930,105
Borden ,310,263,0,40,7
Bosque ,9271,7524,122,1460,165
Bowie ,46364,31161,11301,2346,1556
Brazoria ,159970,84082,18497,44467,12924
Brazos ,99414,58274,11181,23362,6597
Brewster ,4651,2496,20,2018,117
Briscoe ,839,590,22,215,12
Brooks ,3675,292,10,3349,24
Brown ,19582,14647,604,3875,456
Burleson ,8930,6085,1101,1605,139
Burnet ,22333,17037,344,4464,488
Caldwell ,19334,8413,1209,9277,435
Calhoun ,10727,4830,254,5111,532
Callahan ,6977,6207,67,526,177
Cameron ,216301,21011,500,192735,2055
Camp ,6390,3772,1152,1301,165
Carson ,3197,2825,17,288,67
Cass ,15668,11983,2819,527,339
Castro ,4051,1487,80,2444,40
Chambers ,18252,12830,1455,3490,477
Cherokee ,25415,16324,3477,5019,595
Childress ,2918,2062,131,657,68
Clay ,5518,5080,26,254,158
Cochran ,1578,663,55,840,20
Coke ,1705,1369,3,304,29
Coleman ,4532,3605,95,754,78
Collin ,420900,260388,37306,62395,60811
Collingsworth ,1573,975,73,487,38
Colorado ,10595,6291,1388,2764,152
Comal ,58579,41463,811,14836,1469
Comanche ,7128,5180,13,1826,109
Concho ,1283,869,5,392,17
Cooke ,19655,15493,471,3003,688
Coryell ,39506,24210,6066,6267,2963
Cottle ,806,556,75,172,3
Crane ,2293,920,61,1271,41
Crockett ,1907,662,6,1222,17
Crosby ,3156,1336,103,1686,31
Culberson ,1233,235,2,969,27
Dallam ,3399,1899,41,1375,84
Dallas ,1225727,392344,286253,461763,85367
Dawson ,6036,2402,214,3342,78
Deaf Smith ,9862,3014,86,6631,131
Delta ,2730,2255,215,127,133
Denton ,357546,226034,30758,66166,34588
Dewitt ,10070,5917,759,3198,196
Dickens ,1076,774,14,267,21
Dimmit ,5466,624,38,4755,49
Donley ,1876,1580,93,158,45
Duval ,5795,517,4,5238,36
Eastland ,9509,7866,132,1348,163
Ector ,72380,28964,2913,38928,1575
Edwards ,987,474,3,500,10
Ellis ,78130,50972,7085,18187,1886
El Paso ,429903,49718,9031,361916,9238
Erath ,19907,15530,178,3783,416
Falls ,9395,4853,2569,1823,150
Fannin ,16162,13602,726,1310,524
Fayette ,12975,9511,866,2409,189
Fisher ,1999,1406,70,497,26
Floyd ,3280,1400,101,1749,30
Foard ,706,572,28,101,5
Fort Bend ,317979,110544,69748,75968,61719
Franklin ,5406,4401,206,640,159
Freestone ,9542,6771,1441,1187,143
Frio ,7514,1330,30,6060,94
Gaines ,9021,5515,134,3264,108
Galveston ,151714,88552,21047,34239,7876
Garza ,2404,1302,126,933,43
Gillespie ,13205,10423,26,2569,187
Glasscock ,586,396,7,181,2
Goliad ,3711,2233,167,1270,41
Gonzales ,10029,4519,646,4723,141
Gray ,10983,7821,284,2581,297
Grayson ,62572,48916,3649,7150,2857
Gregg ,63364,38273,12990,10127,1974
Grimes ,12437,7742,1820,2634,241
Guadalupe ,70730,38218,4223,25484,2805
Hale ,17719,6629,669,10142,279
Hall ,1741,1043,109,564,25
Hamilton ,4358,3870,13,427,48
Hansford ,2816,1570,14,1199,33
Hardeman ,2063,1490,94,441,38
Hardin ,28277,24810,1742,1210,515
Harris ,2129930,681317,413180,864454,170979
Harrison ,34210,21993,7732,3694,791
Hartley ,2390,1873,4,465,48
Haskell ,2809,1992,70,694,53
