Year,Area Code,Area Name,Age,Total Pop,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Hispanic Total,Hispanic Male,Hispanic Female,Other Total,Other Male,Other Female
2011,1,Anderson,All (0-85+),"58,727","35,649","23,078","35,755","19,692","16,063","12,242","8,879","3,363","9,534","6,495","3,039","1,196",583,613
2011,3,Andrews,All (0-85+),"15,327","7,653","7,674","7,244","3,541","3,703",205,107,98,"7,564","3,852","3,712",314,153,161
2011,5,Angelina,All (0-85+),"88,214","43,287","44,927","55,241","26,892","28,349","13,078","6,179","6,899","17,909","9,296","8,613","1,986",920,"1,066"
2011,7,Aransas,All (0-85+),"23,334","11,564","11,770","16,353","8,022","8,331",252,146,106,"5,852","2,960","2,892",877,436,441
2011,9,Archer,All (0-85+),"8,913","4,490","4,423","8,039","4,026","4,013",32,19,13,684,377,307,158,68,90
2011,11,Armstrong,All (0-85+),"1,935",943,992,"1,758",860,898,12,7,5,123,58,65,42,18,24
2011,13,Atascosa,All (0-85+),"46,363","22,851","23,512","16,646","8,081","8,565",268,148,120,"28,857","14,333","14,524",592,289,303
2011,15,Austin,All (0-85+),"28,673","14,223","14,450","18,559","9,085","9,474","2,659","1,312","1,347","6,946","3,589","3,357",509,237,272
2011,17,Bailey,All (0-85+),"7,264","3,674","3,590","2,714","1,311","1,403",72,43,29,"4,405","2,284","2,121",73,36,37
2011,19,Bandera,All (0-85+),"20,676","10,259","10,417","16,657","8,228","8,429",90,50,40,"3,526","1,795","1,731",403,186,217
2011,21,Bastrop,All (0-85+),"75,906","38,878","37,028","42,608","21,272","21,336","5,667","3,033","2,634","25,529","13,525","12,004","2,102","1,048","1,054"
2011,23,Baylor,All (0-85+),"3,746","1,817","1,929","3,153","1,538","1,615",77,40,37,464,219,245,52,20,32
2011,25,Bee,All (0-85+),"32,310","19,307","13,003","11,031","6,722","4,309","2,535","2,339",196,"18,258","10,000","8,258",486,246,240
2011,27,Bell,All (0-85+),"317,759","157,236","160,523","159,375","79,437","79,938","64,625","32,164","32,461","69,900","35,003","34,897","23,859","10,632","13,227"
2011,29,Bexar,All (0-85+),"1,756,262","861,609","894,653","521,392","258,929","262,463","121,441","60,454","60,987","1,038,981","507,140","531,841","74,448","35,086","39,362"
2011,31,Blanco,All (0-85+),"10,672","5,401","5,271","8,451","4,211","4,240",62,42,20,"1,970","1,063",907,189,85,104
2011,33,Borden,All (0-85+),646,336,310,545,281,264,0,0,0,92,53,39,9,2,7
2011,35,Bosque,All (0-85+),"18,356","9,152","9,204","14,720","7,220","7,500",276,156,120,"3,051","1,628","1,423",309,148,161
2011,37,Bowie,All (0-85+),"93,275","47,158","46,117","61,344","30,217","31,127","22,543","11,381","11,162","6,307","4,019","2,288","3,081","1,541","1,540"
2011,39,Brazoria,All (0-85+),"319,949","162,258","157,691","167,123","83,892","83,231","38,309","20,056","18,253","90,034","46,490","43,544","24,483","11,820","12,663"
2011,41,Brazos,All (0-85+),"198,311","100,447","97,864","115,902","58,333","57,569","21,167","10,153","11,014","47,311","24,498","22,813","13,931","7,463","6,468"
2011,43,Brewster,All (0-85+),"9,333","4,700","4,633","5,056","2,555","2,501",84,64,20,"3,966","1,970","1,996",227,111,116
2011,45,Briscoe,All (0-85+),"1,652",818,834,"1,162",571,591,42,20,22,422,213,209,26,14,12
2011,47,Brooks,All (0-85+),"7,272","3,614","3,658",575,280,295,22,12,10,"6,635","3,305","3,330",40,17,23
2011,49,Brown,All (0-85+),"38,341","18,975","19,366","28,449","13,923","14,526","1,317",721,596,"7,671","3,875","3,796",904,456,448
