County ,Total,"Total 
Male",Total Female,White Male,White Female,"Black 
Male",Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson ,"58,964","35,746","23,218","19,690","16,107","8,906","3,374","6,562","3,118",588,619,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews ,"16,039","8,007","8,032","3,667","3,845",112,106,"4,070","3,916",158,165,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina ,"88,850","43,635","45,215","26,960","28,391","6,239","6,949","9,496","8,794",940,"1,081",,,,,,,,,,,,,,,,,,,,,,,,,,
Aransas ,"23,825","11,783","12,042","8,129","8,470",144,109,"3,065","3,002",445,461,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer ,"8,996","4,527","4,469","4,056","4,047",19,14,384,316,68,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong ,"1,940",945,995,863,898,7,5,57,67,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Atascosa ,"46,956","23,121","23,835","8,134","8,641",151,120,"14,544","14,766",292,308,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin ,"28,837","14,307","14,530","9,096","9,478","1,318","1,349","3,655","3,429",238,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey ,"7,301","3,687","3,614","1,304","1,407",40,28,"2,306","2,141",37,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandera ,"20,738","10,278","10,460","8,229","8,449",50,41,"1,810","1,751",189,219,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop ,"77,140","39,479","37,661","21,485","21,580","3,068","2,666","13,852","12,339","1,074","1,076",,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor ,"3,765","1,835","1,930","1,550","1,614",40,38,224,245,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee ,"32,445","19,361","13,084","6,701","4,308","2,338",198,"10,076","8,336",246,242,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell ,"322,817","159,719","163,098","80,364","80,940","32,682","33,024","35,786","35,641","10,887","13,493",,,,,,,,,,,,,,,,,,,,,,,,,,
Bexar ,"1,784,731","875,870","908,861","261,573","264,901","61,320","61,833","517,132","541,945","35,845","40,182",,,,,,,,,,,,,,,,,,,,,,,,,,
Blanco ,"10,805","5,469","5,336","4,246","4,281",44,20,"1,091",930,88,105,,,,,,,,,,,,,,,,,,,,,,,,,,
Borden ,648,338,310,282,263,0,0,54,40,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosque ,"18,485","9,214","9,271","7,231","7,524",160,122,"1,674","1,460",149,165,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie ,"93,857","47,493","46,364","30,327","31,161","11,520","11,301","4,087","2,346","1,559","1,556",,,,,,,,,,,,,,,,,,,,,,,,,,
Brazoria ,"324,663","164,693","159,970","84,793","84,082","20,333","18,497","47,463","44,467","12,104","12,924",,,,,,,,,,,,,,,,,,,,,,,,,,
Brazos ,"201,514","102,100","99,414","59,114","58,274","10,330","11,181","25,043","23,362","7,613","6,597",,,,,,,,,,,,,,,,,,,,,,,,,,
Brewster ,"9,374","4,723","4,651","2,559","2,496",64,20,"1,988","2,018",112,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe ,"1,652",813,839,564,590,20,22,214,215,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks ,"7,303","3,628","3,675",282,292,13,10,"3,316","3,349",17,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown ,"38,762","19,180","19,582","14,043","14,647",728,604,"3,947","3,875",462,456,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson ,"17,706","8,776","8,930","5,846","6,085","1,029","1,101","1,773","1,605",128,139,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnet ,"43,906","21,573","22,333","15,971","17,037",384,344,"4,798","4,464",420,488,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell ,"39,014","19,680","19,334","8,504","8,413","1,279","1,209","9,457","9,277",440,435,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun ,"21,692","10,965","10,727","4,850","4,830",259,254,"5,210","5,111",646,532,,,,,,,,,,,,,,,,,,,,,,,,,,
Callahan ,"13,616","6,639","6,977","5,866","6,207",67,67,549,526,157,177,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron ,"417,573","201,272","216,301","21,390","21,011",726,500,"177,160","192,735","1,996","2,055",,,,,,,,,,,,,,,,,,,,,,,,,,
Camp ,"12,533","6,143","6,390","3,478","3,772","1,008","1,152","1,496","1,301",161,165,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson ,"6,325","3,128","3,197","2,760","2,825",17,17,263,288,88,67,,,,,,,,,,,,,,,,,,,,,,,,,,
Cass ,"30,496","14,828","15,668","11,472","11,983","2,497","2,819",574,527,285,339,,,,,,,,,,,,,,,,,,,,,,,,,,
Castro ,"8,167","4,116","4,051","1,457","1,487",76,80,"2,548","2,444",35,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers ,"36,745","18,493","18,252","12,760","12,830","1,500","1,455","3,791","3,490",442,477,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee ,"51,723","26,308","25,415","15,587","16,324","4,026","3,477","6,192","5,019",503,595,,,,,,,,,,,,,,,,,,,,,,,,,,
Childress ,"7,055","4,137","2,918","2,220","2,062",549,131,"1,291",657,77,68,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay ,"10,844","5,326","5,518","4,937","5,080",28,26,222,254,139,158,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochran ,"3,125","1,547","1,578",635,663,50,55,845,840,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke ,"3,373","1,668","1,705","1,300","1,369",4,3,332,304,32,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleman ,"8,974","4,442","4,532","3,541","3,605",95,95,718,754,88,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin ,"827,521","406,621","420,900","251,641","260,388","32,745","37,306","64,311","62,395","57,924","60,811",,,,,,,,,,,,,,,,,,,,,,,,,,
Collingsworth ,"3,095","1,522","1,573",953,975,50,73,476,487,43,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ,"21,037","10,442","10,595","6,061","6,291","1,282","1,388","2,959","2,764",140,152,,,,,,,,,,,,,,,,,,,,,,,,,,
Comal ,"115,084","56,505","58,579","40,032","41,463",936,811,"14,298","14,836","1,239","1,469",,,,,,,,,,,,,,,,,,,,,,,,,,
Comanche ,"14,060","6,932","7,128","4,889","5,180",9,13,"1,952","1,826",82,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Concho ,"4,116","2,833","1,283",921,869,55,5,"1,831",392,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooke ,"38,981","19,326","19,655","14,833","15,493",562,471,"3,391","3,003",540,688,,,,,,,,,,,,,,,,,,,,,,,,,,
Coryell ,"77,462","37,956","39,506","23,402","24,210","5,549","6,066","6,414","6,267","2,591","2,963",,,,,,,,,,,,,,,,,,,,,,,,,,
Cottle ,"1,522",716,806,491,556,57,75,157,172,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Crane ,"4,497","2,204","2,293",844,920,63,61,"1,256","1,271",41,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett ,"3,758","1,851","1,907",654,662,8,6,"1,165","1,222",24,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosby ,"6,088","2,932","3,156","1,210","1,336",92,103,"1,596","1,686",34,31,,,,,,,,,,,,,,,,,,,,,,,,,,
Culberson ,"2,418","1,185","1,233",263,235,4,2,880,969,38,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallam ,"7,051","3,652","3,399","1,959","1,899",45,41,"1,542","1,375",106,84,,,,,,,,,,,,,,,,,,,,,,,,,,
