County ,Total,Total Male,Total Female,White Male,White Female,Black Male,Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,
ANDERSON ,"59,008","35,824","23,184","19,640","15,925","8,877","3,378","6,692","3,211",615,670,
ANDREWS ,"16,491","8,244","8,247","3,717","3,880",106,105,"4,257","4,086",164,176,
ANGELINA ,"89,839","44,235","45,604","27,018","28,265","6,332","7,003","9,873","9,167","1,012",1169,
ARANSAS ,"24,385","12,054","12,331","8,268","8,659",156,113,"3,175","3,093",455,466,
ARCHER ,"9,242","4,623","4,619","4,127","4,171",19,10,410,342,67,96,
ARMSTRONG ,"1,944",961,983,872,892,5,5,68,62,16,24,
ATASCOSA ,"47,125","23,174","23,951","8,018","8,615",149,111,"14,714","14,916",293,309,
AUSTIN ,"29,178","14,408","14,770","8,937","9,467","1,355","1,391","3,858","3,622",258,290,
BAILEY ,"7,140","3,622","3,518","1,251","1,334",38,24,"2,300","2,122",33,38,
BANDERA ,"20,942","10,368","10,574","8,245","8,505",51,30,"1,886","1,810",186,229,
BASTROP ,"78,707","40,042","38,665","21,152","21,703","3,097","2,707","14,659","13,103","1,134","1,152",
BAYLOR ,"3,631","1,749","1,882","1,475","1,562",33,34,220,253,21,33,
BEE ,"32,414","19,401","13,013","6,708","4,266","2,327",197,"10,111","8,306",255,244,
BELL ,"326,917","162,104","164,813","80,804","80,681","32,864","33,149","36,982","36,833","11,454","14,150",
BEXAR ,"1,813,421","892,732","920,689","259,671","260,460","62,955","62,739","531,217","554,345","38,889","43,145",
BLANCO ,"10,591","5,373","5,218","4,160","4,178",40,19,"1,077",921,96,100,
BORDEN ,657,345,312,287,263,0,0,57,45,1,4,
BOSQUE ,"18,454","9,223","9,231","7,218","7,447",151,124,"1,711","1,489",143,171,
BOWIE ,"94,440","47,931","46,509","30,348","30,955","11,710","11,435","4,198","2,452","1,675","1,667",
BRAZORIA ,"330,385","166,796","163,589","83,380","83,163","21,203","19,752","49,032","46,677","13,181","13,997",
BRAZOS ,"203,420","103,274","100,146","58,404","57,308","10,496","11,296","26,367","24,580","8,007","6,962",
BREWSTER ,"9,274","4,681","4,593","2,517","2,466",62,14,"1,982","1,997",120,116,
BRISCOE ,"1,541",778,763,537,545,15,17,213,191,13,10,
BROOKS ,"7,292","3,640","3,652",282,297,11,5,"3,325","3,329",22,21,
BROWN ,"38,889","19,332","19,557","13,985","14,488",749,613,"4,106","3,987",492,469,
BURLESON ,"17,467","8,646","8,821","5,698","5,964","1,014","1,088","1,804","1,644",130,125,
BURNET ,"44,376","21,745","22,631","15,943","17,152",393,343,"4,986","4,635",423,501,
CALDWELL ,"39,231","19,717","19,514","8,305","8,386","1,298","1,201","9,670","9,493",444,434,
CALHOUN ,"21,729","10,989","10,740","4,762","4,717",255,258,"5,304","5,218",668,547,
CALLAHAN ,"13,955","6,651","7,304","5,819","6,500",74,66,595,552,163,186,
