County ,Total,Total Male,Total Female,White Male,White Female,Black Male,Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female
ANDERSON ,"58,458","35,521","22,937","19,840","16,224","9,004","3,485","6,363","2,924",314,304
ANDREWS ,"14,786","7,368","7,418","3,501","3,663",114,112,"3,655","3,540",98,103
ANGELINA ,"86,771","42,515","44,256","26,849","28,381","6,213","6,984","8,899","8,246",554,645
ARANSAS ,"23,158","11,485","11,673","8,135","8,408",168,128,"2,878","2,812",304,325
ARCHER ,"9,054","4,563","4,491","4,135","4,120",21,18,372,303,35,50
ARMSTRONG ,"1,901",928,973,850,892,6,5,61,63,11,13
ATASCOSA ,"44,911","22,130","22,781","8,008","8,502",156,130,"13,810","13,975",156,174
AUSTIN ,"28,417","14,073","14,344","9,169","9,590","1,340","1,386","3,429","3,212",135,156
BAILEY ,"7,165","3,621","3,544","1,332","1,442",42,25,"2,227","2,056",20,21
BANDERA ,"20,485","10,172","10,313","8,280","8,478",53,45,"1,739","1,676",100,114
BASTROP ,"74,171","37,997","36,174","21,489","21,533","3,182","2,774","12,833","11,357",493,510
BAYLOR ,"3,726","1,795","1,931","1,539","1,636",42,36,208,247,6,12
BEE ,"31,861","19,063","12,798","6,740","4,359","2,360",216,"9,817","8,089",146,134
BELL ,"310,235","153,464","156,771","80,070","80,817","33,971","34,483","33,574","33,436","5,849","8,035"
BEXAR ,"1,714,773","840,840","873,933","263,119","267,130","62,929","63,715","491,194","515,764","23,598","27,324"
BLANCO ,"10,497","5,300","5,197","4,181","4,221",45,23,"1,029",880,45,73
BORDEN ,641,335,306,282,261,0,0,53,42,0,3
BOSQUE ,"18,212","9,053","9,159","7,265","7,561",179,158,"1,555","1,371",54,69
BOWIE ,"92,565","46,758","45,807","30,536","31,469","11,569","11,367","3,892","2,170",761,801
BRAZORIA ,"313,166","159,000","154,166","84,813","84,133","20,207","18,353","44,846","41,797","9,134","9,883"
BRAZOS ,"194,851","98,630","96,221","58,693","58,010","10,390","11,292","23,529","21,876","6,018","5,043"
