county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,prenatal_percent_2010_2014
LOVING,-,-,-,-,-,0,0,0,0,0,N/A
KENEDY,*,*,*,*,*,4,3,3,1,1,--
KING,-,-,*,*,*,0,0,1,6,2,--
WEBB,68.5,75.1,77.7,81.7,72,"3,391","3,968","4,146","4,355","3,911",86
ZAPATA,66.7,80.6,78.9,85,74,178,208,217,244,245,85
ARCHER,78.3,83.8,81.3,80.6,85.1,65,57,61,50,63,82
BAYLOR,79.1,76.7,77.1,96.9,80,34,23,37,31,32,82
CRANE,75.6,80.2,70,63.3,72.6,59,65,56,38,45,81.9
ECTOR,71.3,80,66.6,66.2,72.4,"2,241","2,306","1,828","1,617","1,759",81
WARD,67.7,87.4,73.2,62,77.2,126,167,123,101,105,81
WILLIAMSON,80.8,79.6,81.4,79.3,78,"5,000","4,646","4,868","4,658","4,658",81
MAVERICK,75.8,79.2,78.2,81.3,82.7,881,855,848,837,816,80
HARTLEY,83.3,76.5,81,79.2,68.5,50,52,51,42,37,79
JIM HOGG,75,81,71.8,65.2,67.1,57,64,61,58,57,79
THROCKMORTON,*,*,*,*,*,10,14,12,8,15,78.7
UPTON,59.2,74.1,63.5,61.5,81.6,29,43,33,32,31,78.5
ARMSTRONG,*,76.9,70,*,74.1,11,20,21,10,20,78.1
OLDHAM,81.8,77.4,*,*,*,18,24,13,16,13,78
WICHITA,76.1,75.1,78.6,76.5,75.9,"1,371","1,319","1,386","1,403","1,354",78
GLASSCOCK,*,*,*,*,*,11,10,9,7,8,77.6
CLAY,73.2,71.7,84.2,76.7,70.8,60,71,80,56,68,77
JACKSON,70.1,78.5,72.2,78.2,75,141,139,135,140,144,77
BROWN,73,75.1,77.1,76.4,74.1,309,314,324,324,304,76
WILSON,56.8,65.4,69.9,71.3,70.8,271,321,316,298,255,76
WINKLER,65.7,78.5,62.1,63.6,63.1,88,102,82,68,65,76
CARSON,69.6,80.8,70.8,82.8,71,48,42,46,53,44,74.9
GOLIAD,67.1,82,72.6,64.9,75,51,41,45,37,54,74.5
CAMERON,69.8,73.8,69.8,69,64.3,"5,005","5,400","5,094","5,185","4,983",74
COLLIN,68.6,72.8,74.3,74.7,72.5,"7,376","7,643","7,606","7,673","7,630",74
RANDALL,72.1,74.3,73.9,76.3,69.2,"1,269","1,251","1,192","1,257","1,071",74
REEVES,65.2,76.2,65,67.1,69.3,129,147,106,104,113,74
CORYELL,71.6,74.5,71.2,70.3,68,712,712,591,629,619,73
HOPKINS,66.7,75.2,76.6,72.6,69.9,313,321,347,350,351,73
MEDINA,65.4,66.6,69.5,70.9,71.6,367,331,323,312,341,73
