county,percent_2015,percent_2014,percent_2013,percent_2012,percent_2011,number_2015,number_2014,number_2013,number_2012,number_2011
ANDERSON,62.5,60.1,64.2,63.4,63.1,393,341,370,355,382
ANDREWS,52.8,62.4,66,61.9,60.5,170,212,217,195,159
ANGELINA,58.5,55.8,60.2,62,60.3,705,646,736,732,736
ARANSAS,48.5,44.4,51.6,63.4,53.8,132,120,131,137,113
ARCHER,83.3,78.3,83.8,81.3,80.6,65,65,57,61,50
ARMSTRONG,71.4,*,76.9,70,*,15,11,20,21,10
ATASCOSA,57.6,55.8,48.4,64.1,67.6,349,365,282,387,400
AUSTIN,59.1,55.1,57.4,60.2,59.2,194,193,182,197,189
BAILEY,47.1,40.2,49,50.4,41.9,57,37,51,58,54
BANDERA,55.8,47.4,54.1,65.4,61.9,82,72,85,102,91
BASTROP,69.8,68.7,72.2,67.1,69.2,728,711,701,564,564
BAYLOR,68.3,79.1,76.7,77.1,96.9,28,34,23,37,31
BEE,52.9,62.3,64.1,63.5,63.5,217,256,248,223,242
BELL,67.5,70,72.3,70.9,69.5,"4,100","3,672","3,768","3,392","3,170"
BEXAR,63.3,60.9,59.8,65,71,"16,668","15,854","15,035","15,844","15,923"
BLANCO,53.7,59.6,56.1,56.5,60.9,51,59,37,48,53
BORDEN,*,*,*,*,*,4,4,8,4,4
BOSQUE,64.4,59.9,59.6,62,59.3,114,94,112,111,102
BOWIE,48.2,47.9,54.2,58.2,57.7,573,554,619,709,644
BRAZORIA,64.7,60.6,63.6,63.8,64.3,"3,013","2,763","2,847","2,839","2,712"
BRAZOS,68.3,66,61.9,65.7,68.9,"1,887","1,672","1,437","1,411","1,436"
BREWSTER,67,71.8,67,65.8,67.3,63,74,77,75,72
BRISCOE,*,*,*,*,50,10,3,8,5,11
BROOKS,46.7,41.9,47.4,44,46.4,49,44,55,44,65
BROWN,74.6,73,75.1,77.1,76.4,306,309,314,324,324
BURLESON,65.7,62.8,61.2,49.4,64.3,134,118,93,81,101
BURNET,67.8,69.2,65.2,65.2,63.5,352,297,285,275,285
CALDWELL,55.5,55.5,61.3,60.8,62.1,300,284,282,282,296
