county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010
VAL VERDE,37.8,35.4,40.3,34.7,37.8,325,310,344,296,334,75,53.2,3,*,247,34.9,76,55.5,3,*,231,31.6,74,54.8,5,*,265,37.3,57,42.9,5,*,234,33,73,54.1,7,*,254,34.4
EDWARDS,39.3,23.8,*,56.7,53.8,11,5,10,17,14,3,*,1,*,7,31.8,1,*,0,-,4,*,4,*,1,*,5,*,9,*,0,-,8,*,7,*,0,-,7,*
BAILEY,40.2,49,50.4,41.9,36.4,37,51,58,54,39,12,52.2,0,-,25,36.8,24,70.6,0,-,27,38.6,30,65.2,0,-,28,40.6,23,62.2,1,*,30,33,17,42.5,1,*,21,31.8
FRIO,41.1,51.6,47.6,54.9,57.6,106,128,118,117,133,20,46.5,1,*,85,40.1,32,62.7,1,*,95,48.7,27,50,0,-,91,46.9,19,59.4,0,-,98,54.1,20,64.5,0,-,113,56.5
KIMBLE,41.3,52.5,55.8,56.4,64.1,19,21,24,22,25,16,45.7,0,-,3,*,15,51.7,0,-,6,*,18,66.7,0,-,6,*,17,63,0,-,5,*,20,74.1,0,-,5,*
BROOKS,41.9,47.4,44,46.4,47.4,44,55,44,65,55,3,*,0,-,41,42.3,4,*,0,-,51,47.2,2,*,1,*,41,44.1,2,*,1,*,62,47,6,*,0,-,49,45
TITUS,43.7,59.9,51.1,63.1,59.2,234,296,256,311,299,111,57.2,17,39.5,106,35.5,126,80.3,27,60,143,49,118,67,16,47.1,122,41.9,117,72.2,28,70,166,57,117,70.1,24,54.5,158,53.7
GONZALES,44.3,50.5,49.6,43.3,45.4,141,141,133,119,132,63,58.3,10,*,68,34.9,67,76.1,4,*,70,38.3,59,64.1,7,*,67,41.1,41,53.9,4,*,74,40,52,57.1,8,*,72,38.7
ARANSAS,44.4,51.6,63.4,53.8,55.2,120,131,137,113,144,71,46.7,4,*,45,40.2,80,51.6,1,*,50,51.5,81,67.5,1,*,55,58.5,67,57.3,2,*,44,48.4,85,55.6,3,*,56,56.6
DUVAL,45.6,50.4,46,42.4,45.5,68,64,69,75,75,2,*,0,-,66,47.5,5,*,0,-,59,49.2,5,*,0,-,64,45.7,9,*,0,-,66,42,5,*,0,-,70,45.2
HASKELL,46,69.8,60,61.1,50,23,30,27,33,23,15,51.7,0,-,8,*,25,86.2,1,*,4,*,13,61.9,1,*,13,61.9,21,60,1,*,11,*,12,46.2,0,-,11,*
