Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
ANDERSON,355,63.4,241,67.5,44,54.3,70,57.4
ANDREWS,195,61.9,75,69.4,2,*,118,58.1
ANGELINA,732,62,439,68,105,57.4,188,53.6
ARANSAS,137,63.4,81,67.5,1,*,55,58.5
ARCHER,61,81.3,55,83.3,0,-,6,*
ARMSTRONG,21,70,21,72.4,0,-,0,-
ATASCOSA,387,64.1,139,66.8,0,-,248,62.6
AUSTIN,197,60.2,121,70.8,21,56.8,55,46.2
BAILEY,58,50.4,30,65.2,0,-,28,40.6
BANDERA,102,65.4,84,69.4,2,*,16,50
BASTROP,564,67.1,300,73.7,31,60.8,233,61
BAYLOR,37,77.1,34,79.1,1,*,2,*
BEE,223,63.5,56,60.9,5,*,162,64
BELL,"3,392",70.9,"1,977",74.1,688,67.7,727,66.1
BEXAR,"15,844",65,"5,039",73,891,60.2,"9,914",62
BLANCO,48,56.5,41,60.3,0,-,7,*
BORDEN,4,*,4,*,0,-,0,-
BOSQUE,111,62,80,65.6,2,*,29,55.8
BOWIE,709,58.2,474,64.1,176,48.8,59,50
BRAZORIA,"2,839",63.8,"1,691",66.7,266,61.3,882,59.7
BRAZOS,"1,411",65.7,862,70.3,114,50.7,435,62.5
BREWSTER,75,65.8,39,67.2,0,-,36,64.3
BRISCOE,5,*,3,*,0,-,2,*
BROOKS,44,44,2,*,1,*,41,44.1
BROWN,324,77.1,257,79.1,8,*,59,70.2
BURLESON,81,49.4,52,57.1,7,33.3,22,42.3
BURNET,275,65.2,192,71.9,2,*,81,53.3
CALDWELL,282,60.8,113,72.4,5,*,164,56.4
CALHOUN,169,68.1,71,76.3,4,*,94,63.1
CALLAHAN,95,69.9,83,70.9,1,*,11,*
CAMERON,"5,094",69.8,184,67.6,10,*,"4,900",69.9
CAMP,107,56.9,55,66.3,23,53.5,29,46.8
CARSON,46,70.8,41,70.7,0,-,5,*
CASS,176,52.2,138,55.6,30,40.5,8,*
CASTRO,82,59.4,20,87,0,-,62,54.4
CHAMBERS,256,58.6,173,59.7,16,50,67,58.3
CHEROKEE,347,50.2,224,57.7,39,44.3,84,39.1
CHILDRESS,44,64.7,30,71.4,1,*,13,52
CLAY,80,84.2,77,83.7,0,-,3,*
COCHRAN,24,50,9,*,0,-,15,41.7
COKE,21,72.4,18,78.3,0,-,3,*
COLEMAN,55,57.9,40,57.1,0,-,15,62.5
COLLIN,"7,606",74.3,"5,947",79.7,555,63.6,"1,104",58.3
COLLINGSWORTH,20,48.8,12,54.5,0,-,8,*
COLORADO,143,62.2,68,72.3,20,58.8,55,53.9
COMAL,759,61.2,536,66.1,7,*,216,51.7
COMANCHE,92,59.4,61,61,0,-,31,56.4
CONCHO,13,56.5,9,*,0,-,4,*
COOKE,324,57.5,263,67.3,10,*,51,33.3
CORYELL,591,71.2,424,71.1,62,77.5,105,68.2
COTTLE,7,*,5,*,1,*,1,*
CRANE,56,70,22,84.6,0,-,34,64.2
CROCKETT,27,50,11,*,0,-,16,45.7
CROSBY,46,64.8,13,*,0,-,33,63.5
CULBERSON,17,56.7,3,*,0,-,14,53.8
DALLAM,89,61.8,56,71.8,0,-,33,50.8
DALLAS,"21,034",55.7,"7,401",65.2,"3,567",45.6,"10,066",54.1
DAWSON,117,62.2,49,69,3,*,65,57.5
DEAF SMITH,223,63.4,50,83.3,0,-,173,59.9
DELTA,42,68.9,37,71.2,4,*,1,*
DENTON,"6,440",69.7,"4,689",76.8,496,61.1,"1,255",54.2
DEWITT,160,65.8,82,73.9,13,*,65,58
DICKENS,5,*,4,*,0,-,1,*
DIMMIT,140,72.9,13,*,1,*,126,72.8
DONLEY,21,53.8,18,56.3,1,*,2,*
DUVAL,69,46,5,*,0,-,64,45.7
EASTLAND,92,58.2,78,57.8,1,*,13,59.1
ECTOR,"1,828",66.6,631,70.3,60,63.8,"1,137",64.9
EDWARDS,10,*,4,*,1,*,5,*
EL PASO,"8,320",62.5,"1,349",66.7,228,62.1,"6,743",61.8
ELLIS,"1,098",60.6,750,70.5,75,47.2,273,46.3
ERATH,296,60.5,219,66.4,3,*,74,47.7
FALLS,82,52.2,40,59.7,20,42.6,22,51.2
FANNIN,192,60.4,165,67.9,6,*,21,33.9
FAYETTE,145,71.8,98,83.8,9,*,38,54.3
FISHER,20,64.5,14,66.7,0,-,6,*
FLOYD,51,56.7,20,76.9,0,-,31,49.2
FOARD,14,*,9,*,1,*,4,*
FORT BEND,"5,099",64.7,"3,056",72,794,54.1,"1,249",57.7
FRANKLIN,67,70.5,51,76.1,3,*,13,52
FREESTONE,137,60.1,94,71.2,18,58.1,25,38.5
FRIO,118,47.6,27,50,0,-,91,46.9
GAINES,151,44.9,90,48.4,2,*,59,41
GALVESTON,"2,431",63.1,"1,480",65.3,270,55.1,681,62.2
GARZA,25,50,14,60.9,3,*,8,36.4
GILLESPIE,147,60,94,64.4,0,-,53,53.5
GLASSCOCK,9,*,7,*,0,-,2,*
GOLIAD,45,72.6,22,68.8,1,*,22,75.9
GONZALES,133,49.6,59,64.1,7,*,67,41.1
GRAY,214,62.6,123,62.8,5,*,86,61.9
GRAYSON,853,57.4,685,63.9,53,55.2,115,36.1
GREGG,938,49,544,56.8,173,41.3,221,41.2
GRIMES,147,60.5,92,63.4,13,52,42,57.5
GUADALUPE,"1,048",63.6,640,70.6,28,48.3,380,55.6
HALE,306,57,83,64.8,8,*,215,54.7
HALL,18,54.5,10,*,0,-,8,*
HAMILTON,58,63,51,68,0,-,7,*
HANSFORD,41,54.7,19,86.4,0,-,22,41.5
HARDEMAN,24,60,15,68.2,0,-,9,*
HARDIN,485,70.8,443,72.1,30,62.5,12,52.2
HARRIS,"37,055",58.5,"14,068",67.9,"5,955",52.6,"17,032",54.5
HARRISON,448,55.1,299,61.6,94,55.3,55,34.8
HARTLEY,51,81,41,85.4,0,-,10,*
HASKELL,27,60,13,61.9,1,*,13,61.9
HAYS,"1,479",72.3,826,78.8,37,75.5,616,64.9
HEMPHILL,47,70.1,34,79.1,0,-,13,54.2
HENDERSON,455,54,347,56.4,25,48.1,83,47.4
HIDALGO,"7,071",65.3,263,81.7,18,81.8,"6,790",64.8
HILL,239,59.3,164,66.1,13,50,62,48.1
HOCKLEY,195,53.6,79,66.4,2,*,114,48.9
HOOD,367,65.5,318,68.5,5,*,44,48.4
HOPKINS,347,76.6,255,78.2,21,72.4,71,72.4
HOUSTON,172,68,112,77.8,40,61.5,20,45.5
HOWARD,297,64.8,158,69.6,6,*,133,60.7
HUDSPETH,17,42.5,3,*,0,-,14,37.8
HUNT,588,56.4,460,63.1,55,55.6,73,34.1
HUTCHINSON,205,66.1,152,69.7,2,*,51,58
IRION,13,*,8,*,0,-,5,*
JACK,66,74.2,57,81.4,0,-,9,*
JACKSON,135,72.2,75,76.5,9,*,51,68.9
JASPER,270,64.6,209,70.1,41,48.2,20,57.1
JEFF DAVIS,8,*,5,*,0,-,3,*
JEFFERSON,"1,902",64.8,826,70.7,668,65.6,408,54.6
JIM HOGG,61,71.8,5,*,0,-,56,70.9
JIM WELLS,252,48.5,49,63.6,0,-,203,45.9
JOHNSON,"1,218",63.6,964,70.4,25,59.5,229,45.5
JONES,121,65.8,89,71.8,6,*,26,52
KARNES,96,60.8,34,73.9,1,*,61,55
KAUFMAN,863,60.4,633,66.1,66,51.2,164,48
KENDALL,222,67.9,166,77.6,1,*,55,49.1
KENEDY,3,*,2,*,0,-,1,*
KENT,5,*,5,*,0,-,0,-
KERR,226,46.2,152,52.4,4,*,70,36.3
KIMBLE,24,55.8,18,66.7,0,-,6,*
KING,1,*,0,-,0,-,1,*
KINNEY,17,48.6,10,*,0,-,7,*
KLEBERG,290,63.6,62,57.9,5,*,223,65.2
KNOX,34,64.2,19,76,2,*,13,54.2
LA SALLE,54,54,5,*,0,-,49,55.1
LAMAR,407,63.2,322,67.9,53,51.5,32,47.8
LAMB,106,59.6,42,68.9,4,*,60,54.1
LAMPASAS,130,66.7,98,68.5,0,-,32,65.3
LAVACA,166,73.8,121,79.1,5,*,40,62.5
LEE,131,69.3,84,75.7,12,*,35,58.3
LEON,132,63.5,104,65.8,5,*,23,53.5
LIBERTY,521,50.4,351,53.2,33,44,137,46
LIMESTONE,176,57.9,130,68.8,18,47.4,28,36.4
LIPSCOMB,12,36.4,8,*,0,-,4,*
LIVE OAK,80,66.7,41,80.4,0,-,39,56.5
LLANO,108,71.1,91,73.4,2,*,15,57.7
LOVING,0,-,0,-,0,-,0,-
LUBBOCK,"2,494",63.7,"1,380",69.3,191,57.9,923,57.9
