Geographic Area	Total Number	Total Percent	White Number	White Percent	Black Number	Black Percent	Hispanic Number	Hispanic Percent
Anderson	393	62.5	244	64.7	61	57	88	60.7
Andrews	170	52.8	68	58.6	3	*	99	49.3
Angelina	705	58.5	419	61.8	112	56.9	174	52.7
Aransas	132	48.5	73	47.7	2	*	57	50
Archer	65	83.3	60	87	0	-	5	*
Armstrong	15	71.4	15	71.4	0	-	0	-
Atascosa	349	57.6	125	61.3	1	*	223	55.6
Austin	194	59.1	113	67.7	20	55.6	61	48.8
Bailey	57	47.1	26	61.9	0	-	31	39.2
Bandera	82	55.8	67	61.5	0	-	15	40.5
Bastrop	728	69.8	373	77.1	30	56.6	325	64.2
Baylor	28	68.3	26	66.7	0	-	2	*
Bee	217	52.9	52	52.5	2	*	163	53.3
Bell	"4,100"	67.5	"2,312"	71.2	847	66	941	61
Bexar	"16,668"	63.3	"5,644"	72.2	969	57.6	"10,055"	59.8
Blanco	51	53.7	37	52.9	1	*	13	54.2
Borden	4	*	3	*	0	-	1	*
Bosque	114	64.4	84	71.2	2	*	28	52.8
Bowie	573	48.2	402	56.2	123	33.8	48	43.2
Brazoria	"3,013"	64.7	"1,706"	66.9	326	63.1	981	61.7
Brazos	"1,887"	68.3	"1,165"	74.5	195	57.9	527	61
Brewster	63	67	31	68.9	1	*	31	66
Briscoe	10	*	9	*	0	-	1	*
Brooks	49	46.7	3	*	0	-	46	46
Brown	306	74.6	224	76.2	10	*	72	69.9
Burleson	134	65.7	86	67.2	24	77.4	24	53.3
Burnet	352	67.8	228	75.5	2	*	122	57
Caldwell	300	55.5	129	66.8	8	*	163	49.4
Calhoun	198	64.1	90	69.2	2	*	106	61.3
Callahan	83	56.8	74	58.3	2	*	7	*
Cameron	"4,776"	66.5	231	73.1	18	62.1	"4,527"	66.3
Camp	116	68.2	66	72.5	12	*	38	62.3
Carson	47	85.5	44	88	0	-	3	*
Cass	210	57.2	168	60.6	29	43.9	13	54.2
Castro	71	57.3	24	82.8	0	-	47	49.5
Chambers	338	69	238	71.9	24	61.5	76	63.3
Cherokee	435	55.3	268	64.1	49	52.7	118	42.8
Childress	34	56.7	19	59.4	2	*	13	54.2
Clay	63	75.9	60	76.9	0	-	3	*
Cochran	19	50	9	*	1	*	9	37.5
Coke	28	71.8	22	71	0	-	6	*
Coleman	44	61.1	35	61.4	0	-	9	*
Collin	"7,597"	72.2	"5,900"	77.2	586	62.1	"1,111"	57.4
Collingsworth	14	56	11	*	1	*	2	*
Colorado	159	61.6	78	74.3	28	65.1	53	48.2
Comal	909	57.2	632	64.4	8	36.4	269	46
Comanche	116	67.8	73	66.4	0	-	43	70.5
Concho	20	60.6	10	*	1	*	9	*
Cooke	323	60.1	244	68.9	11	52.4	68	42
Coryell	688	69.3	498	68.7	75	75.8	115	68
Cottle	7	*	6	*	0	-	1	*
Crane	53	67.9	14	*	2	*	37	62.7
Crockett	37	66.1	12	*	1	*	24	60
Crosby	44	48.9	13	48.1	3	*	28	46.7
Culberson	21	60	5	*	0	-	16	59.3
Dallam	99	63.9	45	68.2	0	-	54	60.7
Dallas	"22,783"	57.5	"8,226"	67.7	"4,115"	48.8	"10,442"	54.9
Dawson	119	58.3	49	66.2	1	*	69	54.8
Deaf Smith	180	51.9	25	65.8	1	*	154	50.3
Delta	39	66.1	39	70.9	0	-	0	-
Denton	"6,660"	66.8	"4,786"	73.2	567	58.5	"1,307"	53.2
Dewitt	181	67.3	118	75.6	8	*	55	54.5
Dickens	14	56	12	*	0	-	2	*
Dimmit	107	62.9	12	*	0	-	95	62.9
Donley	24	75	19	79.2	0	-	5	*
Duval	84	53.5	6	*	0	-	78	52.7
Eastland	121	61.4	101	61.6	2	*	18	62.1
Ector	"2,038"	68.6	645	69.7	60	66.7	"1,333"	68.2
Edwards	10	45.5	5	*	0	-	5	*
El Paso	"7,951"	62.9	"1,351"	68.1	281	69.4	"6,319"	61.7
Ellis	"1,239"	58.9	818	66.1	103	53.6	318	47
Erath	228	51.2	181	59.5	1	*	46	32.9
Falls	93	48.2	55	55.6	19	45.2	19	36.5
Fannin	197	57.4	165	59.8	5	*	27	52.9
Fayette	193	69.9	120	76.4	18	69.2	55	59.1
Fisher	39	79.6	27	77.1	1	*	11	*
Floyd	45	60	10	*	0	-	35	61.4
Foard	6	*	5	*	0	-	1	*
Fort Bend	"5,857"	62.7	"3,485"	70.2	925	47.3	"1,447"	59.7
Franklin	75	61.5	68	70.1	1	*	6	27.3
Freestone	122	60.7	86	71.7	13	50	23	41.8
Frio	112	48.9	18	62.1	0	-	94	47
Gaines	231	51.4	135	52.3	2	*	94	50.5
Galveston	"2,458"	59.3	"1,405"	59.3	327	58.7	726	59.7
Garza	40	56.3	22	71	2	*	16	43.2
Gillespie	151	60.2	105	70.5	0	-	46	45.5
Glasscock	7	*	5	*	0	-	2	*
Goliad	56	72.7	33	80.5	1	*	22	64.7
Gonzales	194	57.2	74	72.5	12	*	108	49.1
Gray	201	60	131	63	4	*	66	53.7
Grayson	880	57.3	718	64.1	34	40.5	128	38.7
Gregg	"1,150"	62.4	631	66.4	216	56.1	303	59.9
Grimes	191	63.7	107	63.7	22	71	62	61.4
Guadalupe	"1,106"	61.8	652	67.7	55	67.1	399	53.5
Hale	275	57.3	97	62.2	4	*	174	55.9
Hall	15	71.4	6	*	4	*	5	*
Hamilton	60	65.9	50	68.5	0	-	10	*
Hansford	42	58.3	17	63	0	-	25	55.6
Hardeman	23	46	13	46.4	0	-	10	47.6
Hardin	425	63.8	382	66	16	39	27	58.7
Harris	"40,040"	58.6	"15,129"	67.8	"6,244"	51.8	"18,667"	54.9
Harrison	489	61	317	70.1	92	58.2	80	41.9
Hartley	33	61.1	23	65.7	0	-	10	*
Haskell	34	59.6	24	63.2	0	-	10	*
Hays	"1,688"	68.7	935	77.1	37	59.7	716	60.6
Hemphill	49	65.3	32	82.1	1	*	16	45.7
Henderson	523	59	403	62	31	59.6	89	48.4
Hidalgo	"7,810"	53.6	290	64.4	8	*	"7,512"	53.3
Hill	244	63.5	156	68.1	13	48.1	75	58.6
Hockley	182	54.5	79	66.9	0	-	103	48.8
Hood	438	65.3	379	69.5	1	*	58	46.8
Hopkins	311	70.7	227	78.8	22	64.7	62	52.5
Houston	136	61.5	83	67.5	33	51.6	20	58.8
Howard	248	52.1	127	58.5	6	*	115	47.7
Hudspeth	22	52.4	5	*	0	-	17	47.2
Hunt	580	54	431	59.4	39	49.4	110	40.7
Hutchinson	176	61.3	128	65	6	*	42	50.6
Irion	10	*	8	*	0	-	2	*
Jack	60	60	44	63.8	0	-	16	53.3
Jackson	159	75.7	90	83.3	6	*	63	66.3
Jasper	292	64.2	216	63.2	50	71.4	26	60.5
Jeff Davis	7	*	4	*	0	-	3	*
Jefferson	"1,969"	63.5	817	69.2	680	61.4	472	58.1
Jim Hogg	55	70.5	5	*	0	-	50	71.4
Jim Wells	260	48.5	44	54.3	1	*	215	47.6
Johnson	"1,276"	61.5	963	65.9	34	66.7	279	49.7
Jones	89	61	66	64.7	0	-	23	53.5
Karnes	91	53.8	31	57.4	3	*	57	51.4
Kaufman	897	59.3	610	64.3	95	60.5	192	47.2
Kendall	245	67.5	174	78	0	-	71	50.7
Kenedy	0	-	0	-	0	-	0	-
Kent	6	*	4	*	0	-	2	*
Kerr	288	53.8	176	59.1	3	*	109	47
Kimble	22	56.4	14	*	0	-	8	*
King	1	*	1	*	0	-	0	-
Kinney	20	42.6	5	*	0	-	15	38.5
Kleberg	280	65	75	76.5	4	*	201	62.4
Knox	30	66.7	15	68.2	5	*	10	*
La Salle	59	59.6	8	*	0	-	51	60.7
Lamar	460	68.6	357	71.4	65	63.1	38	55.9
Lamb	97	52.2	33	60	1	*	63	50.4
Lampasas	147	69.3	110	76.9	2	*	35	53
Lavaca	162	71.1	121	78.1	5	*	36	55.4
Lee	139	68.5	89	78.1	13	*	37	53.6
Leon	118	58.4	95	66	2	*	21	39.6
Liberty	593	53.9	407	58.2	45	53.6	141	44.3
Limestone	175	60.1	98	68.1	24	60	53	49.5
Lipscomb	25	59.5	15	65.2	0	-	10	*
Live Oak	68	52.7	34	68	0	-	34	43
Llano	106	60.2	85	62	3	*	18	50
Loving	0	-	0	-	0	-	0	-
Lubbock	"2,564"	62.6	"1,457"	71.2	175	50	932	54.9
Lynn	44	62.9	31	75.6	0	-	13	46.4
Mcculloch	50	57.5	33	61.1	0	-	17	51.5
Mclennan	"2,093"	64.1	"1,156"	71	273	55.2	664	58.1
Mcmullen	5	*	3	*	0	-	2	*
Madison	80	57.1	47	62.7	12	48	21	52.5
Marion	60	60.6	48	64	11	52.4	1	*
Martin	52	56.5	18	54.5	0	-	34	58.6
Mason	30	58.8	24	72.7	0	-	6	*
Matagorda	334	65.1	136	72	25	61	173	61.1
Maverick	853	74.9	49	96.1	2	*	802	73.8
Medina	359	64.8	154	67.8	5	*	200	62.3
Menard	12	*	9	*	0	-	3	*
Midland	"1,838"	60.8	960	69.5	72	43.1	806	54.6
Milam	187	64	116	71.6	19	59.4	52	53.1
Mills	22	73.3	16	72.7	0	-	6	*
Mitchell	57	66.3	36	70.6	4	*	17	60.7
Montague	159	68.2	128	68.1	0	-	31	68.9
Montgomery	"5,004"	69.5	"3,398"	73.1	212	64.4	"1,394"	62.6
Moore	233	53.7	82	56.9	3	*	148	52.3
Morris	91	58	60	58.8	20	66.7	11	44
Motley	2	*	1	*	0	-	1	*
Nacogdoches	494	57.9	287	66.9	78	42.6	129	53.5
Navarro	344	52.4	190	65.1	48	47.1	106	40.3
Newton	78	62.4	61	66.3	17	58.6	0	-
Nolan	129	63.2	76	69.7	2	*	51	59.3
Nueces	"2,942"	58.8	856	63.5	76	49.4	"2,010"	57.4
Ochiltree	83	47.4	33	62.3	0	-	50	41.3
Oldham	14	60.9	14	60.9	0	-	0	-
Orange	652	65.3	546	66.5	60	55	46	66.7
Palo Pinto	208	59.3	157	63.3	0	-	51	51.5
Panola	168	64.1	130	67.7	27	61.4	11	42.3
Parker	"1,044"	70.6	914	73.4	7	*	123	55.2
Parmer	64	46.7	27	84.4	3	*	34	33.7
Pecos	118	58.4	26	70.3	2	*	90	55.2
Polk	317	57.7	238	62.5	25	45.5	54	47.8
Potter	"1,066"	55	489	59.1	118	53.6	459	51.5
Presidio	47	44.3	7	*	1	*	39	42.4
Rains	68	66.7	61	70.1	0	-	7	*
Randall	"1,177"	71.1	879	73.9	33	50.8	265	66.1
Reagan	41	58.6	14	66.7	0	-	27	55.1
Real	24	58.5	18	62.1	0	-	6	*
Red River	73	65.8	55	68.8	9	*	9	*
Reeves	138	68.7	27	75	1	*	110	67.5
Refugio	64	67.4	31	68.9	2	*	31	66
Roberts	6	*	5	*	0	-	1	*
Robertson	125	63.1	85	77.3	12	33.3	28	53.8
Rockwall	677	67.3	536	71.6	34	60.7	107	53.2
Runnels	68	61.3	48	71.6	0	-	20	45.5
Rusk	403	63.1	270	69.9	51	56.7	82	50.3
Sabine	57	53.8	51	56	3	*	3	*
San Augustine	48	61.5	36	72	8	*	4	*
San Jacinto	143	51.1	117	53.4	8	*	18	41.9
San Patricio	564	56.5	203	63	3	*	358	53.6
San Saba	41	56.2	25	62.5	0	-	16	50
Schleicher	15	65.2	10	*	0	-	5	*
Scurry	123	53.7	67	65	2	*	54	45.4
Shackelford	29	67.4	25	67.6	1	*	3	*
Shelby	209	57.7	124	63.3	29	49.2	56	52.3
Sherman	24	64.9	16	*	0	-	8	*
Smith	"1,801"	59.2	"1,090"	67.2	287	53.5	424	48.1
Somervell	52	69.3	45	77.6	0	-	7	*
Starr	522	48	1	*	1	*	520	48
Stephens	80	67.2	57	69.5	0	-	23	62.2
Sterling	12	*	9	*	0	-	3	*
Stonewall	12	*	11	*	0	-	1	*
Sutton	30	60	10	*	0	-	20	54.1
Swisher	59	53.2	39	62.9	4	*	16	37.2
Tarrant	"16,810"	59.7	"9,291"	70.3	"2,570"	52.8	"4,949"	49.1
Taylor	"1,282"	61.4	888	68.3	83	42.1	311	52.7
Terrell	8	*	2	*	0	-	6	*
Terry	79	42.2	29	47.5	1	*	49	40.2
Throckmorton	6	*	3	*	0	-	3	*
Titus	296	59.7	118	72	31	68.9	147	51.2
Tom Green	"1,181"	69	662	74.7	21	53.8	498	63.3
Travis	"11,971"	73.9	"6,543"	83.6	867	69.6	"4,561"	64.1
