county,Urbanization Status,Border Status
ANDERSON,Rural,Non-Border
ANDREWS,Rural,Non-Border
ANGELINA,Rural,Non-Border
ARANSAS,Urban,Non-Border
ARCHER,Urban,Non-Border
ARMSTRONG,Urban,Non-Border
ATASCOSA,Urban,Non-Border
AUSTIN,Urban,Non-Border
BAILEY,Rural,Non-Border
BANDERA,Urban,Non-Border
BASTROP,Urban,Non-Border
BAYLOR,Rural,Non-Border
BEE,Rural,Non-Border
BELL,Urban,Non-Border
BEXAR,Urban,Non-Border
BLANCO,Rural,Non-Border
BORDEN,Rural,Non-Border
BOSQUE,Rural,Non-Border
BOWIE,Urban,Non-Border
BRAZORIA,Urban,Non-Border
BRAZOS,Urban,Non-Border
BREWSTER,Rural,Border
BRISCOE,Rural,Non-Border
BROOKS,Rural,Border
BROWN,Rural,Non-Border
BURLESON,Urban,Non-Border
BURNET,Rural,Non-Border
CALDWELL,Urban,Non-Border
CALHOUN,Rural,Non-Border
CALLAHAN,Urban,Non-Border
CAMERON,Urban,Border
CAMP,Rural,Non-Border
CARSON,Urban,Non-Border
CASS,Rural,Non-Border
CASTRO,Rural,Non-Border
CHAMBERS,Urban,Non-Border
CHEROKEE,Rural,Non-Border
CHILDRESS,Rural,Non-Border
CLAY,Urban,Non-Border
COCHRAN,Rural,Non-Border
COKE,Rural,Non-Border
COLEMAN,Rural,Non-Border
COLLIN,Urban,Non-Border
COLLINGSWORTH,Rural,Non-Border
COLORADO,Rural,Non-Border
COMAL,Urban,Non-Border
COMANCHE,Rural,Non-Border
CONCHO,Rural,Non-Border
COOKE,Rural,Non-Border
CORYELL,Urban,Non-Border
COTTLE,Rural,Non-Border
CRANE,Rural,Non-Border
CROCKETT,Rural,Border
CROSBY,Urban,Non-Border
CULBERSON,Rural,Border
DALLAM,Rural,Non-Border
DALLAS,Urban,Non-Border
DAWSON,Rural,Non-Border
DE WITT,Rural,Non-Border
DEAF SMITH,Rural,Non-Border
DELTA,Rural,Non-Border
DENTON,Urban,Non-Border
DICKENS,Rural,Non-Border
DIMMIT,Rural,Border
DONLEY,Rural,Non-Border
DUVAL,Rural,Border
EASTLAND,Rural,Non-Border
ECTOR,Urban,Non-Border
EDWARDS,Rural,Border
EL PASO,Urban,Border
ELLIS,Urban,Non-Border
ERATH,Rural,Non-Border
FALLS,Urban,Non-Border
FANNIN,Rural,Non-Border
FAYETTE,Rural,Non-Border
FISHER,Rural,Non-Border
FLOYD,Rural,Non-Border
FOARD,Rural,Non-Border
FORT BEND,Urban,Non-Border
FRANKLIN,Rural,Non-Border
FREESTONE,Rural,Non-Border
FRIO,Rural,Border
GAINES,Rural,Non-Border
GALVESTON,Urban,Non-Border
GARZA,Rural,Non-Border
GILLESPIE,Rural,Non-Border
GLASSCOCK,Rural,Non-Border
GOLIAD,Urban,Non-Border
GONZALES,Rural,Non-Border
GRAY,Rural,Non-Border
GRAYSON,Urban,Non-Border
GREGG,Urban,Non-Border
GRIMES,Rural,Non-Border
GUADALUPE,Urban,Non-Border
HALE,Rural,Non-Border
HALL,Rural,Non-Border
HAMILTON,Rural,Non-Border
HANSFORD,Rural,Non-Border
HARDEMAN,Rural,Non-Border
HARDIN,Urban,Non-Border
HARRIS,Urban,Non-Border
HARRISON,Rural,Non-Border
HARTLEY,Rural,Non-Border
HASKELL,Rural,Non-Border
HAYS,Urban,Non-Border
HEMPHILL,Rural,Non-Border
HENDERSON,Rural,Non-Border
HIDALGO,Urban,Border
HILL,Rural,Non-Border
HOCKLEY,Rural,Non-Border
HOOD,Urban,Non-Border
HOPKINS,Rural,Non-Border
HOUSTON,Rural,Non-Border
HOWARD,Rural,Non-Border
HUDSPETH,Urban,Border
HUNT,Urban,Non-Border
HUTCHINSON,Rural,Non-Border
IRION,Urban,Non-Border
JACK,Rural,Non-Border
JACKSON,Rural,Non-Border
JASPER,Rural,Non-Border
JEFF DAVIS,Rural,Border
JEFFERSON,Urban,Non-Border
JIM HOGG,Rural,Border
JIM WELLS,Rural,Non-Border
JOHNSON,Urban,Non-Border
JONES,Urban,Non-Border
KARNES,Rural,Non-Border
KAUFMAN,Urban,Non-Border
KENDALL,Urban,Non-Border
KENEDY,Rural,Border
KENT,Rural,Non-Border
KERR,Rural,Non-Border
KIMBLE,Rural,Non-Border
KING,Rural,Non-Border
KINNEY,Rural,Border
KLEBERG,Rural,Non-Border
KNOX,Rural,Non-Border
LA SALLE,Rural,Border
LAMAR,Rural,Non-Border
LAMB,Rural,Non-Border
LAMPASAS,Urban,Non-Border
LAVACA,Rural,Non-Border
LEE,Rural,Non-Border
LEON,Rural,Non-Border
LIBERTY,Urban,Non-Border
LIMESTONE,Rural,Non-Border
LIPSCOMB,Rural,Non-Border
LIVE OAK,Rural,Non-Border
LLANO,Rural,Non-Border
LOVING,Rural,Non-Border
LUBBOCK,Urban,Non-Border
LYNN,Urban,Non-Border
MADISON,Rural,Non-Border
MARION,Rural,Non-Border
MARTIN,Urban,Non-Border
MASON,Rural,Non-Border
MATAGORDA,Rural,Non-Border
MAVERICK,Rural,Border
MCCULLOCH,Rural,Non-Border
MCLENNAN,Urban,Non-Border
MCMULLEN,Rural,Border
MEDINA,Urban,Non-Border
MENARD,Rural,Non-Border
MIDLAND,Urban,Non-Border
MILAM,Rural,Non-Border
MILLS,Rural,Non-Border
MITCHELL,Rural,Non-Border
MONTAGUE,Rural,Non-Border
MONTGOMERY,Urban,Non-Border
MOORE,Rural,Non-Border
MORRIS,Rural,Non-Border
MOTLEY,Rural,Non-Border
NACOGDOCHES,Rural,Non-Border
NAVARRO,Rural,Non-Border
NEWTON,Urban,Non-Border
NOLAN,Rural,Non-Border
NUECES,Urban,Non-Border
OCHILTREE,Rural,Non-Border
OLDHAM,Urban,Non-Border
ORANGE,Urban,Non-Border
PALO PINTO,Rural,Non-Border
PANOLA,Rural,Non-Border
PARKER,Urban,Non-Border
PARMER,Rural,Non-Border
PECOS,Rural,Border
POLK,Rural,Non-Border
POTTER,Urban,Non-Border
PRESIDIO,Rural,Border
RAINS,Rural,Non-Border
RANDALL,Urban,Non-Border
REAGAN,Rural,Non-Border
REAL,Rural,Border
RED RIVER,Rural,Non-Border
REEVES,Rural,Border
REFUGIO,Rural,Non-Border
ROBERTS,Rural,Non-Border
ROBERTSON,Urban,Non-Border
ROCKWALL,Urban,Non-Border
RUNNELS,Rural,Non-Border
RUSK,Urban,Non-Border
SABINE,Rural,Non-Border
SAN AUGUSTINE,Rural,Non-Border
SAN JACINTO,Rural,Non-Border
SAN PATRICIO,Urban,Non-Border
SAN SABA,Rural,Non-Border
SCHLEICHER,Rural,Non-Border
SCURRY,Rural,Non-Border
SHACKELFORD,Rural,Non-Border
SHELBY,Rural,Non-Border
SHERMAN,Rural,Non-Border
SMITH,Urban,Non-Border
SOMERVELL,Urban,Non-Border
STARR,Rural,Border
STEPHENS,Rural,Non-Border
STERLING,Rural,Non-Border
STONEWALL,Rural,Non-Border
SUTTON,Rural,Border
SWISHER,Rural,Non-Border
TARRANT,Urban,Non-Border
TAYLOR,Urban,Non-Border
TERRELL,Rural,Border
TERRY,Rural,Non-Border
THROCKMORTON,Rural,Non-Border
TITUS,Rural,Non-Border
TOM GREEN,Urban,Non-Border
TRAVIS,Urban,Non-Border
TRINITY,Rural,Non-Border
TYLER,Rural,Non-Border
UPSHUR,Urban,Non-Border
UPTON,Rural,Non-Border
UVALDE,Rural,Border
VAL VERDE,Rural,Border
VAN ZANDT,Rural,Non-Border
VICTORIA,Urban,Non-Border
WALKER,Rural,Non-Border
WALLER,Urban,Non-Border
WARD,Rural,Non-Border
WASHINGTON,Rural,Non-Border
WEBB,Urban,Border
WHARTON,Rural,Non-Border
WHEELER,Rural,Non-Border
WICHITA,Urban,Non-Border
WILBARGER,Rural,Non-Border
WILLACY,Rural,Border
WILLIAMSON,Urban,Non-Border
WILSON,Urban,Non-Border
WINKLER,Rural,Non-Border
WISE,Urban,Non-Border
WOOD,Rural,Non-Border
YOAKUM,Rural,Non-Border
YOUNG,Rural,Non-Border
ZAPATA,Rural,Border
ZAVALA,Rural,Border
