GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADKXE001,ADKXE002,ADKXE003,ADKXE004,ADKXE005,ADKXE006,ADKXE007,ADKXE008,ADKXE009,ADKXE010,NAME_M,ADKXM001,ADKXM002,ADKXM003,ADKXM004,ADKXM005,ADKXM006,ADKXM007,ADKXM008,ADKXM009,ADKXM010
G4800010,2011-2015,,,Texas,48,Anderson County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson County, Texas",57915,42959,12265,255,355,9,1363,709,115,594,"Anderson County, Texas",0,484,200,63,43,15,431,290,81,266
G4800030,2011-2015,,,Texas,48,Andrews County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andrews County, Texas",16775,15490,329,103,63,0,384,406,58,348,"Andrews County, Texas",0,279,160,123,81,20,202,154,53,145
G4800050,2011-2015,,,Texas,48,Angelina County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Angelina County, Texas",87748,68827,13246,404,848,0,3016,1407,154,1253,"Angelina County, Texas",0,948,338,317,82,30,795,432,135,385
G4800070,2011-2015,,,Texas,48,Aransas County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aransas County, Texas",24292,21538,409,183,404,0,519,1239,375,864,"Aransas County, Texas",0,499,77,149,89,24,274,377,319,269
G4800090,2011-2015,,,Texas,48,Archer County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Archer County, Texas",8779,8260,91,131,41,0,134,122,18,104,"Archer County, Texas",0,86,56,62,26,18,70,52,19,53
G4800110,2011-2015,,,Texas,48,Armstrong County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armstrong County, Texas",1943,1751,23,31,0,3,86,49,15,34,"Armstrong County, Texas",88,94,24,10,13,5,44,40,26,28
G4800130,2011-2015,,,Texas,48,Atascosa County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atascosa County, Texas",47050,43154,369,163,147,0,1908,1309,198,1111,"Atascosa County, Texas",0,652,66,146,69,27,568,360,155,330
G4800150,2011-2015,,,Texas,48,Austin County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austin County, Texas",28886,24483,2553,7,0,0,998,845,289,556,"Austin County, Texas",0,461,141,14,24,24,383,241,198,138
G4800170,2011-2015,,,Texas,48,Bailey County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bailey County, Texas",7126,6050,147,9,29,8,865,18,18,0,"Bailey County, Texas",0,395,72,13,37,13,375,33,33,18
G4800190,2011-2015,,,Texas,48,Bandera County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bandera County, Texas",20796,19441,294,120,45,0,113,783,55,728,"Bandera County, Texas",0,330,502,140,51,24,70,519,67,515
