geo,GISJOIN,county,prenatal_percent_2010_2014,Urbanization Status,Pediatric Medical Surgical Care Beds,Obstetrics Levels,Obstetrics Beds,Neonatal Intensive Care Beds,Neonatal Intermediate Care Beds,Pediatric Intensive Care Beds,Total Births
0500000US48001,G4800010,ANDERSON,62.2,Rural,12,,16,0,0,0,663
0500000US48003,G4800030,ANDREWS,66.3,Rural,0,,2,0,2,0,310
0500000US48005,G4800050,ANGELINA,61.5,Rural,0,,20,15,0,0,1415
0500000US48007,G4800070,ARANSAS,58.4,Urban,,,,,,,
0500000US48009,G4800090,ARCHER,82,Urban,,,,,,,
0500000US48011,G4800110,ARMSTRONG,78.1,Urban,,,,,,,
0500000US48013,G4800130,ATASCOSA,68,Urban,0,,4,0,0,0,260
0500000US48015,G4800150,AUSTIN,57.8,Urban,0,,0,0,0,0,0
0500000US48017,G4800170,BAILEY,44.7,Rural,0,,0,0,0,0,0
0500000US48019,G4800190,BANDERA,59.7,Urban,,,,,,,
0500000US48021,G4800210,BASTROP,71,Urban,0,,0,0,0,0,0
0500000US48023,G4800230,BAYLOR,82,Rural,2,,2,0,0,0,24
0500000US48025,G4800250,BEE,67,Rural,0,,9,0,0,0,328
0500000US48027,G4800270,BELL,72,Urban,*48,,80,43,8,16,4954
0500000US48029,G4800290,BEXAR,72,Urban,215,,357,356,98,53,29773
0500000US48031,G4800310,BLANCO,59,Rural,,,,,,,
0500000US48033,G4800330,BORDEN,68,Rural,,,,,,,
0500000US48035,G4800350,BOSQUE,59,Rural,0,,2,0,0,0,56
0500000US48037,G4800370,BOWIE,57,Urban,27,,28,8,15,0,2880
0500000US48039,G4800390,BRAZORIA,66,Urban,*NAV,,20,0,4,0,719
0500000US48041,G4800410,BRAZOS,66,Urban,*32,,55,25,8,0,3964
0500000US48043,G4800430,BREWSTER,70,Rural,0,,5,0,0,0,192
0500000US48045,G4800450,BRISCOE,54,Rural,,,,,,,
0500000US48047,G4800470,BROOKS,52.4,Rural,,,,,,,
0500000US48049,G4800490,BROWN,76,Rural,0,,8,0,0,0,656
0500000US48051,G4800510,BURLESON,61,Urban,0,,0,0,0,0,0
0500000US48053,G4800530,BURNET,66,Rural,0,,8,0,0,0,305
0500000US48055,G4800550,CALDWELL,61,Urban,0,,0,0,0,0,0
0500000US48057,G4800570,CALHOUN,69,Rural,0,,3,0,0,0,112
0500000US48059,G4800590,CALLAHAN,69,Urban,,,,,,,
0500000US48061,G4800610,CAMERON,74,Urban,58,,136,69,15,14,7587
0500000US48063,G4800630,CAMP,59.4,Rural,1,,0,0,0,0,0
0500000US48065,G4800650,CARSON,74.9,Urban,,,,,,,
0500000US48067,G4800670,CASS,55,Rural,,,,,,,
0500000US48069,G4800690,CASTRO,56,Rural,0,,0,0,0,0,0
0500000US48071,G4800710,CHAMBERS,64.2,Urban,0,,0,0,0,0,0
0500000US48073,G4800730,CHEROKEE,54,Rural,0,,13,0,0,0,418
0500000US48075,G4800750,CHILDRESS,62.8,Rural,0,,6,0,0,0,211
0500000US48077,G4800770,CLAY,77,Urban,0,,0,0,0,0,0
0500000US48079,G4800790,COCHRAN,51.3,Rural,0,,0,0,0,0,0
0500000US48081,G4800810,COKE,59,Rural,,,,,,,
0500000US48083,G4800830,COLEMAN,61.6,Rural,0,,0,0,0,0,19
0500000US48085,G4800850,COLLIN,74,Urban,*76,,212,134,6,*NAV,15573
0500000US48087,G4800870,COLLINGSWORTH,54.1,Rural,0,,0,0,0,0,0
0500000US48089,G4800890,COLORADO,61.6,Rural,*NAV,,10,0,0,0,253
0500000US48091,G4800910,COMAL,60.6,Urban,0,,19,6,0,0,961
0500000US48093,G4800930,COMANCHE,61,Rural,0,,0,0,0,0,0
0500000US48095,G4800950,CONCHO,59.1,Rural,0,,0,0,0,0,0
0500000US48097,G4800970,COOKE,59,Rural,0,,12,0,0,0,354
0500000US48099,G4800990,CORYELL,73,Urban,0,,0,0,0,0,0
0500000US48101,G4801010,COTTLE,66,Rural,,,,,,,
0500000US48103,G4801030,CRANE,81.9,Rural,0,,0,0,0,0,0
0500000US48105,G4801050,CROCKETT,51,Rural,,,,,,,
0500000US48107,G4801070,CROSBY,59.1,Urban,0,,0,0,0,0,0
0500000US48109,G4801090,CULBERSON,60,Rural,0,,0,0,0,0,0
0500000US48111,G4801110,DALLAM,62.7,Rural,,,,,,,
0500000US48113,G4801130,DALLAS,60,Urban,415,,475,448,*10,64,38120
0500000US48115,G4801150,DAWSON,61,Rural,0,,2,0,0,0,134
0500000US48117,G4801170,DEAF SMITH,58,Rural,0,,11,0,0,0,324
0500000US48119,G4801190,DELTA,71,Rural,,,,,,,
0500000US48121,G4801210,DENTON,69,Urban,18,,109,32,6,0,6838
0500000US48123,G4801230,DEWITT,68,Rural,0,,5,0,0,0,116
0500000US48125,G4801250,DICKENS,46.5,Rural,,,,,,,
0500000US48127,G4801270,DIMMIT,69,Rural,6,,4,0,0,0,202
0500000US48129,G4801290,DONLEY,56,Rural,,,,,,,
0500000US48131,G4801310,DUVAL,58.5,Rural,,,,,,,
0500000US48133,G4801330,EASTLAND,62,Rural,0,,0,0,0,0,2
0500000US48135,G4801350,ECTOR,81,Urban,39,,103,79,0,0,4214
0500000US48137,G4801370,EDWARDS,49.1,Rural,,,,,,,
0500000US48139,G4801390,ELLIS,61,Urban,0,,17,0,0,0,777
0500000US48141,G4801410,EL PASO,64,Urban,166,,211,79,63,45,13848
0500000US48143,G4801430,ERATH,61,Rural,2,,10,0,0,0,419
0500000US48145,G4801450,FALLS,52.3,Urban,0,,0,0,0,0,2
0500000US48147,G4801470,FANNIN,59,Rural,0,,0,0,0,0,0
0500000US48149,G4801490,FAYETTE,70.8,Rural,*NAV,,6,0,0,0,205
0500000US48151,G4801510,FISHER,71,Rural,0,,0,0,0,0,0
0500000US48153,G4801530,FLOYD,57,Rural,0,,4,0,0,0,27
0500000US48155,G4801550,FOARD,71.2,Rural,,,,,,,
0500000US48157,G4801570,FORT BEND,67,Urban,*4,,101,23,9,0,6940
0500000US48159,G4801590,FRANKLIN,65.1,Rural,,,,,,,
0500000US48161,G4801610,FREESTONE,57.6,Rural,0,,0,0,0,0,0
0500000US48163,G4801630,FRIO,54.4,Rural,0,,2,0,0,0,119
0500000US48165,G4801650,GAINES,48,Rural,0,,5,0,0,0,423
0500000US48167,G4801670,GALVESTON,67,Urban,20,,54,43,10,4,6159
0500000US48169,G4801690,GARZA,55.8,Rural,,,,,,,
0500000US48171,G4801710,GILLESPIE,61,Rural,0,,10,0,0,0,471
0500000US48173,G4801730,GLASSCOCK,77.6,Rural,,,,,,,
0500000US48175,G4801750,GOLIAD,74.5,Urban,,,,,,,
0500000US48177,G4801770,GONZALES,48,Rural,0,,3,0,0,0,198
0500000US48179,G4801790,GRAY,63,Rural,0,,13,0,0,0,229
0500000US48181,G4801810,GRAYSON,59,Urban,10,,18,0,0,*NAV,1518
0500000US48183,G4801830,GREGG,56,Urban,27,,86,34,18,0,3728
0500000US48185,G4801850,GRIMES,61.6,Rural,0,,0,0,0,0,0
0500000US48187,G4801870,GUADALUPE,64,Urban,0,,14,0,0,0,879
0500000US48189,G4801890,HALE,61.2,Rural,0,,12,0,0,0,447
0500000US48191,G4801910,HALL,58.1,Rural,,,,,,,
0500000US48193,G4801930,HAMILTON,63.8,Rural,0,,0,0,0,0,0
0500000US48195,G4801950,HANSFORD,56,Rural,0,,0,0,0,0,0
0500000US48197,G4801970,HARDEMAN,55.3,Rural,*NAV,,0,0,0,0,0
0500000US48199,G4801990,HARDIN,72.8,Urban,,,,,,,
0500000US48201,G4802010,HARRIS,61,Urban,556,,1077,492,*317,114,77249
0500000US48203,G4802030,HARRISON,59,Rural,7,,0,0,0,0,520
0500000US48205,G4802050,HARTLEY,79,Rural,0,,2,0,0,0,120
0500000US48207,G4802070,HASKELL,57,Rural,0,,0,0,0,0,0
0500000US48209,G4802090,HAYS,71,Urban,0,,32,13,0,0,1813
0500000US48211,G4802110,HEMPHILL,63,Rural,2,,0,0,0,0,0
0500000US48213,G4802130,HENDERSON,57,Rural,*NAV,,17,0,0,0,941
0500000US48215,G4802150,HIDALGO,66,Urban,215,,292,107,63,55,16492
0500000US48217,G4802170,HILL,62,Rural,*NAV,,13,0,0,*NAV,192
0500000US48219,G4802190,HOCKLEY,58.6,Rural,0,,4,0,0,0,251
0500000US48221,G4802210,HOOD,67,Urban,0,,8,0,0,0,575
0500000US48223,G4802230,HOPKINS,73,Rural,0,,6,0,4,0,547
0500000US48225,G4802250,HOUSTON,62,Rural,0,,5,0,0,0,152
0500000US48227,G4802270,HOWARD,62.6,Rural,*NAV,,13,0,0,0,246
0500000US48229,G4802290,HUDSPETH,52,Urban,,,,,,,
0500000US48231,G4802310,HUNT,56,Urban,0,,19,6,7,0,933
0500000US48233,G4802330,HUTCHINSON,66,Rural,*0,,6,0,0,0,300
0500000US48235,G4802350,IRION,58,Urban,,,,,,,
0500000US48237,G4802370,JACK,69,Rural,0,,4,0,0,0,77
0500000US48239,G4802390,JACKSON,77,Rural,0,,0,0,0,0,0
0500000US48241,G4802410,JASPER,65.3,Rural,0,,6,0,0,0,265
0500000US48243,G4802430,JEFF DAVIS,62.5,Rural,,,,,,,
0500000US48245,G4802450,JEFFERSON,67,Urban,33,,94,46,6,3,5215
0500000US48247,G4802470,JIM HOGG,79,Rural,,,,,,,
0500000US48249,G4802490,JIM WELLS,66,Rural,0,,8,0,0,0,398
0500000US48251,G4802510,JOHNSON,66,Urban,*NAV,,14,0,0,0,453
0500000US48253,G4802530,JONES,63.6,Urban,*NAV,,0,0,0,0,0
0500000US48255,G4802550,KARNES,63.9,Rural,0,,0,0,0,0,0
0500000US48257,G4802570,KAUFMAN,61.7,Urban,0,,0,0,0,0,101
0500000US48259,G4802590,KENDALL,70,Urban,,,,,,,
0500000US48261,G4802610,KENEDY,--,Rural,,,,,,,
0500000US48263,G4802630,KENT,61,Rural,,,,,,,
0500000US48265,G4802650,KERR,48.9,Rural,0,,14,0,0,0,504
0500000US48267,G4802670,KIMBLE,54,Rural,0,,0,0,0,0,0
0500000US48269,G4802690,KING,--,Rural,,,,,,,
0500000US48271,G4802710,KINNEY,61,Rural,,,,,,,
0500000US48273,G4802730,KLEBERG,65.4,Rural,0,,8,0,0,0,274
0500000US48275,G4802750,KNOX,68.1,Rural,0,,0,0,0,0,0
0500000US48277,G4802770,LAMAR,63.8,Rural,14,,22,0,0,0,809
0500000US48279,G4802790,LAMB,55,Rural,4,,3,0,0,0,115
0500000US48281,G4802810,LAMPASAS,68.2,Urban,0,,0,0,0,0,0
0500000US48283,G4802830,LA SALLE,63,Rural,,,,,,,
0500000US48285,G4802850,LAVACA,71.8,Rural,0,,2,0,0,0,53
0500000US48287,G4802870,LEE,68,Rural,,,,,,,
0500000US48289,G4802890,LEON,61.7,Rural,,,,,,,
0500000US48291,G4802910,LIBERTY,50.7,Urban,*NAV,,0,0,0,0,4
0500000US48293,G4802930,LIMESTONE,54,Rural,0,,0,0,0,0,0
0500000US48295,G4802950,LIPSCOMB,50,Rural,,,,,,,
0500000US48297,G4802970,LIVE OAK,65,Rural,,,,,,,
0500000US48299,G4802990,LLANO,68,Rural,0,,0,0,0,0,30
0500000US48301,G4803010,LOVING,,Rural,,,,,,,
0500000US48303,G4803030,LUBBOCK,65,Urban,57,,149,74,*NAV,*16,5644
0500000US48305,G4803050,LYNN,61.7,Urban,0,,0,0,0,0,0
0500000US48307,G4803070,MCCULLOCH,66.2,Rural,0,,0,0,0,0,0
0500000US48309,G4803090,MCLENNAN,64,Urban,32,,58,30,0,0,4298
0500000US48311,G4803110,MCMULLEN,66,Rural,,,,,,,
0500000US48313,G4803130,MADISON,61,Rural,0,,0,0,0,0,0
0500000US48315,G4803150,MARION,57,Rural,,,,,,,
0500000US48317,G4803170,MARTIN,56.8,Urban,0,,0,0,0,0,1
0500000US48319,G4803190,MASON,62,Rural,,,,,,,
0500000US48321,G4803210,MATAGORDA,54,Rural,*NAV,,10,0,0,0,583
0500000US48323,G4803230,MAVERICK,80,Rural,0,,14,0,0,0,1163
0500000US48325,G4803250,MEDINA,73,Urban,0,,4,0,0,0,124
0500000US48327,G4803270,MENARD,63.8,Rural,,,,,,,
0500000US48329,G4803290,MIDLAND,65,Urban,12,,50,0,5,2,2454
0500000US48331,G4803310,MILAM,64,Rural,0,,0,0,0,0,0
0500000US48333,G4803330,MILLS,64.1,Rural,,,,,,,
0500000US48335,G4803350,MITCHELL,59.8,Rural,0,,0,0,0,0,0
0500000US48337,G4803370,MONTAGUE,62,Rural,0,,0,0,0,0,0
0500000US48339,G4803390,MONTGOMERY,64,Urban,*18,,112,55,16,0,10431
0500000US48341,G4803410,MOORE,52,Rural,2,,6,0,0,0,400
0500000US48343,G4803430,MORRIS,61,Rural,,,,,,,
0500000US48345,G4803450,MOTLEY,54,Rural,,,,,,,
0500000US48347,G4803470,NACOGDOCHES,62,Rural,*12,,19,8,0,0,1350
0500000US48349,G4803490,NAVARRO,49,Rural,0,,9,0,0,0,539
0500000US48351,G4803510,NEWTON,63,Urban,,,,,,,
0500000US48353,G4803530,NOLAN,68,Rural,7,,6,0,0,0,265
0500000US48355,G4803550,NUECES,68,Urban,101,,63,81,16,20,7119
0500000US48357,G4803570,OCHILTREE,53,Rural,*NAV,,5,0,0,0,152
0500000US48359,G4803590,OLDHAM,78,Urban,,,,,,,
0500000US48361,G4803610,ORANGE,69,Urban,,,,,,,
0500000US48363,G4803630,PALO PINTO,70,Rural,0,,10,0,0,0,262
0500000US48365,G4803650,PANOLA,60.5,Rural,0,,0,0,0,0,0
0500000US48367,G4803670,PARKER,71.9,Urban,0,,10,0,0,0,874
0500000US48369,G4803690,PARMER,54,Rural,1,,0,0,0,0,1
0500000US48371,G4803710,PECOS,64.2,Rural,0,,3,0,0,0,150
0500000US48373,G4803730,POLK,58.5,Rural,2,,7,0,0,0,438
0500000US48375,G4803750,POTTER,58,Urban,36,,58,50,0,17,4426
0500000US48377,G4803770,PRESIDIO,51,Rural,,,,,,,
0500000US48379,G4803790,RAINS,62.9,Rural,,,,,,,
0500000US48381,G4803810,RANDALL,74,Urban,,,,,,,
0500000US48383,G4803830,REAGAN,55,Rural,*NAV,,0,0,0,0,0
0500000US48385,G4803850,REAL,52.8,Rural,,,,,,,
0500000US48387,G4803870,RED RIVER,64,Rural,,,,,,,
0500000US48389,G4803890,REEVES,74,Rural,0,,4,0,0,0,138
0500000US48391,G4803910,REFUGIO,70,Rural,0,,0,0,0,0,0
0500000US48393,G4803930,ROBERTS,71,Rural,,,,,,,
0500000US48395,G4803950,ROBERTSON,58.3,Urban,,,,,,,
0500000US48397,G4803970,ROCKWALL,69,Urban,0,,23,4,13,0,2437
0500000US48399,G4803990,RUNNELS,63,Rural,0,,0,0,0,0,0
0500000US48401,G4804010,RUSK,61.2,Urban,0,,14,0,0,0,231
0500000US48403,G4804030,SABINE,62,Rural,0,,0,0,0,0,0
0500000US48405,G4804050,SAN AUGUSTINE,60,Rural,0,,0,0,0,0,0
0500000US48407,G4804070,SAN JACINTO,55,Rural,,,,,,,
0500000US48409,G4804090,SAN PATRICIO,65,Urban,0,,0,0,0,0,0
0500000US48411,G4804110,SAN SABA,63,Rural,,,,,,,
0500000US48413,G4804130,SCHLEICHER,63,Rural,0,,0,0,0,0,0
0500000US48415,G4804150,SCURRY,47,Rural,0,,3,0,0,0,188
0500000US48417,G4804170,SHACKELFORD,66.9,Rural,,,,,,,
0500000US48419,G4804190,SHELBY,58,Rural,,,,,,,
0500000US48421,G4804210,SHERMAN,61,Rural,,,,,,,
0500000US48423,G4804230,SMITH,53,Urban,*19,,46,12,12,0,3413
0500000US48425,G4804250,SOMERVELL,66,Urban,0,,0,0,0,0,0
0500000US48427,G4804270,STARR,57.2,Rural,4,,10,0,0,0,204
0500000US48429,G4804290,STEPHENS,65.9,Rural,1,,0,0,0,0,0
0500000US48431,G4804310,STERLING,66.2,Rural,,,,,,,
0500000US48433,G4804330,STONEWALL,67,Rural,0,,0,0,0,0,0
0500000US48435,G4804350,SUTTON,52.3,Rural,0,,0,0,0,0,0
0500000US48437,G4804370,SWISHER,57.7,Rural,0,,0,0,0,0,0
0500000US48439,G4804390,TARRANT,59,Urban,*207,,475,298,49,33,33286
0500000US48441,G4804410,TAYLOR,70,Urban,26,,58,16,14,3,2714
0500000US48443,G4804430,TERRELL,67,Rural,,,,,,,
0500000US48445,G4804450,TERRY,49.2,Rural,*NAV,,5,0,0,0,130
0500000US48447,G4804470,THROCKMORTON,78.7,Rural,0,,0,0,0,0,0
0500000US48449,G4804490,TITUS,56,Rural,7,,6,0,3,0,1027
0500000US48451,G4804510,TOM GREEN,64.2,Urban,23,,39,10,10,0,2080
0500000US48453,G4804530,TRAVIS,72,Urban,127,,331,178,45,*30,21317
0500000US48455,G4804550,TRINITY,65,Rural,0,,0,0,0,0,0
0500000US48457,G4804570,TYLER,63.4,Rural,0,,0,0,0,0,0
0500000US48459,G4804590,UPSHUR,60,Urban,,,,,,,
0500000US48461,G4804610,UPTON,78.5,Rural,0,,0,0,0,0,0
0500000US48463,G4804630,UVALDE,64,Rural,0,,6,0,0,0,424
0500000US48465,G4804650,VAL VERDE,42,Rural,7,,18,0,4,0,933
0500000US48467,G4804670,VAN ZANDT,57.3,Rural,0,,0,0,0,0,0
0500000US48469,G4804690,VICTORIA,72.3,Urban,29,,65,21,0,0,2124
0500000US48471,G4804710,WALKER,69,Rural,3,,5,0,0,0,450
0500000US48473,G4804730,WALLER,66,Urban,,,,,,,
0500000US48475,G4804750,WARD,81,Rural,0,,0,0,0,0,0
0500000US48477,G4804770,WASHINGTON,59,Rural,0,,0,0,0,0,338
0500000US48479,G4804790,WEBB,86,Urban,60,,76,37,0,0,5726
0500000US48481,G4804810,WHARTON,59.6,Rural,0,,0,0,0,0,0
0500000US48483,G4804830,WHEELER,59.5,Rural,0,,0,0,0,0,0
0500000US48485,G4804850,WICHITA,78,Urban,25,,15,0,6,0,2093
0500000US48487,G4804870,WILBARGER,72,Rural,0,,0,0,0,0,0
0500000US48489,G4804890,WILLACY,66,Rural,,,,,,,
