county,Urbanization Status,Total Births
ANDERSON,Rural,663
ANDREWS,Rural,310
ANGELINA,Rural,1415
ARANSAS,Urban,
ARCHER,Urban,
ARMSTRONG,Urban,
ATASCOSA,Urban,260
AUSTIN,Urban,0
BAILEY,Rural,0
BANDERA,Urban,
BASTROP,Urban,0
BAYLOR,Rural,24
BEE,Rural,328
BELL,Urban,4954
BEXAR,Urban,29773
BLANCO,Rural,
BORDEN,Rural,
BOSQUE,Rural,56
BOWIE,Urban,2880
BRAZORIA,Urban,719
BRAZOS,Urban,3964
BREWSTER,Rural,192
BRISCOE,Rural,
BROOKS,Rural,
BROWN,Rural,656
BURLESON,Urban,0
BURNET,Rural,305
CALDWELL,Urban,0
CALHOUN,Rural,112
CALLAHAN,Urban,
CAMERON,Urban,7587
CAMP,Rural,0
CARSON,Urban,
CASS,Rural,
CASTRO,Rural,0
CHAMBERS,Urban,0
CHEROKEE,Rural,418
CHILDRESS,Rural,211
CLAY,Urban,0
COCHRAN,Rural,0
COKE,Rural,
COLEMAN,Rural,19
COLLIN,Urban,15573
COLLINGSWORTH,Rural,0
COLORADO,Rural,253
COMAL,Urban,961
COMANCHE,Rural,0
CONCHO,Rural,0
COOKE,Rural,354
CORYELL,Urban,0
COTTLE,Rural,
CRANE,Rural,0
CROCKETT,Rural,
CROSBY,Urban,0
CULBERSON,Rural,0
DALLAM,Rural,
DALLAS,Urban,38120
DAWSON,Rural,134
DEAF SMITH,Rural,324
DELTA,Rural,
DENTON,Urban,6838
DEWITT,Rural,116
DICKENS,Rural,
DIMMIT,Rural,202
DONLEY,Rural,
DUVAL,Rural,
EASTLAND,Rural,2
ECTOR,Urban,4214
EDWARDS,Rural,
ELLIS,Urban,777
EL PASO,Urban,13848
ERATH,Rural,419
FALLS,Urban,2
FANNIN,Rural,0
FAYETTE,Rural,205
FISHER,Rural,0
FLOYD,Rural,27
FOARD,Rural,
FORT BEND,Urban,6940
FRANKLIN,Rural,
FREESTONE,Rural,0
FRIO,Rural,119
GAINES,Rural,423
GALVESTON,Urban,6159
GARZA,Rural,
GILLESPIE,Rural,471
GLASSCOCK,Rural,
GOLIAD,Urban,
GONZALES,Rural,198
GRAY,Rural,229
GRAYSON,Urban,1518
GREGG,Urban,3728
