geo,county,Obstetrics Beds,births_2014,deaths_2014,rate_2014,Urbanization Status
0500000US48001,ANDERSON,16,571,0,-,Rural
0500000US48003,ANDREWS,5,344,0,-,Rural
0500000US48005,ANGELINA,20,1174,3,2.6,Rural
0500000US48007,ARANSAS,,274,0,-,Urban
0500000US48009,ARCHER,,84,0,-,Urban
0500000US48011,ARMSTRONG,,13,0,-,Urban
0500000US48013,ATASCOSA,4,707,0,-,Urban
0500000US48015,AUSTIN,0,363,0,-,Urban
0500000US48017,BAILEY,0,109,1,9.2,Rural
0500000US48019,BANDERA,,158,0,-,Urban
0500000US48021,BASTROP,0,1041,2,1.9,Urban
0500000US48023,BAYLOR,2,43,0,-,Rural
0500000US48025,BEE,9,416,0,-,Rural
0500000US48027,BELL,78,6225,2,0.3,Urban
0500000US48029,BEXAR,385,27781,11,0.4,Urban
0500000US48031,BLANCO,,102,0,-,Rural
0500000US48033,BORDEN,,6,0,-,Rural
0500000US48035,BOSQUE,4,167,0,-,Rural
0500000US48037,BOWIE,40,1217,1,0.8,Urban
0500000US48039,BRAZORIA,10,4783,2,0.4,Urban
0500000US48041,BRAZOS,55,2829,0,-,Urban
0500000US48043,BREWSTER,5,104,0,-,Rural
0500000US48045,BRISCOE,,11,0,-,Rural
0500000US48047,BROOKS,,116,0,-,Rural
0500000US48049,BROWN,8,425,0,-,Rural
0500000US48051,BURLESON,0,210,0,-,Urban
0500000US48053,BURNET,0,454,0,-,Rural
0500000US48055,CALDWELL,0,513,0,-,Urban
0500000US48057,CALHOUN,3,304,1,3.3,Rural
0500000US48059,CALLAHAN,,162,1,6.2,Urban
0500000US48061,CAMERON,136,7253,1,0.1,Urban
0500000US48063,CAMP,0,219,0,-,Rural
0500000US48065,CARSON,,69,0,-,Urban
0500000US48067,CASS,,361,0,-,Rural
0500000US48069,CASTRO,0,117,0,-,Rural
0500000US48071,CHAMBERS,0,475,0,-,Urban
0500000US48073,CHEROKEE,13,742,0,-,Rural
0500000US48075,CHILDRESS,6,82,0,-,Rural
0500000US48077,CLAY,0,82,0,-,Urban
0500000US48079,COCHRAN,0,46,0,-,Rural
0500000US48081,COKE,,30,1,33.3,Rural
0500000US48083,COLEMAN,0,83,0,-,Rural
0500000US48085,COLLIN,223,10886,1,0.1,Urban
0500000US48087,COLLINGSWORTH,0,31,0,-,Rural
0500000US48089,COLORADO,10,268,0,-,Rural
0500000US48091,COMAL,19,1447,0,-,Urban
0500000US48093,COMANCHE,0,138,0,-,Rural
0500000US48095,CONCHO,0,25,0,-,Rural
0500000US48097,COOKE,12,561,1,1.8,Rural
0500000US48099,CORYELL,0,1064,1,0.9,Urban
0500000US48101,COTTLE,,18,0,-,Rural
0500000US48103,CRANE,0,78,0,-,Rural
0500000US48105,CROCKETT,,62,0,-,Rural
0500000US48107,CROSBY,0,90,0,-,Urban
0500000US48109,CULBERSON,0,27,0,-,Rural
0500000US48111,DALLAM,,127,2,15.7,Rural
0500000US48113,DALLAS,539,39791,14,0.4,Urban
0500000US48115,DAWSON,2,166,1,6.0,Rural
0500000US48117,DEAF SMITH,11,322,0,-,Rural
0500000US48119,DELTA,,72,0,-,Rural
0500000US48121,DENTON,121,9872,1,0.1,Urban
0500000US48123,DEWITT,5,,,,Rural
0500000US48125,DICKENS,,15,0,-,Rural
0500000US48127,DIMMIT,4,190,0,-,Rural
0500000US48129,DONLEY,,28,0,-,Rural
0500000US48131,DUVAL,,193,0,-,Rural
0500000US48133,EASTLAND,0,218,0,-,Rural
0500000US48135,ECTOR,94,3161,0,-,Urban
0500000US48137,EDWARDS,,28,0,-,Rural
0500000US48139,ELLIS,10,2140,0,-,Urban
0500000US48141,EL PASO,218,13567,1,0.1,Urban
0500000US48143,ERATH,10,529,0,-,Rural
0500000US48145,FALLS,0,218,1,4.6,Urban
0500000US48147,FANNIN,0,328,0,-,Rural
0500000US48149,FAYETTE,6,243,0,-,Rural
0500000US48151,FISHER,0,51,0,-,Rural
0500000US48153,FLOYD,4,67,0,-,Rural
0500000US48155,FOARD,,7,0,-,Rural
0500000US48157,FORT BEND,82,9314,2,0.2,Urban
0500000US48159,FRANKLIN,0,92,0,-,Rural
0500000US48161,FREESTONE,0,204,0,-,Rural
0500000US48163,FRIO,2,273,1,3.7,Rural
0500000US48165,GAINES,5,407,0,-,Rural
0500000US48167,GALVESTON,67,4133,1,0.2,Urban
0500000US48169,GARZA,,63,0,-,Rural
0500000US48171,GILLESPIE,10,256,1,3.9,Rural
0500000US48173,GLASSCOCK,,16,0,-,Rural
0500000US48175,GOLIAD,,76,0,-,Urban
0500000US48177,GONZALES,3,320,1,3.1,Rural
0500000US48179,GRAY,13,340,0,-,Rural
0500000US48181,GRAYSON,18,1562,1,0.6,Urban
0500000US48183,GREGG,78,1962,0,-,Urban
0500000US48185,GRIMES,0,338,0,-,Rural
0500000US48187,GUADALUPE,14,1786,0,-,Urban
0500000US48189,HALE,12,464,0,-,Rural
0500000US48191,HALL,,34,0,-,Rural
0500000US48193,HAMILTON,0,84,0,-,Rural
0500000US48195,HANSFORD,0,91,0,-,Rural
0500000US48197,HARDEMAN,0,44,0,-,Rural
0500000US48199,HARDIN,0,692,0,-,Urban
0500000US48201,HARRIS,955,71395,21,0.3,Urban
0500000US48203,HARRISON,NAV,851,1,1.2,Rural
0500000US48205,HARTLEY,2,60,0,-,Rural
0500000US48207,HASKELL,0,50,0,-,Rural
0500000US48209,HAYS,32,2367,1,0.4,Urban
0500000US48211,HEMPHILL,0,66,0,-,Rural
0500000US48213,HENDERSON,17,887,0,-,Rural
0500000US48215,HIDALGO,292,16325,2,0.1,Urban
0500000US48217,HILL,13,413,0,-,Rural
0500000US48219,HOCKLEY,4,310,0,-,Rural
0500000US48221,HOOD,8,578,0,-,Urban
0500000US48223,HOPKINS,6,471,1,2.1,Rural
0500000US48225,HOUSTON,5,207,0,-,Rural
0500000US48227,HOWARD,10,518,0,-,Rural
0500000US48229,HUDSPETH,,38,0,-,Urban
0500000US48231,HUNT,19,1144,1,0.9,Urban
0500000US48233,HUTCHINSON,6,307,0,-,Rural
0500000US48235,IRION,,14,0,-,Urban
0500000US48237,JACK,1,99,0,-,Rural
0500000US48239,JACKSON,0,202,0,-,Rural
0500000US48241,JASPER,6,395,0,-,Rural
0500000US48243,JEFF DAVIS,,16,0,-,Rural
0500000US48245,JEFFERSON,89,3633,2,0.6,Urban
0500000US48247,JIM HOGG,,93,0,-,Rural
0500000US48249,JIM WELLS,8,730,1,1.4,Rural
0500000US48251,JOHNSON,14,2022,0,-,Urban
0500000US48253,JONES,0,185,0,-,Urban
0500000US48255,KARNES,0,191,0,-,Rural
0500000US48257,KAUFMAN,24,1527,0,-,Urban
0500000US48259,KENDALL,,361,0,-,Urban
0500000US48261,KENEDY,,5,0,-,Rural
0500000US48263,KENT,,11,0,-,Rural
0500000US48265,KERR,14,545,1,1.8,Rural
0500000US48267,KIMBLE,0,46,0,-,Rural
0500000US48269,KING,,1,0,-,Rural
0500000US48271,KINNEY,,25,0,-,Rural
0500000US48273,KLEBERG,8,479,1,2.1,Rural
0500000US48275,KNOX,0,69,0,-,Rural
0500000US48277,LAMAR,23,722,0,-,Rural
0500000US48279,LAMB,3,200,1,5.0,Rural
0500000US48281,LAMPASAS,0,248,0,-,Urban
0500000US48283,LA SALLE,,104,0,-,Rural
0500000US48285,LAVACA,2,242,0,-,Rural
0500000US48287,LEE,,225,0,-,Rural
0500000US48289,LEON,,205,0,-,Rural
0500000US48291,LIBERTY,0,1082,1,0.9,Urban
0500000US48293,LIMESTONE,0,342,0,-,Rural
0500000US48295,LIPSCOMB,,43,0,-,Rural
0500000US48297,LIVE OAK,,138,0,-,Rural
0500000US48299,LLANO,3,161,0,-,Rural
0500000US48301,LOVING,,0,0,-,Rural
0500000US48303,LUBBOCK,95,4237,1,0.2,Urban
0500000US48305,LYNN,0,64,0,-,Urban
0500000US48307,MCCULLOCH,0,83,0,-,Rural
0500000US48309,MCLENNAN,59,3618,1,0.3,Urban
0500000US48311,MCMULLEN,,,,,Rural
0500000US48313,MADISON,0,166,0,-,Rural
0500000US48315,MARION,,87,0,-,Rural
0500000US48317,MARTIN,0,119,0,-,Urban
0500000US48319,MASON,,28,0,-,Rural
0500000US48321,MATAGORDA,10,572,0,-,Rural
0500000US48323,MAVERICK,14,1171,1,0.9,Rural
0500000US48325,MEDINA,4,602,0,-,Urban
0500000US48327,MENARD,,23,0,-,Rural
0500000US48329,MIDLAND,50,2826,0,-,Urban
0500000US48331,MILAM,0,332,1,3.0,Rural
0500000US48333,MILLS,,58,0,-,Rural
0500000US48335,MITCHELL,0,93,0,-,Rural
0500000US48337,MONTAGUE,0,220,0,-,Rural
0500000US48339,MONTGOMERY,127,6971,2,0.3,Urban
0500000US48341,MOORE,6,421,0,-,Rural
0500000US48343,MORRIS,,143,0,-,Rural
0500000US48345,MOTLEY,,4,0,-,Rural
0500000US48347,NACOGDOCHES,19,886,0,-,Rural
0500000US48349,NAVARRO,5,768,2,2.6,Rural
0500000US48351,NEWTON,,147,0,-,Urban
0500000US48353,NOLAN,6,232,0,-,Rural
0500000US48355,NUECES,63,5170,3,0.6,Urban
0500000US48357,OCHILTREE,5,207,0,-,Rural
0500000US48359,OLDHAM,,22,0,-,Urban
0500000US48361,ORANGE,0,1184,0,-,Urban
0500000US48363,PALO PINTO,10,361,1,2.8,Rural
0500000US48365,PANOLA,0,293,0,-,Rural
0500000US48367,PARKER,10,1422,1,0.7,Urban
0500000US48369,PARMER,0,144,0,-,Rural
0500000US48371,PECOS,3,227,0,-,Rural
0500000US48373,POLK,7,476,0,-,Rural
0500000US48375,POTTER,58,2071,1,0.5,Urban
0500000US48377,PRESIDIO,,143,0,-,Rural
0500000US48379,RAINS,,87,0,-,Rural
0500000US48381,RANDALL,0,1762,0,-,Urban
0500000US48383,REAGAN,0,47,0,-,Rural
0500000US48385,REAL,,36,0,-,Rural
0500000US48387,RED RIVER,0,127,0,-,Rural
0500000US48389,REEVES,4,201,0,-,Rural
0500000US48391,REFUGIO,0,93,0,-,Rural
0500000US48393,ROBERTS,,9,0,-,Rural
0500000US48395,ROBERTSON,,235,0,-,Urban
0500000US48397,ROCKWALL,23,985,0,-,Urban
0500000US48399,RUNNELS,0,99,0,-,Rural
0500000US48401,RUSK,14,576,0,-,Urban
0500000US48403,SABINE,0,82,0,-,Rural
0500000US48405,SAN AUGUSTINE,0,92,0,-,Rural
0500000US48407,SAN JACINTO,,284,0,-,Rural
0500000US48409,SAN PATRICIO,0,1047,1,1.0,Urban
0500000US48411,SAN SABA,,69,0,-,Rural
0500000US48413,SCHLEICHER,0,40,0,-,Rural
0500000US48415,SCURRY,3,261,0,-,Rural
0500000US48417,SHACKELFORD,,23,0,-,Rural
0500000US48419,SHELBY,,351,1,2.8,Rural
0500000US48421,SHERMAN,,41,0,-,Rural
0500000US48423,SMITH,46,3150,2,0.6,Urban
0500000US48425,SOMERVELL,0,85,0,-,Urban
0500000US48427,STARR,10,1382,0,-,Rural
0500000US48429,STEPHENS,0,96,0,-,Rural
0500000US48431,STERLING,,20,0,-,Rural
0500000US48433,STONEWALL,0,17,0,-,Rural
0500000US48435,SUTTON,0,53,0,-,Rural
0500000US48437,SWISHER,0,95,0,-,Rural
0500000US48439,TARRANT,443,28405,13,0.5,Urban
0500000US48441,TAYLOR,58,2120,0,-,Urban
0500000US48443,TERRELL,,18,0,-,Rural
0500000US48445,TERRY,5,210,0,-,Rural
0500000US48447,THROCKMORTON,0,14,0,-,Rural
