geo,county,Urbanization Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48001,ANDERSON,Rural,2914,1,2834,1763,115354,80543,17085,15216,2510
0500000US48003,ANDREWS,Rural,1509,0,1445,958,38789,18754,533,18794,708
0500000US48005,ANGELINA,Rural,6031,8,5753,3538,224258,141767,34819,43066,4606
0500000US48007,ARANSAS,Urban,1278,2,1104,645,59489,42276,584,14611,2018
0500000US48009,ARCHER,Urban,363,0,361,296,22493,20471,73,1571,378
0500000US48011,ARMSTRONG,Urban,108,0,105,82,4916,4472,25,320,99
0500000US48013,ATASCOSA,Urban,3268,1,2735,1860,116860,42825,611,72156,1268
0500000US48015,AUSTIN,Urban,1742,0,1635,945,72438,47599,6859,16832,1148
0500000US48017,BAILEY,Rural,579,1,535,239,17810,7028,131,10496,155
0500000US48019,BANDERA,Urban,820,1,755,451,52077,42339,201,8644,893
0500000US48021,BASTROP,Urban,4531,2,4373,3105,185702,107685,13555,60160,4302
0500000US48023,BAYLOR,Rural,193,0,191,157,9603,8063,181,1237,122
0500000US48025,BEE,Rural,1904,0,1794,1202,64696,21601,1023,41078,994
0500000US48027,BELL,Urban,31559,7,24453,17606,801976,403193,167600,174243,56940
0500000US48029,BEXAR,Urban,132755,48,108886,78398,4472069,1322084,312989,2659659,177337
0500000US48031,BLANCO,Rural,455,0,412,243,26219,21141,105,4518,455
0500000US48033,BORDEN,Rural,31,0,31,21,1544,1312,0,208,24
0500000US48035,BOSQUE,Rural,926,0,875,516,46024,37593,682,7114,635
0500000US48037,BOWIE,Urban,6053,3,5526,3150,230604,156181,56632,11426,6365
0500000US48039,BRAZORIA,Urban,23343,12,21418,14136,789582,418742,93208,218282,59350
0500000US48041,BRAZOS,Urban,13335,2,10973,7242,489866,289171,56075,114507,30113
0500000US48043,BREWSTER,Rural,570,0,533,373,23069,12529,92,9969,479
0500000US48045,BRISCOE,Rural,68,0,65,35,4080,2924,107,1015,34
0500000US48047,BROOKS,Rural,637,0,502,263,18273,1486,41,16642,104
0500000US48049,BROWN,Rural,2100,2,2072,1575,97041,73043,3161,19036,1801
0500000US48051,BURLESON,Urban,968,2,784,478,43936,30080,5487,7825,544
0500000US48053,BURNET,Rural,2313,0,2153,1421,110539,84980,1836,21785,1938
0500000US48055,CALDWELL,Urban,2407,1,2333,1423,95757,42167,6143,45665,1782
0500000US48057,CALHOUN,Rural,1447,1,1367,943,53125,24173,1311,25133,2508
0500000US48059,CALLAHAN,Urban,661,1,649,448,35075,31420,385,2580,690
0500000US48061,CAMERON,Urban,37401,8,34685,25667,1070410,106225,2620,951999,9566
0500000US48063,CAMP,Rural,965,0,934,555,31757,18909,5844,6373,631
0500000US48065,CARSON,Urban,313,0,311,233,15755,13995,91,1387,282
0500000US48067,CASS,Rural,1781,0,1638,901,78455,60234,14238,2624,1359
0500000US48069,CASTRO,Rural,640,0,630,353,19973,7447,381,11956,189
0500000US48071,CHAMBERS,Urban,2325,2,2146,1378,89320,63153,7279,16940,1948
0500000US48073,CHEROKEE,Rural,3708,1,3369,1819,126313,81868,17627,24546,2272
0500000US48075,CHILDRESS,Rural,389,1,379,238,14603,10455,667,3200,281
0500000US48077,CLAY,Urban,448,0,435,335,27468,25454,115,1271,628
0500000US48079,COCHRAN,Rural,244,0,236,121,7870,3334,295,4154,87
0500000US48081,COKE,Rural,143,1,144,85,8440,6841,12,1480,107
0500000US48083,COLEMAN,Rural,464,0,450,277,22334,17859,470,3677,328
0500000US48085,COLLIN,Urban,52780,5,51254,37928,2065296,1289948,187529,304943,282876
0500000US48087,COLLINGSWORTH,Rural,226,0,218,118,7755,4856,352,2369,178
0500000US48089,COLORADO,Rural,1259,0,1218,750,52960,31718,7041,13578,623
0500000US48091,COMAL,Urban,6610,0,6078,3683,286269,204052,4206,71932,6079
0500000US48093,COMANCHE,Rural,784,0,774,472,35480,26014,67,8946,453
0500000US48095,CONCHO,Rural,129,0,127,75,6449,4393,23,1959,74
0500000US48097,COOKE,Rural,2651,1,2556,1508,97685,77649,2572,14681,2783
0500000US48099,CORYELL,Urban,5121,2,4470,3263,194687,120489,31248,30736,12214
0500000US48101,COTTLE,Rural,77,0,77,51,3975,2757,359,843,16
0500000US48103,CRANE,Rural,362,0,321,263,11404,4653,307,6258,186
0500000US48105,CROCKETT,Rural,293,0,288,147,9476,3304,23,6078,71
0500000US48107,CROSBY,Urban,390,1,374,221,15680,6756,528,8274,122
0500000US48109,CULBERSON,Rural,143,0,138,83,6136,1206,13,4808,109
0500000US48111,DALLAM,Rural,690,2,668,419,16471,9293,201,6633,344
0500000US48113,DALLAS,Urban,195655,68,180430,108258,6072376,1977358,1433865,2266345,394808
0500000US48115,DAWSON,Rural,913,1,877,535,30104,12059,1167,16558,320
0500000US48117,DEAF SMITH,Rural,1696,2,1672,970,48763,15147,430,32635,551
0500000US48119,DELTA,Rural,309,0,300,213,13432,11256,1061,611,504
0500000US48121,DENTON,Urban,46959,8,45778,31587,1745540,1112827,154399,321285,157029
0500000US48123,DEWITT,Rural,454,0,1197,814,38993,23060,3095,12241,597
0500000US48125,DICKENS,Rural,102,0,99,46,5269,3804,68,1305,92
0500000US48127,DIMMIT,Rural,885,0,845,583,26821,3092,190,23313,226
0500000US48129,DONLEY,Rural,162,0,161,90,9267,7857,470,774,166
0500000US48131,DUVAL,Rural,876,0,600,351,28532,2594,24,25756,158
0500000US48133,EASTLAND,Rural,1017,0,994,616,47582,39553,706,6663,660
0500000US48135,ECTOR,Urban,13713,3,12038,9751,357095,144837,14867,190695,6696
0500000US48137,EDWARDS,Rural,126,0,116,57,4839,2331,15,2445,48
0500000US48139,ELLIS,Urban,10053,1,9452,5766,386257,253810,35521,89226,7700
0500000US48141,EL PASO,Urban,68690,12,63011,40327,2105003,247126,45982,1771364,40531
0500000US48143,ERATH,Rural,2452,0,2403,1466,98326,77326,938,18365,1697
0500000US48145,FALLS,Urban,1015,2,790,413,46650,24371,12741,8941,597
0500000US48147,FANNIN,Rural,1661,0,1593,940,80299,68103,3765,6401,2030
0500000US48149,FAYETTE,Rural,1197,0,1151,815,63342,46634,4352,11630,726
0500000US48151,FISHER,Rural,195,0,189,134,9983,7064,346,2473,100
0500000US48153,FLOYD,Rural,415,0,405,231,16249,7041,539,8553,116
0500000US48155,FOARD,Rural,62,0,59,42,3482,2824,149,486,23
0500000US48157,FORT BEND,Urban,41540,13,39009,26136,1555653,546776,344573,370272,294032
0500000US48159,FRANKLIN,Rural,526,0,516,336,26880,22001,1093,3173,613
