geo,county,Obstetrics Beds,prenatal_eligible_2014,prenatal_2014,prenatal_percent_2014,births_2014,deaths_2014,rate_2014,Urbanization Status
0500000US48001,ANDERSON,16,567,341,60.1,571,0,-,Rural
0500000US48003,ANDREWS,5,340,212,62.4,344,0,-,Rural
0500000US48005,ANGELINA,20,1158,646,55.8,1174,3,2.6,Rural
0500000US48007,ARANSAS,,270,120,44.4,274,0,-,Urban
0500000US48009,ARCHER,,83,65,78.3,84,0,-,Urban
0500000US48011,ARMSTRONG,,,11,*,13,0,-,Urban
0500000US48013,ATASCOSA,4,654,365,55.8,707,0,-,Urban
0500000US48015,AUSTIN,0,350,193,55.1,363,0,-,Urban
0500000US48017,BAILEY,0,92,37,40.2,109,1,9.2,Rural
0500000US48019,BANDERA,,152,72,47.4,158,0,-,Urban
0500000US48021,BASTROP,0,1035,711,68.7,1041,2,1.9,Urban
0500000US48023,BAYLOR,2,43,34,79.1,43,0,-,Rural
0500000US48025,BEE,9,411,256,62.3,416,0,-,Rural
0500000US48027,BELL,78,5246,3672,70,6225,2,0.3,Urban
0500000US48029,BEXAR,385,26033,15854,60.9,27781,11,0.4,Urban
0500000US48031,BLANCO,,99,59,59.6,102,0,-,Rural
0500000US48033,BORDEN,,,4,*,6,0,-,Rural
0500000US48035,BOSQUE,4,157,94,59.9,167,0,-,Rural
0500000US48037,BOWIE,40,1157,554,47.9,1217,1,0.8,Urban
0500000US48039,BRAZORIA,10,4559,2763,60.6,4783,2,0.4,Urban
0500000US48041,BRAZOS,55,2533,1672,66,2829,0,-,Urban
0500000US48043,BREWSTER,5,103,74,71.8,104,0,-,Rural
0500000US48045,BRISCOE,,,3,*,11,0,-,Rural
0500000US48047,BROOKS,,105,44,41.9,116,0,-,Rural
0500000US48049,BROWN,8,423,309,73,425,0,-,Rural
0500000US48051,BURLESON,0,188,118,62.8,210,0,-,Urban
0500000US48053,BURNET,0,429,297,69.2,454,0,-,Rural
0500000US48055,CALDWELL,0,512,284,55.5,513,0,-,Urban
0500000US48057,CALHOUN,3,299,212,70.9,304,1,3.3,Rural
0500000US48059,CALLAHAN,,158,93,58.9,162,1,6.2,Urban
0500000US48061,CAMERON,136,7170,5005,69.8,7253,1,0.1,Urban
0500000US48063,CAMP,0,216,107,49.5,219,0,-,Rural
0500000US48065,CARSON,,69,48,69.6,69,0,-,Urban
0500000US48067,CASS,,341,188,55.1,361,0,-,Rural
0500000US48069,CASTRO,0,117,73,62.4,117,0,-,Rural
0500000US48071,CHAMBERS,0,451,259,57.4,475,0,-,Urban
0500000US48073,CHEROKEE,13,696,355,51,742,0,-,Rural
0500000US48075,CHILDRESS,6,82,52,63.4,82,0,-,Rural
0500000US48077,CLAY,0,82,60,73.2,82,0,-,Urban
