county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014
ANDERSON,581,0,- ,0500000US48001,611,1,1.6,564,0,- ,587,0,- ,571,0,-
ANDREWS,252,0,- ,0500000US48003,265,0,-,317,0,- ,331,0,- ,344,0,-
ANGELINA,1190,1,0.8,0500000US48005,1234,2,1.6,1193,1,0.8,1240,1,0.8,1174,3,2.6
ARANSAS,268,0,- ,0500000US48007,230,0,-,241,1,4.1,265,1,3.8,274,0,-
ARCHER,74,0,- ,0500000US48009,62,0,-,75,0,- ,68,0,- ,84,0,-
ARMSTRONG,27,0,- ,0500000US48011,12,0,-,30,0,- ,26,0,- ,13,0,-
ATASCOSA,641,0,- ,0500000US48013,634,1,1.6,644,0,- ,642,0,- ,707,0,-
AUSTIN,366,0,- ,0500000US48015,335,0,-,348,0,- ,330,0,- ,363,0,-
BAILEY,110,0,- ,0500000US48017,132,0,-,116,0,- ,112,0,- ,109,1,9.2
BANDERA,181,1,5.5,0500000US48019,159,0,-,164,0,- ,158,0,- ,158,0,-
BASTROP,847,0,- ,0500000US48021,820,0,-,844,0,- ,979,0,- ,1041,2,1.9
BAYLOR,40,0,- ,0500000US48023,32,0,-,48,0,- ,30,0,- ,43,0,-
BEE,349,0,- ,0500000US48025,384,0,-,360,0,- ,395,0,- ,416,0,-
BELL,6544,0,- ,0500000US48027,6217,0,-,6215,2,0.3,6358,3,0.5,6225,2,0.3
BEXAR,26074,10,0.4,0500000US48029,25819,6,0.2,26277,10,0.4,26804,11,0.4,27781,11,0.4
BLANCO,96,0,- ,0500000US48031,100,0,-,90,0,- ,67,0,- ,102,0,-
BORDEN,5,0,- ,0500000US48033,4,0,-,6,0,- ,10,0,- ,6,0,-
BOSQUE,199,0,- ,0500000US48035,175,0,-,185,0,- ,200,0,- ,167,0,-
BOWIE,1174,0,- ,0500000US48037,1222,1,0.8,1256,0,- ,1184,1,0.8,1217,1,0.8
BRAZORIA,4898,1,0.2,0500000US48039,4377,3,0.7,4610,1,0.2,4675,5,1.1,4783,2,0.4
BRAZOS,2711,1,0.4,0500000US48041,2564,0,-,2596,1,0.4,2635,0,- ,2829,0,-
BREWSTER,129,0,- ,0500000US48043,108,0,-,114,0,- ,115,0,- ,104,0,-
BRISCOE,14,0,- ,0500000US48045,22,0,-,9,0,- ,12,0,- ,11,0,-
BROOKS,124,0,- ,0500000US48047,150,0,-,112,0,- ,135,0,- ,116,0,-
BROWN,410,2,4.9,0500000US48049,425,0,-,422,0,- ,418,0,- ,425,0,-
BURLESON,192,0,- ,0500000US48051,189,0,-,200,0,- ,177,2,11.3,210,0,-
BURNET,468,0,- ,0500000US48053,465,0,-,449,0,- ,477,0,- ,454,0,-
CALDWELL,488,0,- ,0500000US48055,479,1,2.1,466,0,- ,461,0,- ,513,0,-
