county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,births_2010_2014,deaths_2010_2014,rate_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_white_perc_2010_2014,race_female_black_2010_2014,race_female_black_perc_2010_2014,race_female_hispanic_2010_2014,race_female_hispanic_perc_2010_2014,race_female_other_2010_2014,race_female_other_perc_2010_2014,prenatal_percent_2010_2014,Border Status,geo_two,GISJOIN
ANDERSON,581,0,- ,0500000US48001,611,1,1.6,564,0,- ,587,0,- ,571,0,-,22937,16224,3485,2924,304,23078,16063,3363,3039,613,23218,16107,3374,3118,619,23184,15925,3378,3211,670,22937,16224,3485,2924,304,2914,1,34.32,115354,80543,69.82,17085,14.81,15216,13.19,2510,2.18,62.2,Non-Border,48001,G4800010
ANDREWS,252,0,- ,0500000US48003,265,0,-,317,0,- ,331,0,- ,344,0,-,7418,3663,112,3540,103,7674,3703,98,3712,161,8032,3845,106,3916,165,8247,3880,105,4086,176,7418,3663,112,3540,103,1509,0,0,38789,18754,48.35,533,1.37,18794,48.45,708,1.83,66.3,Non-Border,48003,G4800030
ANGELINA,1190,1,0.8,0500000US48005,1234,2,1.6,1193,1,0.8,1240,1,0.8,1174,3,2.6,44256,28381,6984,8246,645,44927,28349,6899,8613,1066,45215,28391,6949,8794,1081,45604,28265,7003,9167,1169,44256,28381,6984,8246,645,6031,8,132.65,224258,141767,63.22,34819,15.53,43066,19.20,4606,2.05,61.5,Non-Border,48005,G4800050
ARANSAS,268,0,- ,0500000US48007,230,0,-,241,1,4.1,265,1,3.8,274,0,-,11673,8408,128,2812,325,11770,8331,106,2892,441,12042,8470,109,3002,461,12331,8659,113,3093,466,11673,8408,128,2812,325,1278,2,156.49,59489,42276,71.07,584,0.98,14611,24.56,2018,3.39,58.4,Non-Border,48007,G4800070
ARCHER,74,0,- ,0500000US48009,62,0,-,75,0,- ,68,0,- ,84,0,-,4491,4120,18,303,50,4423,4013,13,307,90,4469,4047,14,316,92,4619,4171,10,342,96,4491,4120,18,303,50,363,0,0,22493,20471,91.01,73,0.32,1571,6.98,378,1.68,82,Non-Border,48009,G4800090
ARMSTRONG,27,0,- ,0500000US48011,12,0,-,30,0,- ,26,0,- ,13,0,-,973,892,5,63,13,992,898,5,65,24,995,898,5,67,25,983,892,5,62,24,973,892,5,63,13,108,0,0,4916,4472,90.97,25,0.51,320,6.51,99,2.01,78.1,Non-Border,48011,G4800110
ATASCOSA,641,0,- ,0500000US48013,634,1,1.6,644,0,- ,642,0,- ,707,0,-,22781,8502,130,13975,174,23512,8565,120,14524,303,23835,8641,120,14766,308,23951,8615,111,14916,309,22781,8502,130,13975,174,3268,1,30.60,116860,42825,36.65,611,0.52,72156,61.75,1268,1.09,68,Non-Border,48013,G4800130
AUSTIN,366,0,- ,0500000US48015,335,0,-,348,0,- ,330,0,- ,363,0,-,14344,9590,1386,3212,156,14450,9474,1347,3357,272,14530,9478,1349,3429,274,14770,9467,1391,3622,290,14344,9590,1386,3212,156,1742,0,0,72438,47599,65.71,6859,9.47,16832,23.24,1148,1.58,57.8,Non-Border,48015,G4800150
BAILEY,110,0,- ,0500000US48017,132,0,-,116,0,- ,112,0,- ,109,1,9.2,3544,1442,25,2056,21,3590,1403,29,2121,37,3614,1407,28,2141,38,3518,1334,24,2122,38,3544,1442,25,2056,21,579,1,172.71,17810,7028,39.46,131,0.74,10496,58.93,155,0.87,44.7,Non-Border,48017,G4800170
BANDERA,181,1,5.5,0500000US48019,159,0,-,164,0,- ,158,0,- ,158,0,-,10313,8478,45,1676,114,10417,8429,40,1731,217,10460,8449,41,1751,219,10574,8505,30,1810,229,10313,8478,45,1676,114,820,1,121.95,52077,42339,81.30,201,0.39,8644,16.60,893,1.71,59.7,Non-Border,48019,G4800190
BASTROP,847,0,- ,0500000US48021,820,0,-,844,0,- ,979,0,- ,1041,2,1.9,36174,21533,2774,11357,510,37028,21336,2634,12004,1054,37661,21580,2666,12339,1076,38665,21703,2707,13103,1152,36174,21533,2774,11357,510,4531,2,44.14,185702,107685,57.99,13555,7.30,60160,32.40,4302,2.32,71,Non-Border,48021,G4800210
BAYLOR,40,0,- ,0500000US48023,32,0,-,48,0,- ,30,0,- ,43,0,-,1931,1636,36,247,12,1929,1615,37,245,32,1930,1614,38,245,33,1882,1562,34,253,33,1931,1636,36,247,12,193,0,0,9603,8063,83.96,181,1.88,1237,12.88,122,1.27,82,Non-Border,48023,G4800230
BEE,349,0,- ,0500000US48025,384,0,-,360,0,- ,395,0,- ,416,0,-,12798,4359,216,8089,134,13003,4309,196,8258,240,13084,4308,198,8336,242,13013,4266,197,8306,244,12798,4359,216,8089,134,1904,0,0,64696,21601,33.39,1023,1.58,41078,63.49,994,1.54,67,Non-Border,48025,G4800250
BELL,6544,0,- ,0500000US48027,6217,0,-,6215,2,0.3,6358,3,0.5,6225,2,0.3,156771,80817,34483,33436,8035,160523,79938,32461,34897,13227,163098,80940,33024,35641,13493,164813,80681,33149,36833,14150,156771,80817,34483,33436,8035,31559,7,22.18,801976,403193,50.27,167600,20.90,174243,21.73,56940,7.10,72,Non-Border,48027,G4800270
BEXAR,26074,10,0.4,0500000US48029,25819,6,0.2,26277,10,0.4,26804,11,0.4,27781,11,0.4,873933,267130,63715,515764,27324,894653,262463,60987,531841,39362,908861,264901,61833,541945,40182,920689,260460,62739,554345,43145,873933,267130,63715,515764,27324,132755,48,36.16,4472069,1322084,29.56,312989,7.00,2659659,59.47,177337,3.97,72,Non-Border,48029,G4800290
