county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
ANDERSON ,22937,16224,3485,2924,304,0500000US48001,23078,16063,3363,3039,613,23218,16107,3374,3118,619,23184,15925,3378,3211,670,22937,16224,3485,2924,304
ANDREWS ,7418,3663,112,3540,103,0500000US48003,7674,3703,98,3712,161,8032,3845,106,3916,165,8247,3880,105,4086,176,7418,3663,112,3540,103
ANGELINA ,44256,28381,6984,8246,645,0500000US48005,44927,28349,6899,8613,1066,45215,28391,6949,8794,1081,45604,28265,7003,9167,1169,44256,28381,6984,8246,645
ARANSAS ,11673,8408,128,2812,325,0500000US48007,11770,8331,106,2892,441,12042,8470,109,3002,461,12331,8659,113,3093,466,11673,8408,128,2812,325
ARCHER ,4491,4120,18,303,50,0500000US48009,4423,4013,13,307,90,4469,4047,14,316,92,4619,4171,10,342,96,4491,4120,18,303,50
ARMSTRONG ,973,892,5,63,13,0500000US48011,992,898,5,65,24,995,898,5,67,25,983,892,5,62,24,973,892,5,63,13
ATASCOSA ,22781,8502,130,13975,174,0500000US48013,23512,8565,120,14524,303,23835,8641,120,14766,308,23951,8615,111,14916,309,22781,8502,130,13975,174
AUSTIN ,14344,9590,1386,3212,156,0500000US48015,14450,9474,1347,3357,272,14530,9478,1349,3429,274,14770,9467,1391,3622,290,14344,9590,1386,3212,156
BAILEY ,3544,1442,25,2056,21,0500000US48017,3590,1403,29,2121,37,3614,1407,28,2141,38,3518,1334,24,2122,38,3544,1442,25,2056,21
BANDERA ,10313,8478,45,1676,114,0500000US48019,10417,8429,40,1731,217,10460,8449,41,1751,219,10574,8505,30,1810,229,10313,8478,45,1676,114
BASTROP ,36174,21533,2774,11357,510,0500000US48021,37028,21336,2634,12004,1054,37661,21580,2666,12339,1076,38665,21703,2707,13103,1152,36174,21533,2774,11357,510
BAYLOR ,1931,1636,36,247,12,0500000US48023,1929,1615,37,245,32,1930,1614,38,245,33,1882,1562,34,253,33,1931,1636,36,247,12
BEE ,12798,4359,216,8089,134,0500000US48025,13003,4309,196,8258,240,13084,4308,198,8336,242,13013,4266,197,8306,244,12798,4359,216,8089,134
BELL ,156771,80817,34483,33436,8035,0500000US48027,160523,79938,32461,34897,13227,163098,80940,33024,35641,13493,164813,80681,33149,36833,14150,156771,80817,34483,33436,8035
BEXAR ,873933,267130,63715,515764,27324,0500000US48029,894653,262463,60987,531841,39362,908861,264901,61833,541945,40182,920689,260460,62739,554345,43145,873933,267130,63715,515764,27324
BLANCO ,5197,4221,23,880,73,0500000US48031,5271,4240,20,907,104,5336,4281,20,930,105,5218,4178,19,921,100,5197,4221,23,880,73
BORDEN ,306,261,0,42,3,0500000US48033,310,264,0,39,7,310,263,0,40,7,312,263,0,45,4,306,261,0,42,3
BOSQUE ,9159,7561,158,1371,69,0500000US48035,9204,7500,120,1423,161,9271,7524,122,1460,165,9231,7447,124,1489,171,9159,7561,158,1371,69
BOWIE ,45807,31469,11367,2170,801,0500000US48037,46117,31127,11162,2288,1540,46364,31161,11301,2346,1556,46509,30955,11435,2452,1667,45807,31469,11367,2170,801
BRAZORIA ,154166,84133,18353,41797,9883,0500000US48039,157691,83231,18253,43544,12663,159970,84082,18497,44467,12924,163589,83163,19752,46677,13997,154166,84133,18353,41797,9883
BRAZOS ,96221,58010,11292,21876,5043,0500000US48041,97864,57569,11014,22813,6468,99414,58274,11181,23362,6597,100146,57308,11296,24580,6962,96221,58010,11292,21876,5043
BREWSTER ,4596,2533,19,1979,65,0500000US48043,4633,2501,20,1996,116,4651,2496,20,2018,117,4593,2466,14,1997,116,4596,2533,19,1979,65
BRISCOE ,822,599,23,200,0,0500000US48045,834,591,22,209,12,839,590,22,215,12,763,545,17,191,10,822,599,23,200,0
BROOKS ,3644,301,8,3317,18,0500000US48047,3658,295,10,3330,23,3675,292,10,3349,24,3652,297,5,3329,21,3644,301,8,3317,18
BROWN ,19268,14691,674,3689,214,0500000US48049,19366,14526,596,3796,448,19582,14647,604,3875,456,19557,14488,613,3987,469,19268,14691,674,3689,214
BURLESON ,8683,6002,1105,1505,71,0500000US48051,8819,6027,1088,1566,138,8930,6085,1101,1605,139,8821,5964,1088,1644,125,8683,6002,1105,1505,71
BURNET ,21761,16948,405,4171,237,0500000US48053,22053,16895,339,4344,475,22333,17037,344,4464,488,22631,17152,343,4635,501,21761,16948,405,4171,237
CALDWELL ,18886,8496,1262,8886,242,0500000US48055,19137,8376,1209,9123,429,19334,8413,1209,9277,435,19514,8386,1201,9493,434,18886,8496,1262,8886,242
CALHOUN ,10534,4913,273,4896,452,0500000US48057,10590,4800,253,5012,525,10727,4830,254,5111,532,10740,4717,258,5218,547,10534,4913,273,4896,452
CALLAHAN ,6937,6271,93,497,76,0500000US48059,6920,6171,66,508,175,6977,6207,67,526,177,7304,6500,66,552,186,6937,6271,93,497,76
CAMERON ,210826,21738,558,186887,1643,0500000US48061,214781,21239,500,190994,2048,216301,21011,500,192735,2055,217676,20499,504,194496,2177,210826,21738,558,186887,1643
CAMP ,6315,3813,1208,1231,63,0500000US48063,6341,3769,1137,1271,164,6390,3772,1152,1301,165,6396,3742,1139,1339,176,6315,3813,1208,1231,63
CARSON ,3140,2808,19,272,41,0500000US48065,3181,2814,17,283,67,3197,2825,17,288,67,3097,2740,19,272,66,3140,2808,19,272,41
CASS ,15687,12111,2899,503,174,0500000US48067,15632,11966,2818,519,329,15668,11983,2819,527,339,15781,12063,2803,572,343,15687,12111,2899,503,174
CASTRO ,3978,1518,75,2353,32,0500000US48069,4017,1496,79,2403,39,4051,1487,80,2444,40,3949,1428,72,2403,46,3978,1518,75,2353,32
