county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,prenatal_percent_2010_2014,prenatal_sum_2010_2014
LOVING,-,-,-,-,-,0,0,0,0,0,,0
KENEDY,*,*,*,*,*,4,3,3,1,1,--,12
KING,-,-,*,*,*,0,0,1,6,2,--,9
WEBB,68.5,75.1,77.7,81.7,72,3391,3968,4146,4355,3911,86,19771
ZAPATA,66.7,80.6,78.9,85,74,178,208,217,244,245,85,1092
ARCHER,78.3,83.8,81.3,80.6,85.1,65,57,61,50,63,82,296
BAYLOR,79.1,76.7,77.1,96.9,80,34,23,37,31,32,82,157
CRANE,75.6,80.2,70,63.3,72.6,59,65,56,38,45,81.9,263
ECTOR,71.3,80,66.6,66.2,72.4,2241,2306,1828,1617,1759,81,9751
WARD,67.7,87.4,73.2,62,77.2,126,167,123,101,105,81,622
WILLIAMSON,80.8,79.6,81.4,79.3,78,5000,4646,4868,4658,4658,81,23830
MAVERICK,75.8,79.2,78.2,81.3,82.7,881,855,848,837,816,80,4237
HARTLEY,83.3,76.5,81,79.2,68.5,50,52,51,42,37,79,232
JIM HOGG,75,81,71.8,65.2,67.1,57,64,61,58,57,79,297
THROCKMORTON,*,*,*,*,*,10,14,12,8,15,78.7,59
UPTON,59.2,74.1,63.5,61.5,81.6,29,43,33,32,31,78.5,168
ARMSTRONG,*,76.9,70,*,74.1,11,20,21,10,20,78.1,82
OLDHAM,81.8,77.4,*,*,*,18,24,13,16,13,78,84
WICHITA,76.1,75.1,78.6,76.5,75.9,1371,1319,1386,1403,1354,78,6833
GLASSCOCK,*,*,*,*,*,11,10,9,7,8,77.6,45
CLAY,73.2,71.7,84.2,76.7,70.8,60,71,80,56,68,77,335
JACKSON,70.1,78.5,72.2,78.2,75,141,139,135,140,144,77,699
BROWN,73,75.1,77.1,76.4,74.1,309,314,324,324,304,76,1575
WILSON,56.8,65.4,69.9,71.3,70.8,271,321,316,298,255,76,1461
WINKLER,65.7,78.5,62.1,63.6,63.1,88,102,82,68,65,76,405
CARSON,69.6,80.8,70.8,82.8,71,48,42,46,53,44,74.9,233
GOLIAD,67.1,82,72.6,64.9,75,51,41,45,37,54,74.5,228
CAMERON,69.8,73.8,69.8,69,64.3,5005,5400,5094,5185,4983,74,25667
COLLIN,68.6,72.8,74.3,74.7,72.5,7376,7643,7606,7673,7630,74,37928
RANDALL,72.1,74.3,73.9,76.3,69.2,1269,1251,1192,1257,1071,74,6040
REEVES,65.2,76.2,65,67.1,69.3,129,147,106,104,113,74,599
CORYELL,71.6,74.5,71.2,70.3,68,712,712,591,629,619,73,3263
HOPKINS,66.7,75.2,76.6,72.6,69.9,313,321,347,350,351,73,1682
MEDINA,65.4,66.6,69.5,70.9,71.6,367,331,323,312,341,73,1674
HARDIN,66.9,70.9,70.8,74.1,76,443,491,485,473,530,72.8,2422
VICTORIA,73,73,70.2,67.5,66.3,951,877,852,813,856,72.3,4349
BELL,70,72.3,70.9,69.5,68.6,3672,3768,3392,3170,3604,72,17606
BEXAR,60.9,59.8,65,71,72.4,15854,15035,15844,15923,15742,72,78398
TRAVIS,73,73.9,71.7,68.9,66.8,11893,11545,11285,10641,10461,72,55825
WILBARGER,64.2,77.8,71.8,70.9,69.1,97,123,122,122,125,72,589
PARKER,73,69.2,72.2,70.5,64.5,1037,887,969,911,834,71.9,4638
YOUNG,68.3,71,75.1,71,68.3,157,159,184,154,155,71.9,809
LAVACA,68,65.1,73.8,73.8,70.1,164,123,166,155,141,71.8,749
FOARD,*,*,*,*,*,5,6,14,11,6,71.2,42
BASTROP,68.7,72.2,67.1,69.2,67.7,711,701,564,564,565,71,3105
DELTA,59.2,78.9,68.9,69,74.6,42,45,42,40,44,71,213
FISHER,80.4,58.6,64.5,63.9,71.7,41,17,20,23,33,71,134
HAYS,67.9,69.5,72.3,69.8,69.7,1600,1473,1479,1428,1451,71,7431
ROBERTS,*,*,*,*,*,7,6,6,7,10,71,36
FAYETTE,71,62.5,71.8,72.9,72.5,171,150,145,180,169,70.8,815
BREWSTER,71.8,67,65.8,67.3,58.1,74,77,75,72,75,70,373
KENDALL,70.3,66.2,67.9,68.6,68.1,242,202,222,199,179,70,1044
PALO PINTO,71.7,70.4,71.8,65.7,65.9,259,262,270,241,234,70,1266
REFUGIO,53.8,62.9,67.9,82.2,61,49,44,55,74,50,70,272
TAYLOR,65.2,67.3,71.7,71.1,66.4,1378,1342,1465,1437,1310,70,6932
CALHOUN,70.9,71.7,68.1,67.7,59.6,212,208,169,180,174,69,943
CALLAHAN,58.9,70.9,69.9,76.8,69.4,93,90,95,86,84,69,448
