county,total_number_2010,total_percent_2010,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010,geo,geo_two,GISJOIN,Geographic Area,total_number_2011,total_percent_2011,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,geo_two2,GISJOIN2,geo_two2_2,GISJOIN2_2,Geographic Area2,total_number_2012,total_percent_2012,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,geo_two2_3,GISJOIN2_3,geo_two2_4,GISJOIN2_4,Geographic Area2_2,total_number_2013,total_percent_2013,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,geo_two2_5,GISJOIN2_5,geo_two2_6,GISJOIN2_6,Geographic Area2_3,total_number_2014,total_percent_2014,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,geo_two2_7,GISJOIN2_7,total_sum_2010_2014,white_sum_2010_2014,black_sum_2010_2014,hispanic_sum_2010_2014
ANDERSON,315,55.5,211,59.1,34,42,70,53.8,0500000US48001,48001,G4800010,ANDERSON,382,63.1,234,64.5,52,57.8,96,63.2,48001,G4800010,48001,G4800010,ANDERSON,355,63.4,241,67.5,44,54.3,70,57.4,48001,G4800010,48001,G4800010,ANDERSON,370,64.2,249,74.1,46,47.9,75,52.1,48001,G4800010,48001,G4800010,ANDERSON,341,60.1,228,65.7,51,57.3,62,47.3,48001,G4800010,1763,1163,227,373
ANDREWS,175,69.4,80,79.2,0,-,95,62.9,0500000US48003,48003,G4800030,ANDREWS,159,60.5,66,66.7,2,*,91,56.5,48003,G4800030,48003,G4800030,ANDREWS,195,61.9,75,69.4,2,*,118,58.1,48003,G4800030,48003,G4800030,ANDREWS,217,66,81,77.1,0,-,136,61,48003,G4800030,48003,G4800030,ANDREWS,212,62.4,84,68.9,1,*,127,58.5,48003,G4800030,958,386,5,567
ANGELINA,688,58.4,391,60.7,89,50.9,208,57.8,0500000US48005,48005,G4800050,ANGELINA,736,60.3,426,64.7,123,58.9,187,53,48005,G4800050,48005,G4800050,ANGELINA,732,62,439,68,105,57.4,188,53.6,48005,G4800050,48005,G4800050,ANGELINA,736,60.2,460,66.4,112,59.9,164,47.8,48005,G4800050,48005,G4800050,ANGELINA,646,55.8,389,60.9,84,45.9,173,51.5,48005,G4800050,3538,2105,513,920
ARANSAS,144,55.2,85,55.6,3,*,56,56.6,0500000US48007,48007,G4800070,ARANSAS,113,53.8,67,57.3,2,*,44,48.4,48007,G4800070,48007,G4800070,ARANSAS,137,63.4,81,67.5,1,*,55,58.5,48007,G4800070,48007,G4800070,ARANSAS,131,51.6,80,51.6,1,*,50,51.5,48007,G4800070,48007,G4800070,ARANSAS,120,44.4,71,46.7,4,*,45,40.2,48007,G4800070,645,384,11,250
ARCHER,63,85.1,57,86.4,0,-,6,*,0500000US48009,48009,G4800090,ARCHER,50,80.6,43,82.7,0,-,7,*,48009,G4800090,48009,G4800090,ARCHER,61,81.3,55,83.3,0,-,6,*,48009,G4800090,48009,G4800090,ARCHER,57,83.8,52,85.2,0,-,5,*,48009,G4800090,48009,G4800090,ARCHER,65,78.3,57,78.1,0,-,8,*,48009,G4800090,296,264,0,32
ARMSTRONG,20,74.1,20,76.9,0,-,0,-,0500000US48011,48011,G4800110,ARMSTRONG,10,*,9,*,0,-,1,*,48011,G4800110,48011,G4800110,ARMSTRONG,21,70,21,72.4,0,-,0,-,48011,G4800110,48011,G4800110,ARMSTRONG,20,76.9,20,80,0,-,0,-,48011,G4800110,48011,G4800110,ARMSTRONG,11,*,11,*,0,-,0,-,48011,G4800110,82,81,0,1
ATASCOSA,426,71.2,116,71.6,0,-,310,71.4,0500000US48013,48013,G4800130,ATASCOSA,400,67.6,110,65.9,3,*,287,68.3,48013,G4800130,48013,G4800130,ATASCOSA,387,64.1,139,66.8,0,-,248,62.6,48013,G4800130,48013,G4800130,ATASCOSA,282,48.4,88,50.9,1,*,193,47.2,48013,G4800130,48013,G4800130,ATASCOSA,365,55.8,130,60.7,0,-,235,53.5,48013,G4800130,1860,583,4,1273
AUSTIN,184,53,107,58.8,14,41.2,63,48.1,0500000US48015,48015,G4800150,AUSTIN,189,59.2,106,65.4,14,51.9,69,53.1,48015,G4800150,48015,G4800150,AUSTIN,197,60.2,121,70.8,21,56.8,55,46.2,48015,G4800150,48015,G4800150,AUSTIN,182,57.4,106,67.1,12,34.3,64,51.6,48015,G4800150,48015,G4800150,AUSTIN,193,55.1,118,64.1,16,43.2,59,45.7,48015,G4800150,945,558,77,310
BAILEY,39,36.4,17,42.5,1,*,21,31.8,0500000US48017,48017,G4800170,BAILEY,54,41.9,23,62.2,1,*,30,33,48017,G4800170,48017,G4800170,BAILEY,58,50.4,30,65.2,0,-,28,40.6,48017,G4800170,48017,G4800170,BAILEY,51,49,24,70.6,0,-,27,38.6,48017,G4800170,48017,G4800170,BAILEY,37,40.2,12,52.2,0,-,25,36.8,48017,G4800170,239,106,2,131
BANDERA,101,62.3,80,64,1,*,20,57.1,0500000US48019,48019,G4800190,BANDERA,91,61.9,74,65.5,0,-,17,50,48019,G4800190,48019,G4800190,BANDERA,102,65.4,84,69.4,2,*,16,50,48019,G4800190,48019,G4800190,BANDERA,85,54.1,70,57.4,0,-,15,42.9,48019,G4800190,48019,G4800190,BANDERA,72,47.4,58,50.9,0,-,14,37.8,48019,G4800190,451,366,3,82
