county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number
Anderson,67.2,"1,150",54.9,254,56.3,391,66.7,46
Andrews,68.7,369,*,**,56.8,571,*,**
Angelina,64.7,"2,048",55.9,536,51.7,886,56.3,85
Aransas,53.6,354,*,10,49.4,251,*,18
Archer,83.3,265,--,0,68.9,31,*,**
Armstrong,78.1,75,--,0,*,**,*,**
Atascosa,61.8,576,*,**,57.4,"1,186",*,16
Austin Cnty,67.7,549,48.3,83,49.1,308,*,15
Bailey,66.5,111,*,**,37.4,141,*,**
Bandera,60.7,342,*,**,44,77,*,11
Bastrop,77.1,"1,629",65.3,169,62.9,"1,391",64.8,79
Baylor,79.4,123,*,**,85.2,23,*,**
Bee,67.1,302,*,14,59.6,862,*,**
Bell,74.7,"8,701",68,"3,872",64.2,"4,054",66.4,"1,475"
Bexar,74.2,"21,595",58.7,"4,710",60.4,"48,770",65.7,"4,249"
Blanco,63.8,190,*,**,45.2,56,--,0
Borden,*,20,--,0,*,**,--,0
Bosque,66.2,385,*,11,50.8,125,*,12
Bowie,61.7,"2,066",40.3,705,45.5,246,43.9,82
Brazoria,66,"6,992",61.5,"1,398",59.6,"4,520",66.4,"1,264"
Brazos,74.8,"4,164",50.6,725,60.9,"2,379",60.7,575
Brewster,72.9,180,*,**,64.2,174,*,**
Briscoe,64.1,25,--,0,*,12,--,0
Brooks,*,12,*,**,45.5,241,*,**
Brown,76.8,"1,155",70.1,47,71.3,347,73.7,28
Burleson Cnty,66.9,354,60,69,47.4,101,*,**
Burnet,73.7,980,*,15,54.7,458,62.1,41
Caldwell,67.6,567,43.5,27,54.5,826,63.2,24
Calhoun,77.7,358,*,10,65.4,548,54.8,51
Callahan,67.5,389,*,**,62.2,46,*,**
Cameron,71.3,884,61.9,60,69.8,"24,291",64.7,225
Camp,68.4,283,54.9,89,48.3,160,*,15
Carson,78.3,213,*,**,*,17,*,**
Cass,58.4,696,41,145,48.5,47,64.3,36
Castro,81.6,102,*,**,50.7,251,*,**
Chambers,66.1,975,54.8,80,59.4,349,61.9,26
Cherokee,60.5,"1,119",49.7,216,39.7,481,50,36
Childress,68.4,130,*,12,49.3,70,*,11
Clay,78.1,307,--,0,*,16,*,**
Cochran,55.4,36,*,**,43.2,67,*,**
Coke,66.1,74,--,0,57.1,24,*,**
Coleman,59.8,195,*,**,58.9,53,*,**
Collin,78.6,"22,348",62.4,"2,924",57.8,"5,618",74.3,"7,005"
Collingsworth,61.9,60,*,**,41,34,*,**
Colorado,72.8,366,56.7,93,50.3,275,*,**
Comal,66,"2,668",57.1,44,48.4,"1,173",60.7,108
Comanche,65.8,304,*,**,57.8,181,*,**
Concho,73.3,55,*,**,48.2,27,*,**
Cooke,67.7,"1,212",55.7,49,38.1,271,45.9,28
Coryell,73.1,"2,203",71,353,68.8,555,63,221
Cottle,76.9,30,*,**,*,10,*,**
Crane,84.2,85,*,**,67.3,181,*,**
Crockett,63.1,53,*,**,46.9,92,*,**
Crosby,56.9,66,*,**,55.5,146,*,**
Culberson,*,15,--,0,63.3,76,*,**
Dallam,73.7,235,*,**,55.7,195,*,11
