county,Urbanization Status,Border Status,geo,geo_two,GISJOIN
ANDERSON,Rural,Non-Border,0500000US48001,48001,G4800010
ANDREWS,Rural,Non-Border,0500000US48003,48003,G4800030
ANGELINA,Rural,Non-Border,0500000US48005,48005,G4800050
ARANSAS,Urban,Non-Border,0500000US48007,48007,G4800070
ARCHER,Urban,Non-Border,0500000US48009,48009,G4800090
ARMSTRONG,Urban,Non-Border,0500000US48011,48011,G4800110
ATASCOSA,Urban,Non-Border,0500000US48013,48013,G4800130
AUSTIN,Urban,Non-Border,0500000US48015,48015,G4800150
BAILEY,Rural,Non-Border,0500000US48017,48017,G4800170
BANDERA,Urban,Non-Border,0500000US48019,48019,G4800190
BASTROP,Urban,Non-Border,0500000US48021,48021,G4800210
BAYLOR,Rural,Non-Border,0500000US48023,48023,G4800230
BEE,Rural,Non-Border,0500000US48025,48025,G4800250
BELL,Urban,Non-Border,0500000US48027,48027,G4800270
BEXAR,Urban,Non-Border,0500000US48029,48029,G4800290
BLANCO,Rural,Non-Border,0500000US48031,48031,G4800310
BORDEN,Rural,Non-Border,0500000US48033,48033,G4800330
BOSQUE,Rural,Non-Border,0500000US48035,48035,G4800350
BOWIE,Urban,Non-Border,0500000US48037,48037,G4800370
BRAZORIA,Urban,Non-Border,0500000US48039,48039,G4800390
BRAZOS,Urban,Non-Border,0500000US48041,48041,G4800410
BREWSTER,Rural,Border,0500000US48043,48043,G4800430
BRISCOE,Rural,Non-Border,0500000US48045,48045,G4800450
BROOKS,Rural,Border,0500000US48047,48047,G4800470
BROWN,Rural,Non-Border,0500000US48049,48049,G4800490
BURLESON,Urban,Non-Border,0500000US48051,48051,G4800510
BURNET,Rural,Non-Border,0500000US48053,48053,G4800530
CALDWELL,Urban,Non-Border,0500000US48055,48055,G4800550
CALHOUN,Rural,Non-Border,0500000US48057,48057,G4800570
CALLAHAN,Urban,Non-Border,0500000US48059,48059,G4800590
CAMERON,Urban,Border,0500000US48061,48061,G4800610
CAMP,Rural,Non-Border,0500000US48063,48063,G4800630
CARSON,Urban,Non-Border,0500000US48065,48065,G4800650
CASS,Rural,Non-Border,0500000US48067,48067,G4800670
CASTRO,Rural,Non-Border,0500000US48069,48069,G4800690
CHAMBERS,Urban,Non-Border,0500000US48071,48071,G4800710
CHEROKEE,Rural,Non-Border,0500000US48073,48073,G4800730
CHILDRESS,Rural,Non-Border,0500000US48075,48075,G4800750
CLAY,Urban,Non-Border,0500000US48077,48077,G4800770
COCHRAN,Rural,Non-Border,0500000US48079,48079,G4800790
COKE,Rural,Non-Border,0500000US48081,48081,G4800810
COLEMAN,Rural,Non-Border,0500000US48083,48083,G4800830
COLLIN,Urban,Non-Border,0500000US48085,48085,G4800850
COLLINGSWORTH,Rural,Non-Border,0500000US48087,48087,G4800870
COLORADO,Rural,Non-Border,0500000US48089,48089,G4800890
COMAL,Urban,Non-Border,0500000US48091,48091,G4800910
COMANCHE,Rural,Non-Border,0500000US48093,48093,G4800930
CONCHO,Rural,Non-Border,0500000US48095,48095,G4800950
COOKE,Rural,Non-Border,0500000US48097,48097,G4800970
CORYELL,Urban,Non-Border,0500000US48099,48099,G4800990
COTTLE,Rural,Non-Border,0500000US48101,48101,G4801010
CRANE,Rural,Non-Border,0500000US48103,48103,G4801030
CROCKETT,Rural,Border,0500000US48105,48105,G4801050
CROSBY,Urban,Non-Border,0500000US48107,48107,G4801070
CULBERSON,Rural,Border,0500000US48109,48109,G4801090
DALLAM,Rural,Non-Border,0500000US48111,48111,G4801110
DALLAS,Urban,Non-Border,0500000US48113,48113,G4801130
DAWSON,Rural,Non-Border,0500000US48115,48115,G4801150
DEWITT,Rural,Non-Border,0500000US48123,48123,G4801230
DEAF SMITH,Rural,Non-Border,0500000US48117,48117,G4801170
DELTA,Rural,Non-Border,0500000US48119,48119,G4801190
DENTON,Urban,Non-Border,0500000US48121,48121,G4801210
DICKENS,Rural,Non-Border,0500000US48125,48125,G4801250
DIMMIT,Rural,Border,0500000US48127,48127,G4801270
DONLEY,Rural,Non-Border,0500000US48129,48129,G4801290
DUVAL,Rural,Border,0500000US48131,48131,G4801310
EASTLAND,Rural,Non-Border,0500000US48133,48133,G4801330
ECTOR,Urban,Non-Border,0500000US48135,48135,G4801350
EDWARDS,Rural,Border,0500000US48137,48137,G4801370
EL PASO,Urban,Border,0500000US48141,48141,G4801410
ELLIS,Urban,Non-Border,0500000US48139,48139,G4801390
ERATH,Rural,Non-Border,0500000US48143,48143,G4801430
FALLS,Urban,Non-Border,0500000US48145,48145,G4801450
FANNIN,Rural,Non-Border,0500000US48147,48147,G4801470
FAYETTE,Rural,Non-Border,0500000US48149,48149,G4801490
FISHER,Rural,Non-Border,0500000US48151,48151,G4801510
FLOYD,Rural,Non-Border,0500000US48153,48153,G4801530
FOARD,Rural,Non-Border,0500000US48155,48155,G4801550
FORT BEND,Urban,Non-Border,0500000US48157,48157,G4801570
FRANKLIN,Rural,Non-Border,0500000US48159,48159,G4801590
FREESTONE,Rural,Non-Border,0500000US48161,48161,G4801610
FRIO,Rural,Border,0500000US48163,48163,G4801630
GAINES,Rural,Non-Border,0500000US48165,48165,G4801650
GALVESTON,Urban,Non-Border,0500000US48167,48167,G4801670
GARZA,Rural,Non-Border,0500000US48169,48169,G4801690
GILLESPIE,Rural,Non-Border,0500000US48171,48171,G4801710
GLASSCOCK,Rural,Non-Border,0500000US48173,48173,G4801730
GOLIAD,Urban,Non-Border,0500000US48175,48175,G4801750
GONZALES,Rural,Non-Border,0500000US48177,48177,G4801770
GRAY,Rural,Non-Border,0500000US48179,48179,G4801790
GRAYSON,Urban,Non-Border,0500000US48181,48181,G4801810
GREGG,Urban,Non-Border,0500000US48183,48183,G4801830
GRIMES,Rural,Non-Border,0500000US48185,48185,G4801850
GUADALUPE,Urban,Non-Border,0500000US48187,48187,G4801870
HALE,Rural,Non-Border,0500000US48189,48189,G4801890
HALL,Rural,Non-Border,0500000US48191,48191,G4801910
HAMILTON,Rural,Non-Border,0500000US48193,48193,G4801930
HANSFORD,Rural,Non-Border,0500000US48195,48195,G4801950
HARDEMAN,Rural,Non-Border,0500000US48197,48197,G4801970
HARDIN,Urban,Non-Border,0500000US48199,48199,G4801990
HARRIS,Urban,Non-Border,0500000US48201,48201,G4802010
HARRISON,Rural,Non-Border,0500000US48203,48203,G4802030
HARTLEY,Rural,Non-Border,0500000US48205,48205,G4802050
HASKELL,Rural,Non-Border,0500000US48207,48207,G4802070
HAYS,Urban,Non-Border,0500000US48209,48209,G4802090
HEMPHILL,Rural,Non-Border,0500000US48211,48211,G4802110
HENDERSON,Rural,Non-Border,0500000US48213,48213,G4802130
HIDALGO,Urban,Border,0500000US48215,48215,G4802150
HILL,Rural,Non-Border,0500000US48217,48217,G4802170
HOCKLEY,Rural,Non-Border,0500000US48219,48219,G4802190
HOOD,Urban,Non-Border,0500000US48221,48221,G4802210
HOPKINS,Rural,Non-Border,0500000US48223,48223,G4802230
HOUSTON,Rural,Non-Border,0500000US48225,48225,G4802250
HOWARD,Rural,Non-Border,0500000US48227,48227,G4802270
HUDSPETH,Urban,Border,0500000US48229,48229,G4802290
