county,prenatal_percent_2010_2014,Border Status
WEBB,86,Border
ZAPATA,85,Border
ARCHER,82,Non-Border
BAYLOR,82,Non-Border
CRANE,81.9,Non-Border
ECTOR,81,Non-Border
WARD,81,Non-Border
WILLIAMSON,81,Non-Border
MAVERICK,80,Border
HARTLEY,79,Non-Border
JIM HOGG,79,Border
THROCKMORTON,78.7,Non-Border
UPTON,78.5,Non-Border
ARMSTRONG,78.1,Non-Border
OLDHAM,78,Non-Border
WICHITA,78,Non-Border
GLASSCOCK,77.6,Non-Border
CLAY,77,Non-Border
JACKSON,77,Non-Border
BROWN,76,Non-Border
WILSON,76,Non-Border
WINKLER,76,Non-Border
CARSON,74.9,Non-Border
GOLIAD,74.5,Non-Border
CAMERON,74,Border
COLLIN,74,Non-Border
RANDALL,74,Non-Border
REEVES,74,Border
CORYELL,73,Non-Border
HOPKINS,73,Non-Border
MEDINA,73,Non-Border
HARDIN,72.8,Non-Border
VICTORIA,72.3,Non-Border
BELL,72,Non-Border
BEXAR,72,Non-Border
TRAVIS,72,Non-Border
WILBARGER,72,Non-Border
PARKER,71.9,Non-Border
YOUNG,71.9,Non-Border
LAVACA,71.8,Non-Border
FOARD,71.2,Non-Border
BASTROP,71,Non-Border
DELTA,71,Non-Border
FISHER,71,Non-Border
HAYS,71,Non-Border
ROBERTS,71,Non-Border
FAYETTE,70.8,Non-Border
BREWSTER,70,Border
KENDALL,70,Non-Border
PALO PINTO,70,Non-Border
REFUGIO,70,Non-Border
TAYLOR,70,Non-Border
CALHOUN,69,Non-Border
CALLAHAN,69,Non-Border
DENTON,69,Non-Border
DIMMIT,69,Border
JACK,69,Non-Border
ORANGE,69,Non-Border
ROCKWALL,69,Non-Border
WALKER,69,Non-Border
LAMPASAS,68.2,Non-Border
KNOX,68.1,Non-Border
ATASCOSA,68,Non-Border
BORDEN,68,Non-Border
DEWITT,68,Non-Border
LEE,68,Non-Border
LLANO,68,Non-Border
NOLAN,68,Non-Border
NUECES,68,Non-Border
BEE,67,Non-Border
FORT BEND,67,Non-Border
GALVESTON,67,Non-Border
HOOD,67,Non-Border
JEFFERSON,67,Non-Border
STONEWALL,67,Non-Border
TERRELL,67,Border
SHACKELFORD,66.9,Non-Border
ANDREWS,66.3,Non-Border
MCCULLOCH,66.2,Non-Border
STERLING,66.2,Non-Border
BRAZORIA,66,Non-Border
BRAZOS,66,Non-Border
BURNET,66,Non-Border
COTTLE,66,Non-Border
HIDALGO,66,Border
HUTCHINSON,66,Non-Border
JIM WELLS,66,Non-Border
JOHNSON,66,Non-Border
MCMULLEN,66,Border
SOMERVELL,66,Non-Border
WALLER,66,Non-Border
WILLACY,66,Border
STEPHENS,65.9,Non-Border
KLEBERG,65.4,Non-Border
JASPER,65.3,Non-Border
FRANKLIN,65.1,Non-Border
LIVE OAK,65,Non-Border
LUBBOCK,65,Non-Border
MIDLAND,65,Non-Border
SAN PATRICIO,65,Non-Border
TRINITY,65,Non-Border
ZAVALA,64.3,Border
CHAMBERS,64.2,Non-Border
