geo,geo_two,GISJOIN,county,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
0500000US48001,48001,G4800010,ANDERSON,341,60.1,228,65.7,51,57.3,62,47.3
0500000US48003,48003,G4800030,ANDREWS,212,62.4,84,68.9,1,*,127,58.5
0500000US48005,48005,G4800050,ANGELINA,646,55.8,389,60.9,84,45.9,173,51.5
0500000US48007,48007,G4800070,ARANSAS,120,44.4,71,46.7,4,*,45,40.2
0500000US48009,48009,G4800090,ARCHER,65,78.3,57,78.1,0,-,8,*
0500000US48011,48011,G4800110,ARMSTRONG,11,*,11,*,0,-,0,-
0500000US48013,48013,G4800130,ATASCOSA,365,55.8,130,60.7,0,-,235,53.5
0500000US48015,48015,G4800150,AUSTIN,193,55.1,118,64.1,16,43.2,59,45.7
0500000US48017,48017,G4800170,BAILEY,37,40.2,12,52.2,0,-,25,36.8
0500000US48019,48019,G4800190,BANDERA,72,47.4,58,50.9,0,-,14,37.8
0500000US48021,48021,G4800210,BASTROP,711,68.7,357,76.3,39,67.2,315,61.9
0500000US48023,48023,G4800230,BAYLOR,34,79.1,27,81.8,0,-,7,*
0500000US48025,48025,G4800250,BEE,256,62.3,56,64.4,5,*,195,61.9
0500000US48027,48027,G4800270,BELL,3672,70,2041,73.8,798,67.1,833,64.6
0500000US48029,48029,G4800290,BEXAR,15854,60.9,5502,72,956,55.7,9396,56.4
0500000US48031,48031,G4800310,BLANCO,59,59.6,42,66.7,1,*,16,45.7
0500000US48033,48033,G4800330,BORDEN,4,*,4,*,0,-,0,-
0500000US48035,48035,G4800350,BOSQUE,94,59.9,73,61.9,0,-,21,55.3
0500000US48037,48037,G4800370,BOWIE,554,47.9,403,55.7,105,33,46,39.7
0500000US48039,48039,G4800390,BRAZORIA,2763,60.6,1635,63.2,272,58.4,856,57
0500000US48041,48041,G4800410,BRAZOS,1672,66,1003,74.1,150,48.2,519,59.7
0500000US48043,48043,G4800430,BREWSTER,74,71.8,40,71.4,0,-,34,72.3
0500000US48045,48045,G4800450,BRISCOE,3,*,0,-,0,-,3,*
0500000US48047,48047,G4800470,BROOKS,44,41.9,3,*,0,-,41,42.3
0500000US48049,48049,G4800490,BROWN,309,73,221,72.2,8,*,80,76.2
0500000US48051,48051,G4800510,BURLESON,118,62.8,79,71.8,16,69.6,23,41.8
0500000US48053,48053,G4800530,BURNET,297,69.2,208,76.5,3,*,86,56.2
0500000US48055,48055,G4800550,CALDWELL,284,55.5,114,62.3,6,*,164,51.3
0500000US48057,48057,G4800570,CALHOUN,212,70.9,87,76.3,1,*,124,68.1
0500000US48059,48059,G4800590,CALLAHAN,93,58.9,82,60.3,0,-,11,*
0500000US48061,48061,G4800610,CAMERON,5005,69.8,249,73.2,10,*,4746,69.7
0500000US48063,48063,G4800630,CAMP,107,49.5,58,60.4,16,43.2,33,39.8
0500000US48065,48065,G4800650,CARSON,48,69.6,44,69.8,0,-,4,*
0500000US48067,48067,G4800670,CASS,188,55.1,148,61.4,33,39.3,7,*
0500000US48069,48069,G4800690,CASTRO,73,62.4,19,76,1,*,53,58.2
0500000US48071,48071,G4800710,CHAMBERS,259,57.4,197,61.9,14,51.9,48,45.3
0500000US48073,48073,G4800730,CHEROKEE,355,51,229,59.3,42,53.8,84,36.2
0500000US48075,48075,G4800750,CHILDRESS,52,63.4,38,73.1,4,*,10,43.5
0500000US48077,48077,G4800770,CLAY,60,73.2,58,74.4,0,-,2,*
0500000US48079,48079,G4800790,COCHRAN,22,47.8,7,*,0,-,15,53.6
0500000US48081,48081,G4800810,COKE,19,63.3,15,68.2,0,-,4,*
0500000US48083,48083,G4800830,COLEMAN,54,65.1,46,68.7,1,*,7,*
0500000US48085,48085,G4800850,COLLIN,7376,68.6,5642,72.7,570,59.1,1164,57.3
0500000US48087,48087,G4800870,COLLINGSWORTH,19,67.9,11,*,1,*,7,*
