geo,geo_two,GISJOIN,county,geo2,Obstetrics Beds,births_2014,deaths_2014,rate_2014,Urbanization Status
0500000US48001,48001,G4800010,ANDERSON,0500000US48001,16,571,0,-,Rural
0500000US48003,48003,G4800030,ANDREWS,0500000US48003,5,344,0,-,Rural
0500000US48005,48005,G4800050,ANGELINA,0500000US48005,20,1174,3,2.6,Rural
0500000US48007,48007,G4800070,ARANSAS,0500000US48007,,274,0,-,Urban
0500000US48009,48009,G4800090,ARCHER,0500000US48009,,84,0,-,Urban
0500000US48011,48011,G4800110,ARMSTRONG,0500000US48011,,13,0,-,Urban
0500000US48013,48013,G4800130,ATASCOSA,0500000US48013,4,707,0,-,Urban
0500000US48015,48015,G4800150,AUSTIN,0500000US48015,0,363,0,-,Urban
0500000US48017,48017,G4800170,BAILEY,0500000US48017,0,109,1,9.2,Rural
0500000US48019,48019,G4800190,BANDERA,0500000US48019,,158,0,-,Urban
0500000US48021,48021,G4800210,BASTROP,0500000US48021,0,1041,2,1.9,Urban
0500000US48023,48023,G4800230,BAYLOR,0500000US48023,2,43,0,-,Rural
0500000US48025,48025,G4800250,BEE,0500000US48025,9,416,0,-,Rural
0500000US48027,48027,G4800270,BELL,0500000US48027,78,6225,2,0.3,Urban
0500000US48029,48029,G4800290,BEXAR,0500000US48029,385,27781,11,0.4,Urban
0500000US48031,48031,G4800310,BLANCO,0500000US48031,,102,0,-,Rural
0500000US48033,48033,G4800330,BORDEN,0500000US48033,,6,0,-,Rural
0500000US48035,48035,G4800350,BOSQUE,0500000US48035,4,167,0,-,Rural
0500000US48037,48037,G4800370,BOWIE,0500000US48037,40,1217,1,0.8,Urban
0500000US48039,48039,G4800390,BRAZORIA,0500000US48039,10,4783,2,0.4,Urban
0500000US48041,48041,G4800410,BRAZOS,0500000US48041,55,2829,0,-,Urban
0500000US48043,48043,G4800430,BREWSTER,0500000US48043,5,104,0,-,Rural
0500000US48045,48045,G4800450,BRISCOE,0500000US48045,,11,0,-,Rural
0500000US48047,48047,G4800470,BROOKS,0500000US48047,,116,0,-,Rural
0500000US48049,48049,G4800490,BROWN,0500000US48049,8,425,0,-,Rural
0500000US48051,48051,G4800510,BURLESON,0500000US48051,0,210,0,-,Urban
0500000US48053,48053,G4800530,BURNET,0500000US48053,0,454,0,-,Rural
0500000US48055,48055,G4800550,CALDWELL,0500000US48055,0,513,0,-,Urban
0500000US48057,48057,G4800570,CALHOUN,0500000US48057,3,304,1,3.3,Rural
0500000US48059,48059,G4800590,CALLAHAN,0500000US48059,,162,1,6.2,Urban
0500000US48061,48061,G4800610,CAMERON,0500000US48061,136,7253,1,0.1,Urban
0500000US48063,48063,G4800630,CAMP,0500000US48063,0,219,0,-,Rural
0500000US48065,48065,G4800650,CARSON,0500000US48065,,69,0,-,Urban
0500000US48067,48067,G4800670,CASS,0500000US48067,,361,0,-,Rural
0500000US48069,48069,G4800690,CASTRO,0500000US48069,0,117,0,-,Rural
0500000US48071,48071,G4800710,CHAMBERS,0500000US48071,0,475,0,-,Urban
0500000US48073,48073,G4800730,CHEROKEE,0500000US48073,13,742,0,-,Rural
0500000US48075,48075,G4800750,CHILDRESS,0500000US48075,6,82,0,-,Rural
0500000US48077,48077,G4800770,CLAY,0500000US48077,0,82,0,-,Urban
0500000US48079,48079,G4800790,COCHRAN,0500000US48079,0,46,0,-,Rural
0500000US48081,48081,G4800810,COKE,0500000US48081,,30,1,33.3,Rural
0500000US48083,48083,G4800830,COLEMAN,0500000US48083,0,83,0,-,Rural
0500000US48085,48085,G4800850,COLLIN,0500000US48085,223,10886,1,0.1,Urban
