county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Anderson,67.2,"1,150",54.9,254,56.3,391,66.7,46,0500000US48001,Anderson,ANDERSON,Rural,Non-Border,ANDERSON
Andrews,68.7,369,*,**,56.8,571,*,**,0500000US48003,Andrews,ANDREWS,Rural,Non-Border,ANDREWS
Angelina,64.7,"2,048",55.9,536,51.7,886,56.3,85,0500000US48005,Angelina,ANGELINA,Rural,Non-Border,ANGELINA
Aransas,53.6,354,*,10,49.4,251,*,18,0500000US48007,Aransas,ARANSAS,Urban,Non-Border,ARANSAS
Archer,83.3,265,--,0,68.9,31,*,**,0500000US48009,Archer,ARCHER,Urban,Non-Border,ARCHER
Armstrong,78.1,75,--,0,*,**,*,**,0500000US48011,Armstrong,ARMSTRONG,Urban,Non-Border,ARMSTRONG
Atascosa,61.8,576,*,**,57.4,"1,186",*,16,0500000US48013,Atascosa,ATASCOSA,Urban,Non-Border,ATASCOSA
Austin Cnty,67.7,549,48.3,83,49.1,308,*,15,0500000US48015,Austin Cnty,AUSTIN,Urban,Non-Border,AUSTIN
Bailey,66.5,111,*,**,37.4,141,*,**,0500000US48017,Bailey,BAILEY,Rural,Non-Border,BAILEY
Bandera,60.7,342,*,**,44,77,*,11,0500000US48019,Bandera,BANDERA,Urban,Non-Border,BANDERA
Bastrop,77.1,"1,629",65.3,169,62.9,"1,391",64.8,79,0500000US48021,Bastrop,BASTROP,Urban,Non-Border,BASTROP
Baylor,79.4,123,*,**,85.2,23,*,**,0500000US48023,Baylor,BAYLOR,Rural,Non-Border,BAYLOR
Bee,67.1,302,*,14,59.6,862,*,**,0500000US48025,Bee,BEE,Rural,Non-Border,BEE
Bell,74.7,"8,701",68,"3,872",64.2,"4,054",66.4,"1,475",0500000US48027,Bell,BELL,Urban,Non-Border,BELL
Bexar,74.2,"21,595",58.7,"4,710",60.4,"48,770",65.7,"4,249",0500000US48029,Bexar,BEXAR,Urban,Non-Border,BEXAR
Blanco,63.8,190,*,**,45.2,56,--,0,0500000US48031,Blanco,BLANCO,Rural,Non-Border,BLANCO
Borden,*,20,--,0,*,**,--,0,0500000US48033,Borden,BORDEN,Rural,Non-Border,BORDEN
Bosque,66.2,385,*,11,50.8,125,*,12,0500000US48035,Bosque,BOSQUE,Rural,Non-Border,BOSQUE
Bowie,61.7,"2,066",40.3,705,45.5,246,43.9,82,0500000US48037,Bowie,BOWIE,Urban,Non-Border,BOWIE
Brazoria,66,"6,992",61.5,"1,398",59.6,"4,520",66.4,"1,264",0500000US48039,Brazoria,BRAZORIA,Urban,Non-Border,BRAZORIA
Brazos,74.8,"4,164",50.6,725,60.9,"2,379",60.7,575,0500000US48041,Brazos,BRAZOS,Urban,Non-Border,BRAZOS
Brewster,72.9,180,*,**,64.2,174,*,**,0500000US48043,Brewster,BREWSTER,Rural,Border,BREWSTER
Briscoe,64.1,25,--,0,*,12,--,0,0500000US48045,Briscoe,BRISCOE,Rural,Non-Border,BRISCOE
Brooks,*,12,*,**,45.5,241,*,**,0500000US48047,Brooks,BROOKS,Rural,Border,BROOKS
Brown,76.8,"1,155",70.1,47,71.3,347,73.7,28,0500000US48049,Brown,BROWN,Rural,Non-Border,BROWN
Burleson Cnty,66.9,354,60,69,47.4,101,*,**,0500000US48051,Burleson Cnty,BURLESON,Urban,Non-Border,BURLESON
Burnet,73.7,980,*,15,54.7,458,62.1,41,0500000US48053,Burnet,BURNET,Rural,Non-Border,BURNET
Caldwell,67.6,567,43.5,27,54.5,826,63.2,24,0500000US48055,Caldwell,CALDWELL,Urban,Non-Border,CALDWELL
Calhoun,77.7,358,*,10,65.4,548,54.8,51,0500000US48057,Calhoun,CALHOUN,Rural,Non-Border,CALHOUN
Callahan,67.5,389,*,**,62.2,46,*,**,0500000US48059,Callahan,CALLAHAN,Urban,Non-Border,CALLAHAN
Cameron,71.3,884,61.9,60,69.8,"24,291",64.7,225,0500000US48061,Cameron,CAMERON,Urban,Border,CAMERON
Camp,68.4,283,54.9,89,48.3,160,*,15,0500000US48063,Camp,CAMP,Rural,Non-Border,CAMP
Carson,78.3,213,*,**,*,17,*,**,0500000US48065,Carson,CARSON,Urban,Non-Border,CARSON
