county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,geo_two,GISJOIN,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,geo_two2,GISJOIN2,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,geo2_2,geo_two2_2,GISJOIN2_2,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,geo2_3,geo2,geo_two2_3,GISJOIN2_3,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,geo2_4
ANDERSON ,22937,16224,3485,2924,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDREWS ,7418,3663,112,3540,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELINA ,44256,28381,6984,8246,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARANSAS ,11673,8408,128,2812,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER ,4491,4120,18,303,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG ,973,892,5,63,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATASCOSA ,22781,8502,130,13975,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTIN ,14344,9590,1386,3212,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAILEY ,3544,1442,25,2056,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDERA ,10313,8478,45,1676,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASTROP ,36174,21533,2774,11357,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYLOR ,1931,1636,36,247,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEE ,12798,4359,216,8089,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL ,156771,80817,34483,33436,8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEXAR ,873933,267130,63715,515764,27324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLANCO ,5197,4221,23,880,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORDEN ,306,261,0,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSQUE ,9159,7561,158,1371,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWIE ,45807,31469,11367,2170,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZORIA ,154166,84133,18353,41797,9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZOS ,96221,58010,11292,21876,5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREWSTER ,4596,2533,19,1979,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRISCOE ,822,599,23,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKS ,3644,301,8,3317,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROWN ,19268,14691,674,3689,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURLESON ,8683,6002,1105,1505,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNET ,21761,16948,405,4171,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDWELL ,18886,8496,1262,8886,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALHOUN ,10534,4913,273,4896,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALLAHAN ,6937,6271,93,497,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMERON ,210826,21738,558,186887,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMP ,6315,3813,1208,1231,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARSON ,3140,2808,19,272,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASS ,15687,12111,2899,503,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTRO ,3978,1518,75,2353,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBERS ,17435,12534,1465,3181,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEROKEE ,24995,16479,3615,4673,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILDRESS ,2920,2125,138,623,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAY ,5469,5120,21,251,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHRAN ,1592,686,60,834,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COKE ,1694,1391,2,290,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLEMAN ,4479,3617,96,722,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLIN ,397978,255920,36745,56812,48501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLINGSWORTH ,1559,997,70,464,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORADO ,10527,6403,1427,2621,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAL ,55218,39810,877,13742,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMANCHE ,7089,5275,14,1740,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCHO ,1294,888,4,390,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKE ,19381,15635,578,2811,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORYELL ,38496,24315,6619,5915,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTTLE ,792,551,74,165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANE ,2230,933,60,1207,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROCKETT ,1888,666,4,1208,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSBY ,3142,1392,111,1624,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CULBERSON ,1231,251,3,961,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAM ,3221,1858,40,1276,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS ,1197137,407769,286022,435884,67462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
